Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
OFWAT,OFWAT,06/10/2014,Technical Consultancy,Thames Tideway Project,MOTT MACDONALD LTD,28985,27738.46,
OFWAT,OFWAT,31/10/2014,Legal Consultancy,Thames Tideway Project,NORTON ROSE,29108,37214.92,
OFWAT,OFWAT,12/11/2014,Interim Managers,IPL,CAMBRIDGE ECONOMIC POLICY ASSO,29033,27125.00,
OFWAT,OFWAT,13/11/2014,Interim Managers,IPL,PA CONSULTING SERVICES LTD,29074,27000.00,
OFWAT,OFWAT,24/11/2014,Rent & Building Insurance,Facilities Management,COLLIERS INTERNATIONAL,29184,36538.32,
OFWAT,OFWAT,27/11/2014,Operational Services,Regulatory Compliance,NAVIGATOR RESEARCH PLANNING AND COMMUNICATION LTD,29210,25275.69,
OFWAT,OFWAT,01/12/2014,Rent & Building Insurance,Facilities Management,COLLIERS INTERNATIONAL,29212,138921.75,
OFWAT,OFWAT,01/12/2014,Service Charge,Facilities Management,COLLIERS INTERNATIONAL,29212,41415.00,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
