Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
OFWAT,OFWAT,41455,Interim Managers,IPL,LUCERNA PARTNERS LTD,21384,31612.5,
OFWAT,OFWAT,41455,Interim Managers,IPL,LUCERNA PARTNERS LTD,21384,28200,
OFWAT,OFWAT,41455,Operational Services,IPL,MOORHOUSE CONSULTING LTD,21457,31245,
OFWAT,OFWAT,41486,Interim Managers,IPL,LUCERNA PARTNERS LTD,21509,32900,
OFWAT,OFWAT,41486,Interim Managers,IPL,LUCERNA PARTNERS LTD,21509,27675,
OFWAT,OFWAT,41486,Operational Services,IPL,MOORHOUSE CONSULTING LTD,21444,71210,
OFWAT,OFWAT,41491,Interim Managers,IPL,S J ROBERTS ADVISORY SERVICES LTD,21378,36000,
OFWAT,OFWAT,41492,Technical Consultancy,Thames Tideway Project,MOTT MACDONALD LTD,21281,30513.5,
OFWAT,OFWAT,41499,Financial Consultancy,IPL,PRICEWATERHOUSECOOPERS,21551,44802.45,
OFWAT,OFWAT,41505,Technical Consultancy,IPL,CAMBRIDGE ECONOMIC POLICY ASSO,21516,38967.92,
