Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
OFWAT,OFWAT,41517,Operational Services,IPL,MOORHOUSE CONSULTING LTD,22459,38545,
OFWAT,OFWAT,41520,Interim Managers,IPL,S J ROBERTS ADVISORY SERVICES LTD,22457,54000,
OFWAT,OFWAT,41521,Interim Managers,IPL,PA CONSULTING SERVICES LTD,22181,25500,
OFWAT,OFWAT,41529,Legal Consultancy,Thames Tideway Project,NORTON ROSE,22300,38299.9,
OFWAT,OFWAT,41540,Hire and Maintenance,Info Management & Tech Team,TRUSTMARQUE SOLUTIONS LTD,22277,27002.68,
OFWAT,OFWAT,41547,Legal Consultancy,Thames Tideway Project,NORTON ROSE,22629,58592.69,
OFWAT,OFWAT,41547,Operational Services,IPL,PRICEWATERHOUSECOOPERS,22704,98527,
OFWAT,OFWAT,41547,Operational Services,Transfer Pricing Team,MCCALLUM LAYTON,22156,29419.5,
OFWAT,OFWAT,41548,Interim Managers,IPL,S J ROBERTS ADVISORY SERVICES LTD,22455,51000,
OFWAT,OFWAT,41556,Financial Consultancy,Thames Tideway Project,PRICEWATERHOUSECOOPERS,22351,35502,
OFWAT,OFWAT,41570,Technical Consultancy,IPL,CAMBRIDGE ECONOMIC POLICY ASSO,22620,37475.16,
OFWAT,OFWAT,41570,Technical Consultancy,Thames IDOK,PA CONSULTING SERVICES LTD,22558,30850,
