Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
OFWAT,OFWAT,31/03/2013,Interim Managers,IPL,LUCERNA PARTNERS LTD,19732,28462.50,
OFWAT,OFWAT,17/04/2013,Technical Consultancy,IPL,PRICEWATERHOUSECOOPERS,19491,246451.00,
OFWAT,OFWAT,17/04/2013,Technical Consultancy,IPL,PRICEWATERHOUSECOOPERS,19491,49290.20,
OFWAT,OFWAT,30/04/2013,Operational Services,Transfer Pricing Team,MCCALLUM LAYTON,19607,32842.04,
OFWAT,OFWAT,21/05/2013,Technical Consultancy,Thames Tideway Project,MOTT MACDONALD LTD,19941,25342.92,
OFWAT,OFWAT,23/05/2013,Interim Managers,Choice and Trading Arrangements,PRICEWATERHOUSECOOPERS,20073,37046.40,
OFWAT,OFWAT,23/05/2013,Interim Managers,Choice and Trading Arrangements,PRICEWATERHOUSECOOPERS,20073,28509.00,
OFWAT,OFWAT,28/05/2013,Financial Consultancy,Thames Tideway Project,PRICEWATERHOUSECOOPERS,20083,30752.00,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
