Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Expense Type,Expense Area
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,London South Bank,GPROSTD331314,"115,017.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Loughborough College,GPROSTD320292,"162,584.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Loughborough College,GPROSTD331449,"32,969.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Loughborough Uni,GPROSTD320301,"2,559,239.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Loughborough Uni,GPROSTD322227,"1,884,224.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Loughborough Uni,GPROSTD323412,"136,424.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Loughborough Uni,GPROSTD331315,"105,587.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Macclesfield College,GPROSTD320319,"142,271.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Manchester College,GPROSTD320346,"259,060.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Manchester College,GPROSTD331451,"44,105.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Manchester Met,GPROSTD320328,"4,565,036.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Manchester Met,GPROSTD322245,"467,306.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Manchester Met,GPROSTD323436,"115,295.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Manchester Met,GPROSTD326863,"2,437,100.00",SDF Capital LAT,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Manchester Met,GPROSTD331317,"572,054.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Middlesex University,GPROSTD320355,"3,032,683.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Middlesex University,GPROSTD322263,"237,659.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Middlesex University,GPROSTD323460,"46,913.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Moulton College,GPROSTD320382,"71,932.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Newcastle College,GPROSTD320418,"708,495.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,New College Durham,GPROSTD320409,"230,699.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,New College Notts,GPROSTD320427,"115,561.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,New College Stamford,GPROSTD321138,"26,081.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Newman Uni College,GPROSTD320445,"340,627.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Newman Uni College,GPROSTD331320,"40,816.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Northbrook College,GPROSTD320481,"184,150.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Northbrook College,GPROSTD331466,"81,914.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,North East Surrey,GPROSTD320508,"96,545.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,North East Worcs Col,GPROSTD320499,"57,822.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,North Lindsey Coll,GPROSTD320490,"159,959.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Northumberland Coll,GPROSTD320544,"37,062.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,North West London,GPROSTD320580,"38,593.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Norwich Uni Arts,GPROSTD320526,"389,168.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Norwich Uni Arts,GPROSTD331323,"50,575.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Nottingham Trent Uni,GPROSTD320607,"3,651,641.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Nottingham Trent Uni,GPROSTD322317,"348,881.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Nottingham Trent Uni,GPROSTD323508,"70,609.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,N Warwick & Hinckley,GPROSTD320562,"54,526.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Oldham College,GPROSTD331470,"168,516.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Open University,GPROSTD320634,"11,435,152.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Open University,GPROSTD322335,"880,159.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Open University,GPROSTD323532,"79,230.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Open University,GPROSTD331326,"3,152,672.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Oxford Brookes Univ,GPROSTD320661,"2,097,799.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Oxford Brookes Univ,GPROSTD322362,"311,167.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Oxford Brookes Univ,GPROSTD323568,"136,581.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Plymouth Coll of Art,GPROSTD320733,"149,604.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Plymouth Coll of Art,GPROSTD331475,"143,395.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,QAA,GPROSTD326552,"570,681.00",Quality Assurance,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,"Queen Mary, UoL",GPROSTD320760,"3,837,488.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,"Queen Mary, UoL",GPROSTD322389,"2,816,879.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,"Queen Mary, UoL",GPROSTD323604,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,"Queen Mary, UoL",GPROSTD331333,"594,282.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Ravensbourne College,GPROSTD320769,"492,218.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,RCSSD,GPROSTD319275,"343,485.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,RCSSD,GPROSTD321786,"28,645.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Riverside Col Halton,GPROSTD319815,"95,854.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Roehampton Uni,GPROSTD320805,"1,259,203.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Roehampton Uni,GPROSTD322407,"205,790.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Roehampton Uni,GPROSTD323628,"38,464.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Rose Bruford College,GPROSTD320814,"253,443.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Rotherham Coll A&T,GPROSTD320823,"44,401.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Academy Music,GPROSTD320841,"304,748.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Academy Music,GPROSTD322434,"39,042.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Agricultural,GPROSTD320832,"333,267.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal College Music,GPROSTD320859,"314,308.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal College Music,GPROSTD322452,"37,805.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal College of Art,GPROSTD320850,"679,769.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal College of Art,GPROSTD322443,"212,702.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal College of Art,GPROSTD323640,"25,087.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal College of Art,GPROSTD324717,"255,107.00",London Insts,Inst teams Lond East
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Holloway,GPROSTD320868,"1,436,859.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Holloway,GPROSTD322461,"1,188,498.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Holloway,GPROSTD323652,"40,447.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal North Coll Mus,GPROSTD320877,"432,656.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Veterinary,GPROSTD320886,"1,540,285.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Veterinary,GPROSTD322479,"467,688.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Veterinary,GPROSTD323676,"99,544.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Royal Veterinary,GPROSTD331345,"76,210.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Ruskin College,GPROSTD320904,"69,098.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Sheffield College,GPROSTD320949,"78,843.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Sheffield Hallam Uni,GPROSTD320958,"3,660,601.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Sheffield Hallam Uni,GPROSTD322497,"364,992.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Sheffield Hallam Uni,GPROSTD323700,"100,942.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Sheffield Hallam Uni,GPROSTD331350,"523,883.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,SOAS,GPROSTD320643,"440,785.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,SOAS,GPROSTD322344,"543,817.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,SOAS,GPROSTD323544,"39,633.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,SOAS,GPROSTD324705,"42,755.00",London Insts,Inst teams Lond East
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,SOAS,GPROSTD331327,"110,804.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Solihull College,GPROSTD320976,"92,044.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Somerset Coll of Art,GPROSTD320985,"39,366.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Southampton Solent U,GPROSTD321030,"2,002,042.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Southampton Solent U,GPROSTD323724,"73,119.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Southampton Solent U,GPROSTD331352,"343,590.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,South Downs College,GPROSTD321003,"29,636.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,South Tyneside Coll,GPROSTD321066,"134,893.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Sparsholt College,GPROSTD321120,"135,676.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Sparsholt College,GPROSTD331498,"38,589.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Staffordshire Uni,GPROSTD321129,"3,035,327.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Staffordshire Uni,GPROSTD322533,"49,845.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Staffordshire Uni,GPROSTD323748,"100,263.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Staffordshire Uni,GPROSTD327314,"27,952.00",Basic Grant,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Stephenson College,GPROSTD321156,"66,246.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,St George's Med Sch,GPROSTD321165,"1,725,114.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,St George's Med Sch,GPROSTD322542,"467,395.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,St George's Med Sch,GPROSTD323760,"77,962.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,St Helens Coll,GPROSTD321174,"182,703.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,St Mary's Uni Colleg,GPROSTD321183,"521,657.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,St Mary's Uni Colleg,GPROSTD331347,"53,303.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Stockport College,GPROSTD321210,"202,052.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Stockport College,GPROSTD331503,"42,738.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Swindon College,GPROSTD321282,"29,569.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Tameside College,GPROSTD321291,"25,356.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Teesside University,GPROSTD321300,"2,847,771.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Teesside University,GPROSTD322596,"103,008.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Teesside University,GPROSTD323808,"106,223.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Teesside University,GPROSTD327341,"51,981.00",Basic Grant,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Teesside University,GPROSTD331358,"476,719.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Trafford College,GPROSTD321057,"49,336.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Trinity Laban Cons M,GPROSTD321345,"622,148.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Trinity Laban Cons M,GPROSTD323832,"32,487.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Tyne Met College,GPROSTD320535,"30,682.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,UC Plymouth Mark/Joh,GPROSTD321192,"264,272.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,UC Plymouth Mark/Joh,GPROSTD331331,"42,547.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni Coll Birmingham,GPROSTD318969,"712,425.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni Coll Birmingham,GPROSTD331249,"67,988.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD262338,"29,405.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD285840,"28,618.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD309274,"28,618.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD320283,"5,047,760.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD322218,"10,166,131.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD323400,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD324693,"184,914.00",London Insts,Inst teams Lond East
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni College London,GPROSTD325242,"36,573.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni for Creative Art,GPROSTD319491,"1,336,908.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni for Creative Art,GPROSTD321849,"34,014.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Arts London,GPROSTD320220,"2,771,314.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Arts London,GPROSTD322155,"555,882.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Arts London,GPROSTD323340,"210,137.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Arts London,GPROSTD325089,"51,203.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bedfordshire,GPROSTD320310,"2,071,741.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bedfordshire,GPROSTD322236,"93,323.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bedfordshire,GPROSTD323424,"40,370.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Birmingham,GPROSTD266151,"138,723.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Birmingham,GPROSTD318978,"5,184,004.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Birmingham,GPROSTD321660,"3,763,190.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Birmingham,GPROSTD322764,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Birmingham,GPROSTD331247,"184,277.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bradford,GPROSTD287030,"109,282.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bradford,GPROSTD319086,"1,975,208.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bradford,GPROSTD321696,"536,402.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bradford,GPROSTD322800,"90,380.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bradford,GPROSTD331254,"123,746.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Brighton,GPROSTD319104,"2,864,911.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Brighton,GPROSTD321705,"522,252.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Brighton,GPROSTD322812,"86,185.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Brighton,GPROSTD331255,"303,896.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bristol,GPROSTD312179,"105,758.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bristol,GPROSTD319113,"4,593,056.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bristol,GPROSTD321714,"4,318,532.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Bristol,GPROSTD322824,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Cambridge,GPROSTD309951,"28,618.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Cambridge,GPROSTD319194,"4,064,763.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Cambridge,GPROSTD321741,"10,697,932.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Cambridge,GPROSTD322860,"237,690.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Cambridge,GPROSTD323940,"163,130.00","Museums, Gal & Coll",RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Central Lancs,GPROSTD319266,"4,205,251.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Central Lancs,GPROSTD321777,"284,733.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Central Lancs,GPROSTD322908,"188,627.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Central Lancs,GPROSTD326963,"26,607.00",Basic Grant,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Chester,GPROSTD319293,"1,673,795.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Chester,GPROSTD321795,"51,025.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Chester,GPROSTD322920,"36,469.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Chester,GPROSTD326972,"59,495.00",Basic Grant,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Chichester,GPROSTD304902,"47,954.00",SDF Recurrent,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Chichester,GPROSTD319320,"711,500.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Cumbria,GPROSTD319509,"964,090.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Cumbria,GPROSTD331270,"200,468.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East Anglia,GPROSTD319590,"2,419,690.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East Anglia,GPROSTD321894,"1,386,236.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East Anglia,GPROSTD322704,"867,350.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East Anglia,GPROSTD323028,"147,331.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East Anglia,GPROSTD323988,"25,020.00","Museums, Gal & Coll",RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East London,GPROSTD319599,"2,828,180.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East London,GPROSTD321903,"184,016.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of East London,GPROSTD323040,"50,740.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Gloucester,GPROSTD319725,"1,199,456.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Gloucester,GPROSTD321957,"60,615.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Gloucester,GPROSTD323100,"27,959.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Gloucester,GPROSTD331282,"127,989.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Greenwich,GPROSTD319752,"3,627,454.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Greenwich,GPROSTD321975,"234,199.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Greenwich,GPROSTD323124,"144,274.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Hertfordshire,GPROSTD319896,"3,005,529.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Uni of Hertfordshire,GPROSTD322002,"383,373.00",Research 12-13,RIS policy team
