Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Expense Type,Expense Area
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brunel University,GPROSTD319158,"2,139,800.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brunel University,GPROSTD321723,"1,005,722.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brunel University,GPROSTD322836,"93,781.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brunel University,GPROSTD331257,"67,231.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bucks New University,GPROSTD319167,"1,148,163.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bucks New University,GPROSTD322848,"63,103.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Calderdale College,GPROSTD319185,"41,047.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Canterbury CCUC,GPROSTD319212,"1,492,222.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Canterbury CCUC,GPROSTD321750,"83,524.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Canterbury CCUC,GPROSTD322872,"73,257.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Canterbury CCUC,GPROSTD331261,"570,987.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Canterbury Coll,GPROSTD331395,"38,636.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Carlisle College,GPROSTD319239,"36,724.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Central College Nott,GPROSTD321012,"68,027.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Central Sussex Coll,GPROSTD319284,"43,009.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Chesterfield College,GPROSTD319302,"84,820.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Chichester College,GPROSTD319311,"26,494.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,City of Sunderland C,GPROSTD319365,"68,493.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,City of Westminster,GPROSTD319338,"46,370.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,City of Westminster,GPROSTD331520,"25,946.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,City University,GPROSTD319383,"1,320,383.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,City University,GPROSTD321813,"864,724.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,City University,GPROSTD322944,"139,659.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,City University,GPROSTD331265,"135,997.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Cleveland College,GPROSTD319419,"116,491.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Conservatoire D&D,GPROSTD319437,"702,649.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Conservatoire D&D,GPROSTD322956,"31,274.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Courtauld Institute,GPROSTD319455,"69,173.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Courtauld Institute,GPROSTD321822,"101,043.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Courtauld Institute,GPROSTD323952,"80,480.00","Museums, Gal & Coll",RIS policy team
