Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,04/07/2014,Software maintenance,ITS,Hewlett Packard Ltd,PIS3646,"78,046.42"
BIS,HEFCE,04/07/2014,PD - research,"R,,E & KE",NatCen,PIC678,"81,818.40"
BIS,HEFCE,08/07/2014,PD - research,"R,,E & KE",EPSRC,PIC677,"88,027.00"
BIS,HEFCE,08/07/2014,UKRPIF,Finance,HEFCW,PIG11093,"2,911,625.00"
BIS,HEFCE,08/07/2014,Audit fees,Central,NAO,PIS3785,"36,000.00"
BIS,HEFCE,08/07/2014,UKRPIF,Finance,SFC (HE),PIG11094,"2,770,950.00"
BIS,HEFCE,11/07/2014,Premises costs,Facilities Managemen,Uni West of England,PIS3674,"221,772.44"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Accrington,GPROSTD334780,"39,193.00"
BIS,HEFCE,17/07/2014,Teaching 12-13,E&P policy team,Accrington,GPROSTD352739,"60,100.00"
BIS,HEFCE,17/07/2014,HEIF 2011-15 (BIS),RIS policy team,Anglia Ruskin Uni,GPROSTD333880,"129,971.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Anglia Ruskin Uni,GPROSTD334798,"1,942,275.00"
BIS,HEFCE,17/07/2014,Research 13-14,RIS policy team,Anglia Ruskin Uni,GPROSTD337750,"112,977.00"
BIS,HEFCE,17/07/2014,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD338848,"42,988.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Arts Uni Bournemouth,GPROSTD334807,"386,477.00"
BIS,HEFCE,17/07/2014,Catalyst Fund  (R),RIS policy team,Arts Uni Bournemouth,GPROSTD347113,"56,230.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Arts Uni Bournemouth,GPROSTD353986,"27,219.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Askham Bryan College,GPROSTD334825,"97,659.00"
BIS,HEFCE,17/07/2014,HEIF 2011-15 (BIS),RIS policy team,Aston University,GPROSTD333889,"127,012.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Aston University,GPROSTD334834,"1,022,751.00"
BIS,HEFCE,17/07/2014,Research 13-14,RIS policy team,Aston University,GPROSTD337768,"594,847.00"
BIS,HEFCE,17/07/2014,HEIF 2011-15,RIS policy team,Aston University,GPROSTD338857,"42,009.00"
BIS,HEFCE,17/07/2014,PSS,E&P policy team,Aston University,GPROSTD346833,"234,079.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Aston University,GPROSTD353989,"446,011.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Barking and Dagenham,GPROSTD334852,"40,160.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Barnsley College,GPROSTD346109,"116,025.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Bath Spa University,GPROSTD334897,"775,308.00"
BIS,HEFCE,17/07/2014,Research 13-14,RIS policy team,Bath Spa University,GPROSTD337777,"52,058.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Bedford College,GPROSTD334915,"38,792.00"
BIS,HEFCE,17/07/2014,HEIF 2011-15 (BIS),RIS policy team,Birkbeck College,GPROSTD333907,"48,152.00"
BIS,HEFCE,17/07/2014,Teaching 13-14,E&P policy team,Birkbeck College,GPROSTD334969,"1,020,512.00"
