Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount
BIS,HEFCE,04/07/2012,Payroll control,Running costs,Cabinet Office PCSPS,PIS1983,"167,875.15"
BIS,HEFCE,04/07/2012,Innovations Grp,JISC KCL,King's College,PIS1996,"168,824.01"
BIS,HEFCE,04/07/2012,Audit fees,Central,NAO,PIS1992,"36,000.00"
BIS,HEFCE,10/07/2012,PD - research,R&E programme,HESA,PIC448,"38,580.00"
BIS,HEFCE,10/07/2012,PD - research,R&E programme,The Work Foundation,PIC450,"48,000.00"
BIS,HEFCE,19/07/2012,JISC,JISC NAH,Aberystwyth,GPROSTD316396,"37,000.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Accrington,GPROSTD295841,"68,069.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Anglia Ruskin Uni,GPROSTD295850,"3,109,921.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Anglia Ruskin Uni,GPROSTD298118,"95,515.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Anglia Ruskin Uni,GPROSTD299294,"525,934.00"
BIS,HEFCE,19/07/2012,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD302853,"144,145.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Arts Uni Bournemouth,GPROSTD295859,"746,595.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Arts Uni Bournemouth,GPROSTD299303,"94,838.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Askham Bryan College,GPROSTD295868,"121,449.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Aston University,GPROSTD295877,"2,017,704.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Aston University,GPROSTD298136,"562,031.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Aston University,GPROSTD299321,"117,574.00"
BIS,HEFCE,19/07/2012,HEIF 2011-15,RIS policy team,Aston University,GPROSTD302865,"140,863.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Barking and Dagenham,GPROSTD295886,"63,489.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Barking LEA,GPROSTD313933,"82,106.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Barnet LEA,GPROSTD313934,"79,108.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Basingstoke College,GPROSTD295895,"38,023.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Bath LEA,GPROSTD313932,"63,158.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Bath LEA,GPROSTD324896,"87,187.61"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bath Spa University,GPROSTD295904,"1,463,391.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Bath Spa University,GPROSTD298145,"59,291.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Bath Spa University,GPROSTD299348,"173,169.00"
BIS,HEFCE,19/07/2012,JISC,JISC NAH,Bath Spa University,GPROSTD310225,"40,000.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bedford College,GPROSTD295922,"79,782.00"
BIS,HEFCE,19/07/2012,SDF Capital LAT,RIS policy team,Birkbeck College,GPROSTD259352,"51,000.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Birkbeck College,GPROSTD295940,"1,736,435.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Birkbeck College,GPROSTD298163,"934,506.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Birkbeck College,GPROSTD299384,"201,083.00"
BIS,HEFCE,19/07/2012,HEIF 2011-15,RIS policy team,Birkbeck College,GPROSTD302889,"53,404.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Birmingham City Univ,GPROSTD296165,"3,072,670.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Birmingham City Univ,GPROSTD298280,"152,043.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Birmingham City Univ,GPROSTD299609,"491,787.00"
BIS,HEFCE,19/07/2012,HEIF 2011-15,RIS policy team,Birmingham City Univ,GPROSTD303033,"107,800.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Birmingham LEA,GPROSTD313937,"57,839.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Birmingham Met Coll,GPROSTD295967,"46,623.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bishop Burton,GPROSTD295985,"233,330.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Bishop Burton,GPROSTD299429,"43,515.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bishop Gros Uni Coll,GPROSTD295976,"309,454.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Bishop Gros Uni Coll,GPROSTD299420,"53,995.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Blackburn College,GPROSTD295994,"700,880.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Blackburn College,GPROSTD299438,"160,606.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Blackburn College,GPROSTD310441,"66,455.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Blackpool College,GPROSTD296003,"592,051.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Blackpool College,GPROSTD299447,"151,928.00"
BIS,HEFCE,19/07/2012,Emp Engagement - Rec,E&P policy team,Bournemouth Uni,GPROSTD286397,"26,100.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bournemouth Uni,GPROSTD296030,"3,041,897.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Bournemouth Uni,GPROSTD298199,"184,110.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Bournemouth Uni,GPROSTD299474,"366,999.00"
BIS,HEFCE,19/07/2012,HEIF 2011-15,RIS policy team,Bournemouth Uni,GPROSTD302925,"53,442.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bradford College,GPROSTD296039,"568,642.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Bradford College,GPROSTD299483,"135,001.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Bradford LEA,GPROSTD313939,"29,471.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Bradford LEA,GPROSTD324823,"43,095.18"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bridgwater College,GPROSTD296057,"54,290.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Brunel University,GPROSTD296093,"2,908,689.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Brunel University,GPROSTD298235,"1,092,089.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Brunel University,GPROSTD299537,"200,924.00"
BIS,HEFCE,19/07/2012,Moderation - T,E&P policy team,Brunel University,GPROSTD301616,"77,575.00"
BIS,HEFCE,19/07/2012,HEIF 2011-15,RIS policy team,Brunel University,GPROSTD302973,"93,713.00"
BIS,HEFCE,19/07/2012,Inherited Staff,Finance,Bucks County Council,GPROSTD313942,"35,458.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Bucks New University,GPROSTD296102,"1,583,268.00"
BIS,HEFCE,19/07/2012,Basic - R,RIS policy team,Bucks New University,GPROSTD298244,"26,000.00"
BIS,HEFCE,19/07/2012,Basic - WP,E&P policy team,Bucks New University,GPROSTD299546,"232,753.00"
BIS,HEFCE,19/07/2012,Moderation - T,E&P policy team,Bucks New University,GPROSTD301625,"33,324.00"
BIS,HEFCE,19/07/2012,HEIF 2011-15,RIS policy team,Bucks New University,GPROSTD302985,"63,058.00"
BIS,HEFCE,19/07/2012,JISC,JISC NAH,BUFVC,GPROSTD309034,"52,534.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Calderdale College,GPROSTD296111,"50,142.00"
BIS,HEFCE,19/07/2012,Basic - T,E&P policy team,Canterbury CCUC,GPROSTD296129,"2,054,532.00"
