Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,03/04/2015,PD - research,Quality Assessment,HE Academy,PIC744,"42,701.00"
BIS,HEFCE,03/04/2015,Phones - land lines,ROBO,Vodafone Ltd,PIS4818,"113,713.51"
BIS,HEFCE,14/04/2015,PD - research,"R,,E & KE",EPSRC,PIC725,"72,463.00"
BIS,HEFCE,14/04/2015,Professional serv,"R,,E & KE",ESRC,PIS4763,"32,738.20"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Accrington,GPROSTD355256,"25,244.00"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Anglia Ruskin Uni,GPROSTD355274,"1,201,511.00"
BIS,HEFCE,16/04/2015,Research 14-15,RIS policy team,Anglia Ruskin Uni,GPROSTD358298,"103,474.00"
BIS,HEFCE,16/04/2015,HEIF 2011-15 (BIS),RIS policy team,Anglia Ruskin Uni,GPROSTD361475,"129,720.00"
BIS,HEFCE,16/04/2015,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD362366,"43,240.00"
BIS,HEFCE,16/04/2015,Teaching 13-14,E&P policy team,Anglia Ruskin Uni,GPROSTD374046,"26,036.00"
BIS,HEFCE,16/04/2015,CO,E&P policy team,Anglia Ruskin Uni,GPROSTD375335,"30,418.00"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Arts Uni Bournemouth,GPROSTD355283,"160,515.00"
BIS,HEFCE,16/04/2015,CO,E&P policy team,Arts Uni Bournemouth,GPROSTD375337,"25,000.00"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Askham Bryan College,GPROSTD355301,"78,382.00"
BIS,HEFCE,16/04/2015,PSS,E&P policy team,Aston University,GPROSTD346836,"234,081.00"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Aston University,GPROSTD355310,"977,427.00"
BIS,HEFCE,16/04/2015,Research 14-15,RIS policy team,Aston University,GPROSTD358316,"518,009.00"
BIS,HEFCE,16/04/2015,HEIF 2011-15 (BIS),RIS policy team,Aston University,GPROSTD361484,"126,767.00"
BIS,HEFCE,16/04/2015,HEIF 2011-15,RIS policy team,Aston University,GPROSTD362375,"42,256.00"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Barking and Dagenham,GPROSTD355328,"44,720.00"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Barnsley College,GPROSTD355355,"53,759.00"
BIS,HEFCE,16/04/2015,Teaching 14-15,E&P policy team,Bath Spa University,GPROSTD355373,"310,795.00"
