Department,Entity,Payment date,Supplier,TransactionNo,Amount,Expense Type,Expense Area
BIS,HEFCE,15/01/2015,Uni of Winchester,GPROSTD358194,"188,718.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Uni of Winchester,GPROSTD359346,"69,640.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Uni of Winchester,GPROSTD367003,"143,933.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Uni of Wolverhampton,GPROSTD358212,"1,205,741.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Uni of Wolverhampton,GPROSTD359355,"198,048.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Uni of Wolverhampton,GPROSTD362343,"156,531.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Uni of Wolverhampton,GPROSTD363234,"52,177.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Uni of Wolverhampton,GPROSTD367005,"229,397.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Uni of Worcester,GPROSTD346865,"101,667.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Uni of Worcester,GPROSTD358239,"466,135.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Uni of Worcester,GPROSTD367006,"42,805.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Uni StMark & StJohn,GPROSTD357861,"81,258.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Universities UK,GPROSTD343096,"187,500.00",International,LGM
BIS,HEFCE,15/01/2015,Universities UK,GPROSTD343111,"37,500.00",International,LGM
BIS,HEFCE,15/01/2015,University of Bath,GPROSTD355377,"1,335,157.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Bath,GPROSTD358329,"1,861,215.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Bath,GPROSTD361488,"178,208.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Bath,GPROSTD362379,"59,403.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Bath,GPROSTD366828,"146,933.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Bolton,GPROSTD355530,"495,958.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Bolton,GPROSTD358365,"62,655.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Bolton,GPROSTD366837,"37,063.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Derby,GPROSTD346859,"99,822.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,University of Derby,GPROSTD356052,"1,078,548.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Derby,GPROSTD358563,"43,300.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Derby,GPROSTD361686,"50,586.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Derby,GPROSTD366869,"197,632.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Durham,GPROSTD356088,"882,861.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Durham,GPROSTD358572,"2,746,349.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Durham,GPROSTD361695,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Durham,GPROSTD362586,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Durham,GPROSTD366872,"28,157.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Essex,GPROSTD346929,"146,294.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,University of Essex,GPROSTD356178,"781,955.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Essex,GPROSTD358617,"1,000,013.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Essex,GPROSTD361731,"55,579.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Essex,GPROSTD366877,"177,585.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Exeter,GPROSTD356205,"1,340,083.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Exeter,GPROSTD358626,"2,096,404.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Exeter,GPROSTD361740,"201,444.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Exeter,GPROSTD362631,"67,148.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Exeter,GPROSTD366878,"31,376.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Hull,GPROSTD356529,"1,202,222.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Hull,GPROSTD358716,"851,217.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Hull,GPROSTD361812,"147,113.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Hull,GPROSTD362703,"49,038.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Hull,GPROSTD366899,"216,798.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Keele,GPROSTD356556,"878,425.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Keele,GPROSTD358734,"692,216.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Keele,GPROSTD361830,"56,052.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Keele,GPROSTD366901,"149,919.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Kent,GPROSTD356565,"1,299,919.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Kent,GPROSTD358743,"1,206,697.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Kent,GPROSTD361839,"65,959.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Kent,GPROSTD366902,"63,554.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Leeds,GPROSTD356709,"3,288,606.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Leeds,GPROSTD358779,"5,283,966.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Leeds,GPROSTD361875,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Leeds,GPROSTD362766,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Leeds,GPROSTD366910,"195,942.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD265811,"30,214.00",SDF Recurrent,RIS policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD346789,"1,000,000.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD357285,"2,277,749.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD359040,"15,033,715.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD362100,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD362991,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD363899,"279,583.00","Museums, Gal & Coll",RIS policy team
BIS,HEFCE,15/01/2015,University of Oxford,GPROSTD366952,"138,709.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Surrey,GPROSTD357915,"864,602.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Surrey,GPROSTD359265,"1,638,954.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Surrey,GPROSTD362271,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Surrey,GPROSTD363162,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Surrey,GPROSTD366987,"140,484.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,University of Sussex,GPROSTD357924,"778,852.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of Sussex,GPROSTD359274,"1,647,490.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of Sussex,GPROSTD362280,"139,473.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of Sussex,GPROSTD363171,"46,491.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of York,GPROSTD358266,"1,002,368.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,University of York,GPROSTD359373,"2,650,805.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,University of York,GPROSTD362352,"213,750.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,University of York,GPROSTD363243,"71,250.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,University of York,GPROSTD367009,"34,417.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Uni West of England,GPROSTD358095,"1,277,574.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Uni West of England,GPROSTD359328,"489,256.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Uni West of England,GPROSTD362325,"88,625.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Uni West of England,GPROSTD363216,"29,542.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Uni West of England,GPROSTD366998,"78,894.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Wakefield College,GPROSTD358041,"40,207.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Warwickshire College,GPROSTD358077,"148,322.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,West Notts College,GPROSTD358122,"50,703.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,West Thames Col,GPROSTD358131,"27,746.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Wigan & Leigh Coll,GPROSTD358176,"72,505.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Wiltshire College,GPROSTD358185,"57,807.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Wirral Met College,GPROSTD358203,"36,822.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Worcester CC,GPROSTD366785,"25,889.82",Inherited Staff,Finance
BIS,HEFCE,15/01/2015,Writtle College,GPROSTD358248,"113,546.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Yeovil College,GPROSTD366760,"260,861.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,York College,GPROSTD358284,"40,865.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,York St John Uni,GPROSTD358275,"167,676.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,York St John Uni,GPROSTD367010,"146,380.00",CO,E&P policy team
BIS,HEFCE,16/01/2015,Centr for Enterprise,PIC707,"26,086.50",PD - research,"R,,E & KE"
BIS,HEFCE,16/01/2015,The City University,PIC704,"150,000.00",PD - research,"R,,E & KE"
BIS,HEFCE,23/01/2015,Fromevale Ltd,PIS4398,"42,949.52",Buildings maint,ROBO
BIS,HEFCE,30/01/2015,Anglia Ruskin Uni,GPROSTD367015,"281,000.00",Revolving Green Fund,RIS policy team
BIS,HEFCE,30/01/2015,Arts Uni Bournemouth,PIG14452,"61,500.00",REF,REF
BIS,HEFCE,30/01/2015,HESA,GPROSTD367012,"39,352.00",HESA,Regulatory Partnersh
BIS,HEFCE,30/01/2015,HESA,GPROSTD367014,"117,744.00",HEDIIP,Regulatory Partnersh
BIS,HEFCE,30/01/2015,HESA,GPROSTD367036,"187,103.00",HESA,Regulatory Partnersh
BIS,HEFCE,30/01/2015,NYS Corporate,PIG14446,"41,110.31",REF,REF
BIS,HEFCE,30/01/2015,Universities UK,GPROSTD367040,"47,000.00",Policy Ongoing Serv,Central
BIS,HEFCE,30/01/2015,Univ Vocational Awar,GPROSTD367038,"26,700.00",Policy Ongoing Serv,Central
,,,,,,,
