Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction no,Amount
BIS,HEFCE,14/01/2013,SS UMF,Finance,JISC Collections,GPROSTD324751,"33,486.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Keele University,GPROSTD319981,"1,835,926.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Keele University,GPROSTD322042,"664,155.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Keele University,GPROSTD323188,"62,255.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Keele University,GPROSTD325729,"41,654.00"
BIS,HEFCE,14/01/2013,SDF Recurrent,RIS policy team,King's College,GPROSTD259814,"29,405.00"
BIS,HEFCE,14/01/2013,SDF Recurrent,RIS policy team,King's College,GPROSTD305080,"28,618.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,King's College,GPROSTD320026,"6,294,229.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,King's College,GPROSTD322060,"6,211,222.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,King's College,GPROSTD323212,"237,405.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,King's College,GPROSTD325744,"68,214.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Kingston College,GPROSTD320017,"44,225.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Kingston University,GPROSTD320035,"4,837,251.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Kingston University,GPROSTD322069,"330,329.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Kingston University,GPROSTD323224,"75,891.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Kingston University,GPROSTD325747,"128,955.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Kirklees College,GPROSTD320053,"65,276.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Kirklees LEA,GPROSTD314536,"32,380.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Lakes College,GPROSTD320071,"93,665.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Lancashire LEA,GPROSTD314537,"55,075.00"
