Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,04/04/2014,Rates,Facilities Managemen,City of London,PIS3466,"43,010.00"
BIS,HEFCE,04/04/2014,Rates,Facilities Managemen,South Glos Council,PIS3465,"145,805.00"
BIS,HEFCE,08/04/2014,UKRPIF,Finance,HEFCW,PIG9787,"2,341,959.00"
BIS,HEFCE,08/04/2014,UKRPIF,Finance,SFC (HE),PIG9786,"2,231,800.00"
BIS,HEFCE,11/04/2014,Software maintenance,ITS,SAS Software Ltd,PIN20870,"56,366.40"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Accrington,GPROSTD334777,"39,193.00"
BIS,HEFCE,17/04/2014,Teaching 12-13,E&P policy team,Accrington,GPROSTD351897,"60,102.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15 (BIS),RIS policy team,Anglia Ruskin Uni,GPROSTD333877,"129,971.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Anglia Ruskin Uni,GPROSTD334795,"1,942,276.00"
BIS,HEFCE,17/04/2014,Research 13-14,RIS policy team,Anglia Ruskin Uni,GPROSTD337747,"112,978.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD338845,"42,988.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Arts Uni Bournemouth,GPROSTD334804,"386,477.00"
BIS,HEFCE,17/04/2014,Catalyst Fund  (R),RIS policy team,Arts Uni Bournemouth,GPROSTD347110,"45,680.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Arts Uni Bournemouth,GPROSTD353023,"27,218.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Askham Bryan College,GPROSTD334822,"97,659.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15 (BIS),RIS policy team,Aston University,GPROSTD333886,"127,013.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Aston University,GPROSTD334831,"1,022,751.00"
BIS,HEFCE,17/04/2014,Research 13-14,RIS policy team,Aston University,GPROSTD337765,"594,848.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15,RIS policy team,Aston University,GPROSTD338854,"42,010.00"
BIS,HEFCE,17/04/2014,PSS,E&P policy team,Aston University,GPROSTD346832,"234,079.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Aston University,GPROSTD353026,"446,012.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Barking and Dagenham,GPROSTD334849,"40,160.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Barnsley College,GPROSTD345140,"116,025.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bath Spa University,GPROSTD334894,"775,309.00"
BIS,HEFCE,17/04/2014,Research 13-14,RIS policy team,Bath Spa University,GPROSTD337774,"52,059.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bedford College,GPROSTD334912,"38,793.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15 (BIS),RIS policy team,Birkbeck College,GPROSTD333904,"48,153.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Birkbeck College,GPROSTD334966,"1,020,512.00"
BIS,HEFCE,17/04/2014,Research 13-14,RIS policy team,Birkbeck College,GPROSTD337792,"1,011,423.00"
BIS,HEFCE,17/04/2014,Teaching 12-13,E&P policy team,Birkbeck College,GPROSTD351909,"266,293.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Birkbeck College,GPROSTD353040,"432,870.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15 (BIS),RIS policy team,Birmingham City Univ,GPROSTD334012,"97,201.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD335290,"1,750,743.00"
BIS,HEFCE,17/04/2014,Research 13-14,RIS policy team,Birmingham City Univ,GPROSTD337909,"170,985.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15,RIS policy team,Birmingham City Univ,GPROSTD338980,"32,149.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD345184,"284,119.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD353075,"158,640.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Birmingham Met Coll,GPROSTD334993,"58,671.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bishop Burton,GPROSTD335011,"196,765.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Blackburn College,GPROSTD335029,"370,171.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Blackpool College,GPROSTD335038,"410,778.00"
BIS,HEFCE,17/04/2014,Basic Grant,RIS policy team,Blackpool College,GPROSTD351877,"66,721.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15 (BIS),RIS policy team,Bournemouth Uni,GPROSTD333931,"48,187.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bournemouth Uni,GPROSTD335074,"1,743,958.00"
BIS,HEFCE,17/04/2014,Research 13-14,RIS policy team,Bournemouth Uni,GPROSTD337828,"187,999.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bournemouth Uni,GPROSTD353052,"84,296.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bradford College,GPROSTD335101,"334,389.00"
BIS,HEFCE,17/04/2014,Teaching 12-13,E&P policy team,Bradford College,GPROSTD351921,"25,737.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bridgwater College,GPROSTD335119,"28,393.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15 (BIS),RIS policy team,Brunel University,GPROSTD333967,"84,499.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Brunel University,GPROSTD335182,"1,698,361.00"
BIS,HEFCE,17/04/2014,Research 13-14,RIS policy team,Brunel University,GPROSTD337864,"1,117,054.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15,RIS policy team,Brunel University,GPROSTD338935,"27,948.00"
BIS,HEFCE,17/04/2014,PSS,E&P policy team,Brunel University,GPROSTD346838,"249,450.00"
BIS,HEFCE,17/04/2014,HEIF 2011-15 (BIS),RIS policy team,Bucks New University,GPROSTD333976,"56,858.00"
BIS,HEFCE,17/04/2014,Teaching 13-14,E&P policy team,Bucks New University,GPROSTD335191,"836,752.00"
