Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,01/05/2015,Rates,ROBO,South Glos Council,PIS4908,"92,437.50"
BIS,HEFCE,08/05/2015,Professional serv,ROBO,Lockheed Martin,PIS4793,"43,718.40"
BIS,HEFCE,08/05/2015,PD - research,"R,,E & KE",PACEC Ltd,PIC746,"77,130.00"
BIS,HEFCE,12/05/2015,Policy Ongoing Serv,Central,BIS,PIG14596,"26,195.00"
BIS,HEFCE,14/05/2015,Teaching 14-15,E&P policy team,Accrington,GPROSTD355257,"25,244.00"
BIS,HEFCE,14/05/2015,Teaching 14-15,E&P policy team,Anglia Ruskin Uni,GPROSTD355275,"1,201,511.00"
BIS,HEFCE,14/05/2015,Research 14-15,RIS policy team,Anglia Ruskin Uni,GPROSTD358299,"103,474.00"
BIS,HEFCE,14/05/2015,HEIF 2011-15 (BIS),RIS policy team,Anglia Ruskin Uni,GPROSTD361476,"129,719.00"
BIS,HEFCE,14/05/2015,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD362367,"43,240.00"
BIS,HEFCE,14/05/2015,Teaching 13-14,E&P policy team,Anglia Ruskin Uni,GPROSTD374047,"26,036.00"
BIS,HEFCE,14/05/2015,STEM Capital,"R,,E & KE",Anglia Ruskin Uni,GPROSTD375465,"1,250,000.00"
BIS,HEFCE,14/05/2015,Teaching 14-15,E&P policy team,Arts Uni Bournemouth,GPROSTD355284,"160,515.00"
BIS,HEFCE,14/05/2015,Teaching 14-15,E&P policy team,Askham Bryan College,GPROSTD355302,"78,382.00"
BIS,HEFCE,14/05/2015,Teaching 14-15,E&P policy team,Aston University,GPROSTD355311,"977,427.00"
BIS,HEFCE,14/05/2015,Research 14-15,RIS policy team,Aston University,GPROSTD358317,"518,009.00"
BIS,HEFCE,14/05/2015,HEIF 2011-15 (BIS),RIS policy team,Aston University,GPROSTD361485,"126,767.00"
BIS,HEFCE,14/05/2015,HEIF 2011-15,RIS policy team,Aston University,GPROSTD362376,"42,255.00"
BIS,HEFCE,14/05/2015,STEM Capital,"R,,E & KE",Aston University,GPROSTD375467,"490,162.25"
BIS,HEFCE,14/05/2015,Teaching 14-15,E&P policy team,Barking and Dagenham,GPROSTD355329,"44,720.00"
BIS,HEFCE,14/05/2015,Inherited Staff,Finance,Barking and Dagenham,GPROSTD367279,"248,601.00"
BIS,HEFCE,14/05/2015,Inherited Staff,Finance,Barnet LEA,GPROSTD367280,"232,569.00"
BIS,HEFCE,14/05/2015,Teaching 14-15,E&P policy team,Barnsley College,GPROSTD355356,"53,759.00"
