Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,06/06/2014,Professional serv,Assurance,BDO Stoy Hayward,PIS3617,"78,372.20"
BIS,HEFCE,10/06/2014,UKRPIF,Finance,SFC (HE),PIG11014,"2,400,000.00"
BIS,HEFCE,10/06/2014,UKRPIF,Finance,SFC (HE),PIG11015,"1,900,000.00"
BIS,HEFCE,13/06/2014,PD - research,R&E programme,I Graduate,PIC671,"31,195.20"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Accrington,GPROSTD334779,"39,193.00"
BIS,HEFCE,19/06/2014,Teaching 12-13,E&P policy team,Accrington,GPROSTD352459,"60,102.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Anglia Ruskin Uni,GPROSTD333879,"129,971.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Anglia Ruskin Uni,GPROSTD334797,"1,942,275.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Anglia Ruskin Uni,GPROSTD337749,"112,977.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD338847,"42,988.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Arts Uni Bournemouth,GPROSTD334806,"386,477.00"
BIS,HEFCE,19/06/2014,Catalyst Fund  (R),RIS policy team,Arts Uni Bournemouth,GPROSTD347112,"39,120.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Arts Uni Bournemouth,GPROSTD353665,"27,218.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Askham Bryan College,GPROSTD334824,"97,659.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Aston University,GPROSTD333888,"127,013.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Aston University,GPROSTD334833,"1,022,751.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Aston University,GPROSTD337767,"594,847.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,Aston University,GPROSTD338856,"42,009.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Aston University,GPROSTD353668,"446,012.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Barking and Dagenham,GPROSTD334851,"40,160.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Barnsley College,GPROSTD345786,"116,025.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bath Spa University,GPROSTD334896,"775,308.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Bath Spa University,GPROSTD337776,"52,058.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bedford College,GPROSTD334914,"38,792.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Birkbeck College,GPROSTD333906,"48,152.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Birkbeck College,GPROSTD334968,"1,020,512.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Birkbeck College,GPROSTD337794,"1,011,423.00"
BIS,HEFCE,19/06/2014,Teaching 12-13,E&P policy team,Birkbeck College,GPROSTD352471,"266,293.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Birkbeck College,GPROSTD353682,"432,870.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Birmingham City Univ,GPROSTD334014,"97,201.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD335292,"1,750,743.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Birmingham City Univ,GPROSTD337911,"170,985.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,Birmingham City Univ,GPROSTD338982,"32,149.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD345830,"284,119.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD353717,"158,640.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Birmingham Met Coll,GPROSTD334995,"58,670.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bishop Burton,GPROSTD335013,"196,765.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Blackburn College,GPROSTD335031,"370,171.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Blackpool College,GPROSTD335040,"410,778.00"
BIS,HEFCE,19/06/2014,Basic Grant,RIS policy team,Blackpool College,GPROSTD351879,"66,721.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Bournemouth Uni,GPROSTD333933,"48,187.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bournemouth Uni,GPROSTD335076,"1,743,958.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Bournemouth Uni,GPROSTD337830,"187,999.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bournemouth Uni,GPROSTD353694,"84,296.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bradford College,GPROSTD335103,"334,388.00"
BIS,HEFCE,19/06/2014,Teaching 12-13,E&P policy team,Bradford College,GPROSTD352483,"25,737.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bridgwater College,GPROSTD335121,"28,392.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Brunel University,GPROSTD333969,"84,499.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Brunel University,GPROSTD335184,"1,698,361.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Brunel University,GPROSTD337866,"1,117,053.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,Brunel University,GPROSTD338937,"27,948.00"
BIS,HEFCE,19/06/2014,UKRPIF,Finance,Brunel University,GPROSTD347946,"2,659,467.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Bucks New University,GPROSTD333978,"56,857.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Bucks New University,GPROSTD335193,"836,752.00"
BIS,HEFCE,19/06/2014,Teaching 12-13,E&P policy team,Bucks New University,GPROSTD352492,"51,803.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Canterbury CCUC,GPROSTD333996,"66,006.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Canterbury CCUC,GPROSTD335247,"1,162,732.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Canterbury CCUC,GPROSTD337893,"89,546.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Canterbury CCUC,GPROSTD353712,"58,853.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Canterbury College,GPROSTD335265,"35,581.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Central College Nott,GPROSTD337128,"38,545.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Chesterfield College,GPROSTD335337,"40,605.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,City College Norwich,GPROSTD336687,"30,578.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,City Liverpool Col,GPROSTD335418,"52,445.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,City of Bristol Coll,GPROSTD335427,"28,836.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,City of Westminster,GPROSTD335373,"57,073.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,"City University, Lon",GPROSTD334050,"125,836.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,"City University, Lon",GPROSTD335409,"1,118,416.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,"City University, Lon",GPROSTD337956,"965,658.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,"City University, Lon",GPROSTD339018,"41,620.00"
BIS,HEFCE,19/06/2014,Teaching 12-13,E&P policy team,"City University, Lon",GPROSTD352513,"170,543.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,"City University, Lon",GPROSTD353730,"129,004.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Cleveland College,GPROSTD335445,"99,377.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Conservatoire D&D,GPROSTD334059,"28,179.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Conservatoire D&D,GPROSTD335463,"717,406.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Cornwall College,GPROSTD335472,"38,619.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Cornwall College,GPROSTD353737,"28,893.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Courtauld Institute,GPROSTD335481,"66,520.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Courtauld Institute,GPROSTD337965,"111,930.00"
BIS,HEFCE,19/06/2014,"Museums, Gal & Coll",RIS policy team,Courtauld Institute,GPROSTD340281,"80,417.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Coventry University,GPROSTD334068,"214,164.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Coventry University,GPROSTD335490,"2,305,191.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Coventry University,GPROSTD337974,"184,199.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,Coventry University,GPROSTD339036,"70,835.00"
BIS,HEFCE,19/06/2014,Catalyst Fund  (R),RIS policy team,Coventry University,GPROSTD347153,"113,371.00"
BIS,HEFCE,19/06/2014,Catalyst Fund C (R),RIS policy team,Coventry University,GPROSTD347538,"358,644.00"
BIS,HEFCE,19/06/2014,Catalyst Fund C (T),RIS policy team,Coventry University,GPROSTD347547,"537,965.00"
BIS,HEFCE,19/06/2014,Teaching 12-13,E&P policy team,Coventry University,GPROSTD352522,"128,808.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,Cranfield University,GPROSTD334077,"214,164.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Cranfield University,GPROSTD335508,"841,955.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Cranfield University,GPROSTD337983,"1,134,141.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,Cranfield University,GPROSTD339045,"70,835.00"
BIS,HEFCE,19/06/2014,Catalyst Fund  (R),RIS policy team,Cranfield University,GPROSTD346579,"160,000.00"
BIS,HEFCE,19/06/2014,Catalyst Fund C (R),RIS policy team,Cranfield University,GPROSTD354381,"280,000.00"
BIS,HEFCE,19/06/2014,Catalyst Fund C (T),RIS policy team,Cranfield University,GPROSTD354385,"420,000.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Craven College,GPROSTD335499,"26,616.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Croydon College,GPROSTD335526,"85,300.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15 (BIS),RIS policy team,De Montfort Uni,GPROSTD334086,"76,988.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,De Montfort Uni,GPROSTD335553,"2,226,384.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,De Montfort Uni,GPROSTD338010,"433,991.00"
BIS,HEFCE,19/06/2014,HEIF 2011-15,RIS policy team,De Montfort Uni,GPROSTD339054,"25,464.00"
BIS,HEFCE,19/06/2014,Teaching 12-13,E&P policy team,De Montfort Uni,GPROSTD352529,"76,438.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,De Montfort Uni,GPROSTD353746,"54,431.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Doncaster College,GPROSTD335580,"149,263.00"
BIS,HEFCE,19/06/2014,Inherited Staff,Finance,Dorset LEA,GPROSTD354542,"40,351.49"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Dudley College,GPROSTD335589,"25,530.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Edge Hill University,GPROSTD335679,"1,097,650.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Falmouth Uni,GPROSTD335724,"733,455.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Falmouth Uni,GPROSTD338091,"45,685.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Farnborough College,GPROSTD335742,"101,853.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Gateshead College,GPROSTD335760,"59,655.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Gloucestershire Coll,GPROSTD335778,"28,346.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Goldsmiths' College,GPROSTD335787,"730,816.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Goldsmiths' College,GPROSTD338109,"793,177.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Goldsmiths' College,GPROSTD353772,"78,495.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Grimsby Institute,GPROSTD335814,"263,480.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Guildford College,GPROSTD335823,"67,644.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Guildhall Sch M & D,GPROSTD335832,"153,019.00"
BIS,HEFCE,19/06/2014,Teaching 13-14,E&P policy team,Harper Adams Uni,GPROSTD335886,"901,575.00"
BIS,HEFCE,19/06/2014,Research 13-14,RIS policy team,Harper Adams Uni,GPROSTD338136,"29,888.00"
