Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,05/02/2016,PD - research,"R,,E & KE",King's College,PIS5775,"49,476.00"
BIS,HEFCE,10/02/2016,SDF Capital (R),RIS policy team,EPSRC,PIG14652,"54,173.25"
BIS,HEFCE,10/02/2016,SDF Capital (R),RIS policy team,EPSRC,PIG14653,"93,060.81"
BIS,HEFCE,10/02/2016,SLA income,Central,HM Revenue & Customs,PIS5944,"37,923.15"
BIS,HEFCE,12/02/2016,PD - research,"R,,E & KE",CRAC Ltd,PIS5852,"87,048.00"
BIS,HEFCE,12/02/2016,Professional serv,Finance,UKSBS,PIS5819,"34,252.44"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Anglia Ruskin Uni,GPROSTD370076,"134,278.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Anglia Ruskin Uni,GPROSTD371070,"39,942.67"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Anglia Ruskin Uni,GPROSTD375675,"1,250,000.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Aston University,GPROSTD370079,"88,432.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Aston University,GPROSTD371071,"157,476.67"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Aston University,GPROSTD375677,"490,162.25"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Barking and Dagenham,GPROSTD367564,"248,601.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Barnet LEA,GPROSTD367565,"232,569.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Bath LEA,GPROSTD367563,"191,647.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Bath Spa University,GPROSTD370084,"53,640.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Bath Spa University,GPROSTD375678,"40,000.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Beds LEA,GPROSTD367567,"72,781.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Birkbeck College,GPROSTD370087,"64,230.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Birkbeck College,GPROSTD371074,"214,639.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Birkbeck College,GPROSTD375681,"162,500.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Birmingham City Univ,GPROSTD370114,"139,758.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Birmingham City Univ,GPROSTD371086,"41,245.33"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Birmingham City Univ,GPROSTD375691,"1,250,000.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Birmingham City Univ,GPROSTD386573,"1,227,000.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Birmingham LEA,GPROSTD367568,"171,386.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Blackburn College,GPROSTD370093,"47,827.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Blackburn College,GPROSTD375683,"49,103.25"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Blackburn College,GPROSTD386646,"76,000.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Blackpool College,GPROSTD370094,"62,234.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Blackpool College,GPROSTD375684,"124,259.25"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Bolton LEA,GPROSTD367569,"48,293.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Bournemouth Uni,GPROSTD370096,"108,217.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Bournemouth Uni,GPROSTD371077,"58,477.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Bournemouth Uni,GPROSTD375686,"1,250,000.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Bradford College,GPROSTD370098,"57,261.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Bromley LEA,GPROSTD367572,"38,819.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Brunel University,GPROSTD370105,"94,458.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Brunel University,GPROSTD371081,"341,922.67"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Brunel University,GPROSTD375688,"1,250,000.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Bucks County Council,GPROSTD367573,"103,769.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Bucks New University,GPROSTD370106,"48,496.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Bucks New University,GPROSTD375689,"121,821.25"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Canterbury CCUC,GPROSTD370110,"90,269.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Canterbury CCUC,GPROSTD371084,"25,838.67"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Cheshire West,GPROSTD367575,"108,890.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,City of Bradford,GPROSTD367570,"85,012.00"
BIS,HEFCE,18/02/2016,Catalyst Fund C (R),RIS policy team,Conservatoire D&D,GPROSTD386858,"177,055.00"
BIS,HEFCE,18/02/2016,Catalyst Fund C (T),RIS policy team,Conservatoire D&D,GPROSTD386861,"177,055.00"
BIS,HEFCE,18/02/2016,"Museums, Gal & Coll",RIS policy team,Courtauld Institute,GPROSTD382461,"81,979.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Coventry LEA,GPROSTD367576,"84,297.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Coventry University,GPROSTD370135,"161,235.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Coventry University,GPROSTD371093,"102,873.67"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Coventry University,GPROSTD375694,"1,225,000.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Cranfield University,GPROSTD370137,"26,511.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,Cranfield University,GPROSTD371094,"442,926.33"
BIS,HEFCE,18/02/2016,UKRPIF,Finance,Cranfield University,GPROSTD375318,"2,500,000.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Cranfield University,GPROSTD375695,"1,250,000.00"
BIS,HEFCE,18/02/2016,STEM Capital,"R,,E & KE",Cranfield University,GPROSTD386577,"850,000.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,De Montfort Uni,GPROSTD370141,"138,220.00"
BIS,HEFCE,18/02/2016,RCIF Round 2,Finance,De Montfort Uni,GPROSTD371097,"91,609.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Derbyshire LEA,GPROSTD367580,"46,870.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Devon County Council,GPROSTD367581,"107,226.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Doncaster Council,GPROSTD367582,"47,516.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Dorset LEA,GPROSTD367583,"77,926.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Durham LEA,GPROSTD367585,"35,157.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Ealing LEA,GPROSTD367586,"38,906.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,East Riding,GPROSTD367587,"150,000.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,East Sussex LEA,GPROSTD367588,"238,501.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Edge Hill University,GPROSTD370151,"90,624.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Essex LEA,GPROSTD367589,"43,664.00"
BIS,HEFCE,18/02/2016,TCIF Round 2,Finance,Falmouth Uni,GPROSTD370155,"39,434.00"
BIS,HEFCE,18/02/2016,Catalyst Fund C (R),RIS policy team,Furness College,GPROSTD383149,"100,000.00"
BIS,HEFCE,18/02/2016,Catalyst Fund C (T),RIS policy team,Furness College,GPROSTD383154,"100,000.00"
BIS,HEFCE,18/02/2016,Inherited Staff,Finance,Gloucs LEA,GPROSTD367590,"55,943.00"
