Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,14/01/2014,PD - research,R&E programme,EPSRC,PIC615,"94,320.00"
BIS,HEFCE,14/01/2014,UKRPIF,Finance,HEFCW,PIG7406,"2,658,441.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Accrington,GPROSTD334772,"39,193.00"
BIS,HEFCE,16/01/2014,HEIF 2011-15 (BIS),RIS policy team,Anglia Ruskin Uni,GPROSTD333872,"129,971.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Anglia Ruskin Uni,GPROSTD334790,"1,942,276.00"
BIS,HEFCE,16/01/2014,Research 13-14,RIS policy team,Anglia Ruskin Uni,GPROSTD337742,"112,978.00"
BIS,HEFCE,16/01/2014,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD338840,"42,988.00"
BIS,HEFCE,16/01/2014,Access to Learn Fund,E&P policy team,Anglia Ruskin Uni,GPROSTD342150,"152,780.00"
BIS,HEFCE,16/01/2014,Catalyst Fund  (R),RIS policy team,Anglia Ruskin Uni,GPROSTD346568,"26,850.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Arts Uni Bournemouth,GPROSTD334799,"386,477.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Askham Bryan College,GPROSTD334817,"97,659.00"
BIS,HEFCE,16/01/2014,HEIF 2011-15 (BIS),RIS policy team,Aston University,GPROSTD333881,"127,013.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Aston University,GPROSTD334826,"1,022,751.00"
BIS,HEFCE,16/01/2014,Research 13-14,RIS policy team,Aston University,GPROSTD337760,"594,848.00"
BIS,HEFCE,16/01/2014,HEIF 2011-15,RIS policy team,Aston University,GPROSTD338849,"42,010.00"
BIS,HEFCE,16/01/2014,Access to Learn Fund,E&P policy team,Aston University,GPROSTD342154,"41,265.00"
BIS,HEFCE,16/01/2014,PSS,E&P policy team,Aston University,GPROSTD346831,"234,079.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Barking and Dagenham,GPROSTD334844,"40,160.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Barnsley College,GPROSTD344162,"116,025.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Bath Spa University,GPROSTD334889,"775,309.00"
BIS,HEFCE,16/01/2014,Research 13-14,RIS policy team,Bath Spa University,GPROSTD337769,"52,059.00"
BIS,HEFCE,16/01/2014,Access to Learn Fund,E&P policy team,Bath Spa University,GPROSTD342161,"48,535.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Bedford College,GPROSTD334907,"38,793.00"
BIS,HEFCE,16/01/2014,HEIF 2011-15 (BIS),RIS policy team,Birkbeck College,GPROSTD333899,"48,153.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Birkbeck College,GPROSTD334961,"1,020,512.00"
BIS,HEFCE,16/01/2014,Research 13-14,RIS policy team,Birkbeck College,GPROSTD337787,"1,011,423.00"
BIS,HEFCE,16/01/2014,Access to Learn Fund,E&P policy team,Birkbeck College,GPROSTD342167,"128,774.00"
BIS,HEFCE,16/01/2014,HEIF 2011-15 (BIS),RIS policy team,Birmingham City Univ,GPROSTD334007,"97,201.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD335285,"1,750,743.00"
BIS,HEFCE,16/01/2014,Research 13-14,RIS policy team,Birmingham City Univ,GPROSTD337904,"170,985.00"
BIS,HEFCE,16/01/2014,HEIF 2011-15,RIS policy team,Birmingham City Univ,GPROSTD338975,"32,149.00"
BIS,HEFCE,16/01/2014,Access to Learn Fund,E&P policy team,Birmingham City Univ,GPROSTD342200,"167,373.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Birmingham City Univ,GPROSTD344206,"284,119.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Birmingham Met Coll,GPROSTD334988,"58,671.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Bishop Burton,GPROSTD335006,"196,765.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Bishop Gros Uni,GPROSTD334997,"178,323.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Blackburn College,GPROSTD335024,"370,171.00"
BIS,HEFCE,16/01/2014,Access to Learn Fund,E&P policy team,Blackburn College,GPROSTD342173,"58,835.00"
BIS,HEFCE,16/01/2014,Teaching 13-14,E&P policy team,Blackpool College,GPROSTD335033,"410,778.00"
BIS,HEFCE,16/01/2014,Access to Learn Fund,E&P policy team,Blackpool College,GPROSTD342174,"49,608.00"
