Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Chichester,GPROSTD355844,"215,461.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Cumbria,GPROSTD356033,"295,966.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Cumbria,GPROSTD371725,"35,700.00"
BIS,HEFCE,16/07/2015,Revolving Green Fund,RIS policy team,Uni of Cumbria,GPROSTD375356,"54,510.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of East Anglia,GPROSTD356114,"1,167,169.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of East Anglia,GPROSTD358589,"1,409,850.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of East Anglia,GPROSTD361712,"132,491.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of East Anglia,GPROSTD362603,"44,163.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of East Anglia,GPROSTD363348,"289,198.00"
BIS,HEFCE,16/07/2015,"Museums, Gal & Coll",RIS policy team,Uni of East Anglia,GPROSTD364018,"25,000.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of East London,GPROSTD356123,"1,036,535.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of East London,GPROSTD358598,"181,837.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of East London,GPROSTD361721,"45,629.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of East London,GPROSTD366276,"72,317.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of East London,GPROSTD371761,"484,330.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of East London,GPROSTD374405,"597,999.00"
BIS,HEFCE,16/07/2015,Catalyst Fund  (R),RIS policy team,Uni of Gloucester,GPROSTD347190,"250,000.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Gloucester,GPROSTD356267,"418,265.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Gloucester,GPROSTD358652,"59,179.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Gloucester,GPROSTD361766,"25,143.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Greenwich,GPROSTD356303,"1,571,540.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Greenwich,GPROSTD358670,"249,260.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Greenwich,GPROSTD361784,"129,742.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Greenwich,GPROSTD362675,"43,247.00"
BIS,HEFCE,16/07/2015,Basic Grant,RIS policy team,Uni of Greenwich,GPROSTD372774,"46,268.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Greenwich,GPROSTD374477,"116,861.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Hertfordshire,GPROSTD356456,"1,215,281.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Hertfordshire,GPROSTD358697,"365,499.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Hertfordshire,GPROSTD361802,"213,750.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Hertfordshire,GPROSTD362693,"71,250.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Huddersfield,GPROSTD356510,"1,599,760.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Huddersfield,GPROSTD358715,"181,008.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Huddersfield,GPROSTD361811,"69,941.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Lancaster,GPROSTD356681,"589,537.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Lancaster,GPROSTD358778,"1,624,645.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Lancaster,GPROSTD361874,"165,945.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Lancaster,GPROSTD362765,"55,315.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Uni of Lancaster,GPROSTD374629,"90,043.00"
BIS,HEFCE,16/07/2015,Catalyst Fund  (R),RIS policy team,Uni of Lancaster,GPROSTD375296,"274,517.00"
BIS,HEFCE,16/07/2015,SDF Recurrent,RIS policy team,Uni of Lancaster,GPROSTD375453,"63,973.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Leicester,GPROSTD356753,"1,556,854.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Leicester,GPROSTD358805,"1,748,099.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Leicester,GPROSTD361901,"143,922.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Uni of Leicester,GPROSTD362792,"47,974.00"
BIS,HEFCE,16/07/2015,Catalyst Fund  (R),RIS policy team,Uni of Lincoln,GPROSTD354365,"620,000.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Lincoln,GPROSTD356771,"586,768.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Uni of Lincoln,GPROSTD358814,"150,387.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Uni of Lincoln,GPROSTD361910,"38,214.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Uni of Lincoln,GPROSTD372041,"100,239.00"
