Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Type,Expenditure Type,
HMRC,HMRC,04/11/2015,Chairs,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100049036,"£33,598.80",This relates to the purchase of furniture for Bush House London,BB5 5YE,,,,,
HMRC,HMRC,04/11/2015,Software coding,Digital,EQUAL EXPERTS UK LTD,5100061065,"£240,855.00",Digital development contractor costs ,WC1H 9BB,,,,,
HMRC,HMRC,04/11/2015,Samplng & Analytical,Specialist Investigations (SI),LGC LTD,5100061068,"£106,789.80",Sampling & Analytical Services,TW11 0LY,,,,,
HMRC,HMRC,04/11/2015,Software coding,Digital,EQUAL EXPERTS UK LTD,5100061097,"£140,610.00",Digital Delivery Centre London Equal Experts October Invoive  - Self Assessment Project,WC1H 9BB,,,,,
HMRC,HMRC,04/11/2015,Software coding,Digital,EQUAL EXPERTS UK LTD,5100061100,"£94,395.00",Digital Delivery Centre London Equal Experts October Invoive  - API Platform Project,WC1H 9BB,,,,,
HMRC,HMRC,04/11/2015,Software coding,Digital,EQUAL EXPERTS UK LTD,5100061102,"£154,395.00",Digital Delivery Centre London Equal Experts October Invoive  - Company Accounts Tax Online Project,WC1H 9BB,,,,,
HMRC,HMRC,04/11/2015,Software coding,Information Management Services,EQUAL EXPERTS UK LTD,5100061104,"£210,945.00",Invoice for Equal Experts Transaction monitoring September 2015 scrum team resource,WC1H 9BB,,,,,
HMRC,HMRC,04/11/2015,Software coding,Digital,EQUAL EXPERTS UK LTD,5100061105,"£73,305.00",Digital development contractor costs ,WC1H 9BB,,,,,
HMRC,HMRC,04/11/2015,Software coding,Digital,EQUAL EXPERTS UK LTD,5100061108,"£179,902.50",Digital development contractor costs ,WC1H 9BB,,,,,
HMRC,HMRC,04/11/2015,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100061142,"£53,756.82",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,,
HMRC,HMRC,04/11/2015,100 PS Service Charg,Estates & Support Services,EXCHEQUER PARTNERSHIP PLC,5100061173,"£1,199,846.11",Monthly charge for fully serviced accommodation at 100 Parliament Street London,M41 7HG,,,,,
HMRC,HMRC,04/11/2015,100 PS Service Charg,Estates & Support Services,EXCHEQUER PARTNERSHIP PLC,5100061173,"£1,248,819.43",Monthly charge for fully serviced accommodation at 100 Parliament Street London,M41 7HG,,,,,
HMRC,HMRC,04/11/2015,OGD costs,Estates & Support Services,THE SCOTTISH GOVERNMENT,5100061182,"£99,572.88",Charges for occupation under MOTO arrangement. ,EH6 6QQ,,,,,
HMRC,HMRC,04/11/2015,Storage (non enfmnt),Estates & Support Services,DERWENT FACILITIES MANAGEMENT LTD,5100061192,"£53,920.01",Monthy charge for facilities management,HG3 1UF,,,,,
HMRC,HMRC,04/11/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL,5100061230,£516.35,These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director.,PE4 5BR,,,,,
HMRC,HMRC,04/11/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL,5100061230,"£55,481.20",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director.,PE4 5BR,,,,,
HMRC,HMRC,04/11/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL,5100061230,"£345,742.39",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director.,PE4 5BR,,,,,
HMRC,HMRC,05/11/2015,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100061231,"£59,644.50",Costs for officers stationed abroad,MK10 1PX,,,,,
HMRC,HMRC,05/11/2015,Specimen Isolation,Specialist Investigations (SI),IMA LTD,5100061303,"£244,584.00",Scientific Testing Equipment,LS20 8BH,,,,,
HMRC,HMRC,05/11/2015,Disposal Seized Gds,Specialist Investigations (SI),ENVA NORTHERN IRELAND LTD,5100061388,"£144,000.00",Disposal of Seized Goods,BT24 8LS,,,,,
HMRC,HMRC,05/11/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL WHOLESALE,5100061459,£571.82,These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director.,EC4Y 0HQ,,,,,
HMRC,HMRC,05/11/2015,Nat Pst Del Ser(VAT),PT Director,ROYAL MAIL WHOLESALE,5100061459,"£2,668,825.83",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director.,EC4Y 0HQ,,,,,
HMRC,HMRC,06/11/2015,Business Consultancy,Benefits & Credits Delivery,SYNNEX-CONCENTRIX UK LTD,5100060670,"£137,647.20",Error & Fraud Adding Capacity Programme,EC2N 1HQ,,,,,
HMRC,HMRC,06/11/2015,Business Consultancy,Benefits & Credits Delivery,SYNNEX-CONCENTRIX UK LTD,5100060673,"£105,434.40",Error & Fraud Adding Capacity Programme,EC2N 1HQ,,,,,
HMRC,HMRC,06/11/2015,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100061498,"£109,500.00",Court Fees,B4 6FD,,,,,
HMRC,HMRC,06/11/2015,Cross Government Ser,Information Management Services,CROWN COMMERCIAL SERVICES,5100061627,"£30,928.18",Charges for IT Specialists,L3 9PP,,,,,
HMRC,HMRC,09/11/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900299976,"£99,169.41",Employee Training,DL1 9HN,,,,,
HMRC,HMRC,09/11/2015,Diesel fuel,Criminal Investigations,ALLSTAR BUSINESS SOLUTIONS LTD,5100061653,"£46,434.03",Vehicle Fleet Services,SN5 6PS,,,,,
HMRC,HMRC,09/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061664,"£8,160.00",Digital Delivery Centre Newcastle October Invoice - Scrum 2 Tax Credit Change of Circumstances Project,NE136DS,,,,,
HMRC,HMRC,09/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061664,"£8,640.00",Digital Delivery Centre Newcastle October Invoice - Scrum 1 Tax Credit Renewals 2015 Project,NE136DS,,,,,
HMRC,HMRC,09/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061664,"£9,600.00",Digital Delivery Centre Newcastle October Invoice - Scrum 1 Tax Credit Renewals 2015 Project,NE136DS,,,,,
HMRC,HMRC,09/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061664,"£10,560.00",Digital Delivery Centre Newcastle October Invoice - Scrum 1 Tax Credit Renewals 2015 Project,NE136DS,,,,,
HMRC,HMRC,09/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061664,"£10,560.00",Digital Delivery Centre Newcastle October Invoice - Scrum 11 My Tax Account Project,NE136DS,,,,,
HMRC,HMRC,09/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061664,"£11,880.00",Digital Delivery Centre Newcastle October Invoice - Scrum 3 Employment Related Securities Project,NE136DS,,,,,
HMRC,HMRC,09/11/2015,Network Voice Serv,Information Management Services,Vodafone Limited,5100061665,"£72,879.87",Vodafone October-15 invoice charges for Communication Services (Blackberry),RG14 5FF,,,,,
HMRC,HMRC,09/11/2015,Govt dept services,S&ID,Ministry of Defence,5100061672,"£35,982.88",Service providing security vetting/compliance checking.,L2 3YL,,,,,
HMRC,HMRC,09/11/2015,License or Reg fee,PT Change,DEPARTMENT FOR WORK & PENSIONS,5100061718,"£64,472.82",Payment to DWP for resources working on reform of Class 2 NICs,FY5 3TA,,,,,
HMRC,HMRC,09/11/2015,OHS,HR,RIGHT CORECARE,5100061751,"£30,289.36",Outsourced contract for Welfare and help-line services,PO15 7AL,,,,,
HMRC,HMRC,09/11/2015,OHS,HR,RIGHT CORECARE,5100061759,"£27,410.22",Outsourced contract for Welfare and help-line services,PO15 7AL,,,,,
HMRC,HMRC,09/11/2015,IT consultancy,Information Management Services,OPEN CREDO LTD,5100061805,"£167,508.76",Specialist Support to develop HMRCs Cloud Ecosystem platform,SE1 0NZ,,,,,
HMRC,HMRC,09/11/2015,Disposal Seized Gds,Specialist Investigations (SI),ENVA NORTHERN IRELAND LTD,5100062635,"£66,626.28",Disposal of Seized Goods,BT24 8LS,,,,,
HMRC,HMRC,09/11/2015,Govt dept services,Benefits & Credits Delivery,NATIONAL SAVINGS & INVESTMENTS,5100062642,"£693,566.50",HMRC procured NS&I as partners for the Tax Free Childcare Programme and payment is for work that has been carried out,SW1V 2QX,,,,,
HMRC,HMRC,09/11/2015,Promotional services,Civil Service Resourcing,HAVAS PEOPLE LIMITED,5100062699,"£40,762.89",Civil Service Fast Stream media and social media campaign fees.,EC1M 5NR,,,,,
HMRC,HMRC,09/11/2015,Software licences,Digital,MONGODB LTD,5100062714,"£58,500.00",Digital analytical tool licence costs ,8,,,,,
HMRC,HMRC,09/11/2015,Software licences,Digital,MONGODB LTD,5100062714,"£62,400.00",Digital cross-platform database licence costs ,8,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062717,"£1,230.37",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062717,"£55,434.00",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062717,"£74,986.20",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062718,£632.02,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062718,"£1,713.60",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062718,"£25,090.80",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062720,"£1,740.49",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100062720,"£184,492.48",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,
HMRC,HMRC,09/11/2015,Gov Bank Serv Charge,Finance & Internal Audit,HSBC BANK PLC,5100062728,"£63,936.00",Cash management solution provided by HSBC,E14 5HQ,,,,,
HMRC,HMRC,09/11/2015,STEPS VAT Indemnity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100062788,"£2,927,213.34",Under the STEPS outsourcing contract the Department pays an indemnity for the VAT Mapeley pays to landlords but cannot recover on leases due to the underlying contractual arrangements. The indemnity is a standard feature of property Private Finance Initiative contracts.,WD17 1HN,,,,,
HMRC,HMRC,10/11/15,Ship builders relief,BT Corporate Centre,BAE SYTEMS,1900311148,"£324,383.00",HMS Ambush (Submarine) - 1st Supp Claim - Ship Builders Relief Claims from 2014/15.  Costs accrued from March 2015.,LA14 1AF,,,,,
HMRC,HMRC,10/11/15,Ship builders relief,BT Corporate Centre,BAE SYTEMS,1900311149,"£90,067.00",HMS Astute (Submarine) - 3rd Supp Claim - Ship Builders Relief Claims from 2014/15.  Costs accrued from March 2015.,LA14 1AF,,,,,
HMRC,HMRC,10/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061662,"£9,180.00",Digital Delivery Centre Newcastle October Invoice - Scrum 2 Tax Credit Change of Circumstances Project,NE136DS,,,,,
HMRC,HMRC,10/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061662,"£9,600.00",Digital Delivery Centre Newcastle October Invoice - Scrum 3 Employment Related Securities Project,NE136DS,,,,,
HMRC,HMRC,10/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061662,"£9,600.00",Digital Delivery Centre Newcastle October Invoice - Scrum 3 Employment Related Securities Project,NE136DS,,,,,
HMRC,HMRC,10/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061662,"£10,080.00",Digital Delivery Centre Newcastle October Invoice - Scrum 3 Employment Related Securities Project,NE136DS,,,,,
HMRC,HMRC,10/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061662,"£10,560.00",Digital Delivery Centre Newcastle October Invoice - Scrum 3 Employment Related Securities Project,NE136DS,,,,,
HMRC,HMRC,10/11/2015,IT consultancy,Digital,ORANGE BUS LTD,5100061662,"£10,560.00",Digital Delivery Centre Newcastle October Invoice - Scrum 3 Employment Related Securities Project,NE136DS,,,,,
HMRC,HMRC,10/11/2015,Disposal Seized Gds,Criminal Investigations,SHRED STATION LTD,5100062767,"£61,072.20",Haulage Storage & Disposal,NR13 6LH,,,,,
HMRC,HMRC,10/11/2015,Nat Pst Del Ser(VAT),PT Director,G3 WORLDWIDE (UK) LTD,5100062771,"£19,602.32",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,UB2 5LF,,,,,
HMRC,HMRC,10/11/2015,Nat Pst Del Ser(VAT),PT Director,G3 WORLDWIDE (UK) LTD,5100062771,"£57,434.66",These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,UB2 5LF,,,,,
HMRC,HMRC,10/11/2015,Maintenance fees,Information Management Services,SKYSCAPE CLOUD SERVICES LTD,5100062822,"£221,420.20",Skyscape October-15 invoice charges for server hosting,SN13 0RP,,,,,
HMRC,HMRC,10/11/2015,Promotional services,Civil Service Resourcing,HAVAS PEOPLE LIMITED,5100062830,"£44,043.60",Civil Service Fast Stream brochure and media collateral project management costs.,EC1M 5NR,,,,,
HMRC,HMRC,10/11/2015,Hardware maintenance,Information Management Services,SKYSCAPE CLOUD SERVICES LTD,5100062911,"£71,241.72",Skyscape Oct 15 Invoice charges for Data Storage,SN13 0RP,,,,,
HMRC,HMRC,10/11/2015,Govt dept services,Specialist Investigations (SI),CROWN PROSECUTION SERVICE,5100062917,"£26,144.67",Govt Dept Services,YO1 9PQ,,,,,
HMRC,HMRC,10/11/2015,Valuation Services,Risk & Intelligence,VALUATION OFFICE AGENCY,5100063019,"£734,429.25",Property valuations in respect of Inheritance Tax and other Tax cases - monthly payment ,W1D 5BU,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,HR & Corporate Change Centre,TNT UK LTD,5100063053,£169.76,Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Closed,BT Corporate Centre,TNT UK LTD,5100063053,£254.64,Courier Services,BL10 9AR,,,,,
HMRC,HMRC,10/11/2015,Next Day Del. Open,Change Portfolio,TNT UK LTD,5100063053,£424.40,Courier Services,BL10 9AR,,,,,
