Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,219767.56
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,12505.75
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,2794.28
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,2794.28
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,2790
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,2718.73
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,2212.61
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,2212.61
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,2135.59
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,1858.16
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,1761.44
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,886.86
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,522.82
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,510.05
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,510.05
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,357.68
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,186.64
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,127.76
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,78.35
HMRC,HMRC,24/06/2011,IT Hardware,Information Management Services,Aspire,TF3 3BD,5100026032,64.84
HMRC,HMRC,24/06/2011,Oth PFI unitary chrg,Estates & Support Services,Newcastle Estate Partnership,BA2 3RH,5100026033,3641943.34
HMRC,HMRC,24/06/2011,PRIME costs,Estates & Support Services,DWP,FY5 3TA,5100026295,934922.15
HMRC,HMRC,27/06/2011,OGD costs,Estates & Support Services,HM Land Registry,CR0 2AQ,5100026279,66771
HMRC,HMRC,27/06/2011,Rent,Estates & Support Services,Eddisons,WC2H 0AU,5100026287,236481.9
HMRC,HMRC,27/06/2011,Court Fees,Debt Management & Banking,The Insolvency Service,B2 4UP,5100026289,210980
HMRC,HMRC,27/06/2011,Electricity,Estates & Support Services,EDF Energy,EX1 3UT,5100026364,259135.58
HMRC,HMRC,27/06/2011,Electricity,Estates & Support Services,EDF Energy,EX1 3UT,5100026364,186.35
HMRC,HMRC,27/06/2011,Data output prod,Information Management Solutions,Aspire,TF3 3BD,5100026588,1289772.9
HMRC,HMRC,28/06/2011,Forensic Services,Criminal Investigations,Forensic Science Service,B37 7YN,5100026623,75952.36
HMRC,HMRC,28/06/2011,Rent,Estates & Support Services,Somerset House Trust,WC2R 1LA,5100026725,713867.51
HMRC,HMRC,28/06/2011,Landlord Charges,Estates & Support Services,Somerset House Trust,WC2R 1LA,5100026725,345327.44
HMRC,HMRC,28/06/2011,Rent,Estates & Support Services,King Sturge,BS8 9AQ,5100026728,50400
HMRC,HMRC,28/06/2011,Landlord Charges,Estates & Support Services,King Sturge,BS8 9AQ,5100026728,25283.7
HMRC,HMRC,28/06/2011,Oth PFI unitary chrg,Estates & Support Services,Bootle PFI Solutions 1998 (2) Ltd,SE1 9RA,5100026730,803573.44
HMRC,HMRC,28/06/2011,Software coding,Information Management Solutions,Accenture (UK) Limited,EC3M 3BD,5100026731,114201.76
HMRC,HMRC,28/06/2011,Software coding,Information Management Solutions,Accenture (UK) Limited,EC3M 3BD,5100026732,174849.74
HMRC,HMRC,28/06/2011,Software coding,Information Management Solutions,Accenture (UK) Limited,EC3M 3BD,5100026733,139801.62
HMRC,HMRC,29/06/2011,Radio Infrastructure,Commercial Directorate,Arqiva,SO21 2QA,5100026738,54924.44
HMRC,HMRC,29/06/2011,Grant in Aid Funding,Individuals Customer Directorate,TaxAid,SE1 0LH,5100027056,60875
HMRC,HMRC,29/06/2011,Grant in Aid Funding,Individuals Customer Directorate,TaxAid,SE1 0LH,5100027058,89888
HMRC,HMRC,29/06/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100027140,141233.31
HMRC,HMRC,30/06/2011,Grant in Aid Funding,Individuals Customer Directorate,Tax Volunteers,DT6 5DB,5100027406,59000
