DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|06/03/2015|New site alterations|ROBO|Bray & Slaughter Ltd|PIS4584|1,084,972.20
BIS|HEFCE|06/03/2015|Premises costs|ROBO|GVA Grimley Ltd|PIS4587|69,982.50
BIS|HEFCE|06/03/2015|Premises costs|ROBO|GVA Grimley Ltd|PIS4588|94,413.60
BIS|HEFCE|14/03/2015|PD - research|R,,E & KE|Centr for Enterprise|PIC723|61,110.00
BIS|HEFCE|14/03/2015|Hardware purchase|ROBO|XMA Limited|PIS4616|32,642.28
BIS|HEFCE|16/03/2015|UKRPIF|Finance|SFC (HE)|PIG14539|943,640.00
BIS|HEFCE|16/03/2015|UKRPIF|Finance|SFC (HE)|PIG14540|3,800,000.00
BIS|HEFCE|19/03/2015|Revolving Green Fund|RIS policy team|Anglia Ruskin Uni|GPROSTD367017|467,000.00
BIS|HEFCE|19/03/2015|SDF Capital (T)|RIS policy team|Birkbeck College|GPROSTD256473|142,857.00
BIS|HEFCE|19/03/2015|Catalyst Fund  (R)|RIS policy team|Birkbeck College|GPROSTD363286|53,824.00
BIS|HEFCE|19/03/2015|Museums, Gal & Coll|RIS policy team|Courtauld Institute|GPROSTD363925|80,417.00
BIS|HEFCE|19/03/2015|Catalyst Fund  (R)|RIS policy team|Coventry University|GPROSTD347162|213,857.00
BIS|HEFCE|19/03/2015|Catalyst Fund  (R)|RIS policy team|Cranfield University|GPROSTD346582|160,000.00
BIS|HEFCE|19/03/2015|Catalyst Fund C (T)|RIS policy team|Cranfield University|GPROSTD354387|30,000.00
BIS|HEFCE|19/03/2015|Costing & Pricing|Finance|Deloitte|PIG14526|53,464.12
BIS|HEFCE|19/03/2015|Catalyst Fund C (R)|RIS policy team|Dudley College|GPROSTD343078|45,500.00
BIS|HEFCE|19/03/2015|Catalyst Fund C (T)|RIS policy team|Dudley College|GPROSTD343082|68,250.00
BIS|HEFCE|19/03/2015|Equal opportunities|LGM|ECU|PIG14525|156,418.00
BIS|HEFCE|19/03/2015|Nat Teaching Fellows|E&P policy team|HE Academy|GPROSTD363788|100,000.00
BIS|HEFCE|19/03/2015|HE Academy|E&P policy team|HE Academy|GPROSTD364079|1,050,000.00
BIS|HEFCE|19/03/2015|HESA|Regulatory Partnersh|HESA|GPROSTD367037|62,338.00
BIS|HEFCE|19/03/2015|HESA|Regulatory Partnersh|HESA|GPROSTD367252|60,718.00
BIS|HEFCE|19/03/2015|HESA|Regulatory Partnersh|HESA|GPROSTD367659|48,956.00
BIS|HEFCE|19/03/2015|HEDIIP|Regulatory Partnersh|HESA|GPROSTD367661|38,825.00
BIS|HEFCE|19/03/2015|HEDIIP|Regulatory Partnersh|HESA|PIG14537|234,946.16
BIS|HEFCE|19/03/2015|SDF Recurrent|RIS policy team|Imperial College|GPROSTD326470|25,000.00
BIS|HEFCE|19/03/2015|JISC|JISC NAH|JISC|GPROSTD363332|2,558,333.00
BIS|HEFCE|19/03/2015|JISC Capital (T)|RIS policy team|JISC|GPROSTD364134|1,399,950.00
BIS|HEFCE|19/03/2015|JISC Capital (R)|JISC NAH|JISC|GPROSTD364140|933,300.00
BIS|HEFCE|19/03/2015|Promoting Efficiency|LGM|Leader Foundation HE|GPROSTD363792|50,000.00
BIS|HEFCE|19/03/2015|Leaders Foundation|LGM|Leader Foundation HE|GPROSTD364104|75,000.00
BIS|HEFCE|19/03/2015|Revolving Green Fund|RIS policy team|London Met Uni|GPROSTD366742|100,000.00
BIS|HEFCE|19/03/2015|Catalyst Fund  (R)|RIS policy team|Loughborough Uni|GPROSTD343137|104,250.00
BIS|HEFCE|19/03/2015|Policy Ongoing Serv|Central|NCUB|GPROSTD333842|50,000.00
BIS|HEFCE|19/03/2015|Catalyst Fund|RIS policy team|NUS|GPROSTD333777|211,250.00
BIS|HEFCE|19/03/2015|Quality Assurance|E&P policy team|QAA|GPROSTD364115|556,015.00
BIS|HEFCE|19/03/2015|Catalyst Fund  (R)|RIS policy team|Southampton Solent U|GPROSTD354488|40,229.00
BIS|HEFCE|19/03/2015|REF|REF|St Andrews|PIG14533|37,800.00
BIS|HEFCE|19/03/2015|Promoting Efficiency|LGM|Strathclyde Uni|GPROSTD354436|28,000.00
BIS|HEFCE|19/03/2015|SDF Recurrent|RIS policy team|Uni College London|GPROSTD292632|31,045.00
BIS|HEFCE|19/03/2015|SDF Recurrent|RIS policy team|Uni College London|GPROSTD304056|31,045.00
BIS|HEFCE|19/03/2015|Catalyst Fund  (R)|RIS policy team|Uni of Bristol|GPROSTD367030|230,152.00
BIS|HEFCE|19/03/2015|Museums, Gal & Coll|RIS policy team|Uni of Cambridge|GPROSTD363924|163,000.00
