DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|07/03/2014|PD - research|R&E programme|Rand Europe Ltd|PIC638|77,565.60
BIS|HEFCE|14/03/2014|Professional serv|Assurance|BDO Stoy Hayward|PIS3405|86,296.92
BIS|HEFCE|18/03/2014|PD - research|R&E programme|EPSRC|PIC643|88,027.00
BIS|HEFCE|20/03/2014|Access to Learn Fund|E&P policy team|Anglia Ruskin Uni|GPROSTD342460|50,927.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Anglia Ruskin Uni|GPROSTD347411|186,628.00
BIS|HEFCE|20/03/2014|Catalyst Fund  (R)|RIS policy team|Arts Uni Bournemouth|GPROSTD347109|45,680.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Arts Uni Bournemouth|GPROSTD347422|41,053.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Aston University|GPROSTD347412|101,422.00
BIS|HEFCE|20/03/2014|Teaching 13-14|E&P policy team|Barnsley College|GPROSTD344817|116,025.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Bath Spa University|GPROSTD347414|84,939.00
BIS|HEFCE|20/03/2014|Access to Learn Fund|E&P policy team|Birkbeck College|GPROSTD342477|42,925.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Birkbeck College|GPROSTD347416|107,336.00
BIS|HEFCE|20/03/2014|Access to Learn Fund|E&P policy team|Birmingham City Univ|GPROSTD342510|55,791.00
BIS|HEFCE|20/03/2014|Teaching 13-14|E&P policy team|Birmingham City Univ|GPROSTD344861|284,119.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Birmingham City Univ|GPROSTD347418|200,051.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Bishop Gros Uni|GPROSTD347420|30,339.00
BIS|HEFCE|20/03/2014|Access to Learn Fund|E&P policy team|Bournemouth Uni|GPROSTD342488|29,283.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Bournemouth Uni|GPROSTD347423|183,395.00
BIS|HEFCE|20/03/2014|TCIF Round 2|Finance|Brunel University|GPROSTD347426|163,389.00
