DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|06/02/2015|PD - research|R,,E & KE|Inst Employ Studies|PIC705|48,585.00
BIS|HEFCE|06/02/2015|PD - research|R,,E & KE|York Consulting LLP|PIC706|39,990.44
BIS|HEFCE|10/02/2015|Premises costs|Facilities Managemen|GAD|PIS4400|66,834.52
BIS|HEFCE|10/02/2015|SLA income|Central|HM Revenue & Customs|PIS4920|30,337.80
BIS|HEFCE|13/02/2015|New site alterations|ROBO|Bray & Slaughter Ltd|PIS4465|144,008.22
BIS|HEFCE|13/02/2015|PD - research|R,,E & KE|Rand Europe Ltd|PIC709|28,679.76
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Anglia Ruskin Uni|GPROSTD348304|376,947.00
BIS|HEFCE|19/02/2015|Revolving Green Fund|RIS policy team|Anglia Ruskin Uni|GPROSTD367016|252,000.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Arts Uni Bournemouth|GPROSTD348315|82,960.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Aston University|GPROSTD328319|106,413.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Aston University|GPROSTD348305|204,376.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Barking and Dagenham|GPROSTD347851|251,244.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Barnet LEA|GPROSTD347852|240,776.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Bath LEA|GPROSTD347850|192,531.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Bath Spa University|GPROSTD348307|171,677.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Beds LEA|GPROSTD347854|72,462.00
BIS|HEFCE|19/02/2015|SDF Capital (T)|RIS policy team|Birkbeck College|GPROSTD256472|142,857.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Birkbeck College|GPROSTD328323|164,335.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Birkbeck College|GPROSTD348309|216,872.00
BIS|HEFCE|19/02/2015|Catalyst Fund  (R)|RIS policy team|Birkbeck College|GPROSTD363285|53,824.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Birmingham City Univ|GPROSTD328325|32,044.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Birmingham City Univ|GPROSTD348311|403,138.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Birmingham LEA|GPROSTD347855|176,491.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Bishop Burton|GPROSTD354980|27,864.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Bishop Gros Uni|GPROSTD348313|61,335.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Blackburn College|GPROSTD354981|150,599.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Blackpool College|GPROSTD354982|153,951.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Bolton LEA|GPROSTD347856|47,825.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Bournemouth Uni|GPROSTD328327|28,926.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Bournemouth Uni|GPROSTD348316|370,379.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Bradford College|GPROSTD354984|168,517.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Bromley LEA|GPROSTD347859|41,824.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Brunel University|GPROSTD328331|199,574.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Brunel University|GPROSTD348319|329,870.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Bucks County Council|GPROSTD347860|109,316.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Bucks New University|GPROSTD348320|164,379.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Canterbury CCUC|GPROSTD348323|298,004.00
BIS|HEFCE|19/02/2015|REF|REF|Cardiff University|PIG14498|43,500.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Cheshire West|GPROSTD347862|114,146.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|City of Bradford|GPROSTD347857|87,005.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Conservatoire D&D|GPROSTD348421|64,474.00
BIS|HEFCE|19/02/2015|Museums, Gal & Coll|RIS policy team|Courtauld Institute|GPROSTD363907|80,417.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Coventry LEA|GPROSTD347863|84,096.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Coventry University|GPROSTD328341|43,513.00
BIS|HEFCE|19/02/2015|Catalyst Fund  (R)|RIS policy team|Coventry University|GPROSTD347161|215,857.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Coventry University|GPROSTD348329|460,787.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Cranfield University|GPROSTD328342|393,908.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Cranfield University|GPROSTD348330|91,769.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|De Montfort Uni|GPROSTD328344|92,239.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|De Montfort Uni|GPROSTD348332|471,258.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Derbyshire LEA|GPROSTD347867|45,780.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Devon County Council|GPROSTD347868|107,902.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Doncaster College|GPROSTD354999|53,430.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Doncaster Council|GPROSTD347869|51,023.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Dorset LEA|GPROSTD347870|78,940.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Durham LEA|GPROSTD347872|36,459.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Ealing LEA|GPROSTD347873|39,335.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|East Riding|GPROSTD347874|154,392.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|East Sussex LEA|GPROSTD347875|247,889.00
BIS|HEFCE|19/02/2015|Equal opportunities|LGM|ECU|PIG14464|78,209.00
BIS|HEFCE|19/02/2015|Equal opportunities|LGM|ECU|PIG14483|78,209.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Edge Hill University|GPROSTD348337|298,566.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Essex LEA|GPROSTD347876|41,666.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Falmouth Uni|GPROSTD348341|113,811.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Farnborough College|GPROSTD355007|25,446.00
BIS|HEFCE|19/02/2015|Promoting Efficiency|LGM|FX Plus|GPROSTD354477|25,000.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Gloucs LEA|GPROSTD347877|57,907.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Goldsmiths' College|GPROSTD328355|108,229.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Goldsmiths' College|GPROSTD347928|43,112.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Goldsmiths' College|GPROSTD348343|161,111.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Grimsby Institute|GPROSTD355010|110,928.00
BIS|HEFCE|19/02/2015|Teaching 14-15|E&P policy team|Guildford College|GPROSTD356313|56,629.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Hampshire LEA|GPROSTD347878|291,494.00
BIS|HEFCE|19/02/2015|Revolving Green Fund|RIS policy team|Harper Adams Uni|GPROSTD261897|60,000.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Harper Adams Uni|GPROSTD348346|119,993.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Hartpury College|GPROSTD355126|25,058.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Havering College|GPROSTD355013|30,924.00
BIS|HEFCE|19/02/2015|HE Academy|E&P policy team|HE Academy|GPROSTD364078|825,000.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Hertfordshire CC|GPROSTD347880|86,769.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Hounslow LEA|GPROSTD347881|34,304.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Hull College|GPROSTD355019|98,747.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Imperial College|GPROSTD328361|2,815,983.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Imperial College|GPROSTD348351|501,512.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Inst Cancer Research|GPROSTD328334|396,225.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Inst of Education|GPROSTD328350|226,298.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Inst of Education|GPROSTD348338|81,010.00
BIS|HEFCE|19/02/2015|Provision of Info|E&P policy team|Ipsos UK Ltd|PIG14477|42,000.00
BIS|HEFCE|19/02/2015|JISC|JISC NAH|JISC|GPROSTD363331|2,558,333.00
BIS|HEFCE|19/02/2015|JISC Capital (T)|RIS policy team|JISC|GPROSTD364133|1,400,010.00
BIS|HEFCE|19/02/2015|JISC Capital (R)|JISC NAH|JISC|GPROSTD364139|933,340.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Kent LEA|GPROSTD347882|40,421.00
BIS|HEFCE|19/02/2015|SDF Recurrent|RIS policy team|King's College|GPROSTD309268|30,214.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|King's College|GPROSTD328364|1,341,686.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|King's College|GPROSTD348354|618,556.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Kingston LEA|GPROSTD347883|50,986.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Kingston University|GPROSTD328365|45,546.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Kingston University|GPROSTD348355|614,967.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Kirklees Council|GPROSTD347884|99,259.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Lancashire LEA|GPROSTD347885|159,806.00
BIS|HEFCE|19/02/2015|Leaders Foundation|LGM|Leader Foundation HE|GPROSTD364103|75,000.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Leeds Bec University|GPROSTD348358|564,703.00
BIS|HEFCE|19/02/2015|Capital for FECs|E&P policy team|Leeds City College|GPROSTD355024|92,090.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Leeds College of Art|GPROSTD348359|34,052.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Leeds LEA|GPROSTD347886|213,554.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Leeds Trinity Uni|GPROSTD348360|78,724.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Leics LEA|GPROSTD347887|227,783.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Liverpool Hope Uni|GPROSTD348364|174,590.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|Liverpool John Moore|GPROSTD328372|113,971.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|Liverpool John Moore|GPROSTD348365|576,743.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|Liverpool LEA|GPROSTD347889|264,002.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|London Bus School|GPROSTD328375|42,909.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|London Met Uni|GPROSTD328378|51,316.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|London Met Uni|GPROSTD347930|267,587.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|London Met Uni|GPROSTD348369|464,746.00
BIS|HEFCE|19/02/2015|Revolving Green Fund|RIS policy team|London Met Uni|GPROSTD366741|200,000.00
BIS|HEFCE|19/02/2015|Inherited Staff|Finance|London PFA|GPROSTD347890|142,568.00
BIS|HEFCE|19/02/2015|RCIF Round 2|Finance|London Sch Economics|GPROSTD328376|254,207.00
BIS|HEFCE|19/02/2015|TCIF Round 2|Finance|London Sch Economics|GPROSTD348368|99,958.00
