DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|12/05/2014|Premises costs|ROBO|Audit Commission|PIS3593|103,780.00
BIS|HEFCE|13/05/2014|Policy Ongoing Serv|Central|BIS|PIG9792|26,195.00
BIS|HEFCE|13/05/2014|Professional serv|Assurance|BIS|PIS3450|31,698.80
BIS|HEFCE|13/05/2014|PD - research|R&E programme|EPSRC|PIC654|27,750.60
BIS|HEFCE|13/05/2014|SDF Capital (R)|RIS policy team|EPSRC|PIG9818|40,105.30
BIS|HEFCE|13/05/2014|Premises costs|Facilities Managemen|GAD|PIS3545|66,834.52
BIS|HEFCE|15/05/2014|Teaching 13-14|E&P policy team|Accrington|GPROSTD334778|39,193.00
BIS|HEFCE|15/05/2014|Teaching 12-13|E&P policy team|Accrington|GPROSTD352177|60,102.00
BIS|HEFCE|15/05/2014|HEIF 2011-15 (BIS)|RIS policy team|Anglia Ruskin Uni|GPROSTD333878|129,971.00
BIS|HEFCE|15/05/2014|Teaching 13-14|E&P policy team|Anglia Ruskin Uni|GPROSTD334796|1,942,276.00
BIS|HEFCE|15/05/2014|Research 13-14|RIS policy team|Anglia Ruskin Uni|GPROSTD337748|112,978.00
BIS|HEFCE|15/05/2014|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD338846|42,988.00
BIS|HEFCE|15/05/2014|Teaching 13-14|E&P policy team|Arts Uni Bournemouth|GPROSTD334805|386,477.00
BIS|HEFCE|15/05/2014|Catalyst Fund  (R)|RIS policy team|Arts Uni Bournemouth|GPROSTD347111|45,680.00
BIS|HEFCE|15/05/2014|Teaching 13-14|E&P policy team|Arts Uni Bournemouth|GPROSTD353344|27,218.00
BIS|HEFCE|15/05/2014|Teaching 13-14|E&P policy team|Askham Bryan College|GPROSTD334823|97,659.00
BIS|HEFCE|15/05/2014|HEIF 2011-15 (BIS)|RIS policy team|Aston University|GPROSTD333887|127,013.00
