DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|04/09/2015|Software maintenance|ITS|JISC Services Ltd|PIS5230|38,741.81
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Accrington|GPROSTD378909|35,757.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Amersham & Wycombe|GPROSTD378918|33,394.00
BIS|HEFCE|17/09/2015|Research 15-16|RIS policy team|Anglia Ruskin Uni|GPROSTD375924|344,050.00
BIS|HEFCE|17/09/2015|HEIF 2011-15 (BIS)|RIS policy team|Anglia Ruskin Uni|GPROSTD377029|291,870.00
BIS|HEFCE|17/09/2015|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD377929|97,290.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Anglia Ruskin Uni|GPROSTD378927|1,677,556.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Arts Uni Bournemouth|GPROSTD378936|228,511.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Askham Bryan College|GPROSTD378954|105,141.00
BIS|HEFCE|17/09/2015|Catalyst Fund  (R)|RIS policy team|Assoc of Colleges|GPROSTD382001|106,190.00
BIS|HEFCE|17/09/2015|Research 15-16|RIS policy team|Aston University|GPROSTD375942|912,693.00
BIS|HEFCE|17/09/2015|HEIF 2011-15 (BIS)|RIS policy team|Aston University|GPROSTD377038|120,036.00
BIS|HEFCE|17/09/2015|HEIF 2011-15|RIS policy team|Aston University|GPROSTD377938|40,011.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Aston University|GPROSTD378963|1,013,732.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Barking and Dagenham|GPROSTD378981|67,803.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Barnet & Southgate|GPROSTD378999|25,809.00
BIS|HEFCE|17/09/2015|Teaching 15-16|E&P policy team|Barnsley College|GPROSTD379008|65,481.00
