DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|07/08/2012|Payroll control|Running costs|Cabinet Office PCSPS|PIS2075|168,827.90
BIS|HEFCE|14/08/2012|PD - research|R&E programme|KPMG Llp|PIC455|44,258.40
BIS|HEFCE|14/08/2012|Fin & Corp Serv|JISC UB|Uni of Bristol|PIS2131|265,588.33
BIS|HEFCE|14/08/2012|Fin & Corp Serv|JISC UB|Uni of Bristol|PIS2132|253,123.18
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Accrington|GPROSTD318776|112,984.00
BIS|HEFCE|17/08/2012|SDF Capital LAT|RIS policy team|Anglia Ruskin Uni|GPROSTD288268|750,000.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Anglia Ruskin Uni|GPROSTD317356|155,022.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|Anglia Ruskin Uni|GPROSTD317752|27,234.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Anglia Ruskin Uni|GPROSTD318794|3,888,091.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Anglia Ruskin Uni|GPROSTD321602|166,707.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD322711|144,076.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Anglia Ruskin Uni|GPROSTD324112|534,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Anglia Ruskin Uni|GPROSTD325335|291,803.00
BIS|HEFCE|17/08/2012|Emp Engagement - Rec|E&P policy team|Anglia Ruskin Uni|GPROSTD326332|125,000.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Arts Uni Bournemouth|GPROSTD317367|33,765.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Arts Uni Bournemouth|GPROSTD318803|963,368.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Arts Uni Bournemouth|GPROSTD324113|108,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Arts Uni Bournemouth|GPROSTD325338|28,759.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Askham Bryan College|GPROSTD318821|206,939.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Aston University|GPROSTD317357|91,788.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|Aston University|GPROSTD317753|229,312.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Aston University|GPROSTD318830|2,791,492.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Aston University|GPROSTD321620|950,167.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Aston University|GPROSTD322723|140,796.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Aston University|GPROSTD324114|237,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Aston University|GPROSTD325347|69,237.00
BIS|HEFCE|17/08/2012|Emp Engagement - Rec|E&P policy team|Aston University|GPROSTD326340|62,500.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Barking and Dagenham|GPROSTD318848|78,479.00
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Barking LEA|GPROSTD314028|82,106.00
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Barking LEA|GPROSTD326381|359,334.35
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Barnet LEA|GPROSTD314029|79,108.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Basingstoke College|GPROSTD318884|51,801.00
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Bath LEA|GPROSTD314027|63,158.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Bath Spa University|GPROSTD317359|77,457.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bath Spa University|GPROSTD318893|1,951,003.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Bath Spa University|GPROSTD321629|86,578.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Bath Spa University|GPROSTD324115|261,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Bath Spa University|GPROSTD325368|83,237.00
BIS|HEFCE|17/08/2012|Emp Engagement - Rec|E&P policy team|Bath Spa University|GPROSTD326368|62,500.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bedford College|GPROSTD318911|84,771.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Birkbeck College|GPROSTD317361|80,360.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|Birkbeck College|GPROSTD317757|354,131.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Birkbeck College|GPROSTD318956|2,500,694.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Birkbeck College|GPROSTD321647|1,638,596.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Birkbeck College|GPROSTD322747|53,379.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Birkbeck College|GPROSTD324118|240,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Birkbeck College|GPROSTD325389|261,840.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Birmingham City Univ|GPROSTD317363|173,806.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|Birmingham City Univ|GPROSTD317759|69,053.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Birmingham City Univ|GPROSTD319253|4,495,794.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Birmingham City Univ|GPROSTD321764|257,310.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Birmingham City Univ|GPROSTD322891|107,749.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Birmingham City Univ|GPROSTD324136|564,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Birmingham City Univ|GPROSTD325488|355,601.00
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Birmingham LEA|GPROSTD314032|57,839.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Birmingham Met Coll|GPROSTD318983|52,372.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bishop Burton|GPROSTD319001|330,127.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Bishop Gros Uni Coll|GPROSTD317365|25,730.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bishop Gros Uni Coll|GPROSTD318992|446,283.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Bishop Gros Uni Coll|GPROSTD324122|54,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Bishop Gros Uni Coll|GPROSTD325401|41,596.00
BIS|HEFCE|17/08/2012|Capital for FECs|E&P policy team|Blackburn College|GPROSTD318101|84,166.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Blackburn College|GPROSTD319010|932,862.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Blackburn College|GPROSTD324123|135,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Blackburn College|GPROSTD325407|119,153.00
BIS|HEFCE|17/08/2012|Capital for FECs|E&P policy team|Blackpool College|GPROSTD318102|69,430.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Blackpool College|GPROSTD319019|980,061.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Blackpool College|GPROSTD325410|78,012.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bolton College|GPROSTD319028|31,403.00
BIS|HEFCE|17/08/2012|Emp Engagement - Rec|E&P policy team|Bournemouth Uni|GPROSTD286398|26,110.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Bournemouth Uni|GPROSTD317368|154,522.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|Bournemouth Uni|GPROSTD317761|62,335.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bournemouth Uni|GPROSTD319055|4,143,440.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Bournemouth Uni|GPROSTD321683|300,340.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Bournemouth Uni|GPROSTD322783|53,417.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Bournemouth Uni|GPROSTD324125|552,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Bournemouth Uni|GPROSTD325422|166,305.00
BIS|HEFCE|17/08/2012|Capital for FECs|E&P policy team|Bradford College|GPROSTD318104|86,997.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bradford College|GPROSTD319073|769,672.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Bradford College|GPROSTD324126|135,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Bradford College|GPROSTD325428|88,561.00
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Bradford LEA|GPROSTD314034|29,471.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bridgwater College|GPROSTD319091|67,510.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Brooklands College|GPROSTD319136|33,830.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Brunel University|GPROSTD317371|144,296.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|Brunel University|GPROSTD317764|430,069.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Brunel University|GPROSTD319154|3,887,806.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Brunel University|GPROSTD321719|1,827,298.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Brunel University|GPROSTD322831|93,669.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Brunel University|GPROSTD324131|384,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Brunel University|GPROSTD325455|113,005.00
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Bucks County Council|GPROSTD314037|35,458.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Bucks New University|GPROSTD317372|71,908.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Bucks New University|GPROSTD319163|2,086,099.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Bucks New University|GPROSTD321728|39,605.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Bucks New University|GPROSTD322843|63,028.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Bucks New University|GPROSTD324132|306,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Bucks New University|GPROSTD325458|102,417.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Calderdale College|GPROSTD319181|74,578.00
BIS|HEFCE|17/08/2012|Revolving Green Fund|RIS policy team|Canterbury CCUC|GPROSTD313226|78,909.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Canterbury CCUC|GPROSTD317374|128,260.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|Canterbury CCUC|GPROSTD317768|28,084.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Canterbury CCUC|GPROSTD319208|2,711,219.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|Canterbury CCUC|GPROSTD321746|151,756.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Canterbury CCUC|GPROSTD322867|73,169.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Canterbury CCUC|GPROSTD324135|357,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|Canterbury CCUC|GPROSTD325473|199,170.00
BIS|HEFCE|17/08/2012|Emp Engagement - Rec|E&P policy team|Canterbury CCUC|GPROSTD326344|62,500.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Carlisle College|GPROSTD319235|66,726.00
BIS|HEFCE|17/08/2012|Voluntary Giving|Finance|Case Europe|GPROSTD314830|41,291.80
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Central Sussex Coll|GPROSTD319280|78,143.00
BIS|HEFCE|17/08/2012|Inherited Staff|Finance|Cheshire West|GPROSTD314039|38,475.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Chesterfield College|GPROSTD319298|154,109.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Chichester College|GPROSTD319307|48,138.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|City Coll Coventry|GPROSTD319352|37,306.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|City Coll Plymouth|GPROSTD320711|27,607.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|City of Bath College|GPROSTD319370|31,557.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|City of Bristol Coll|GPROSTD319397|25,149.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|City of Sunderland C|GPROSTD319361|124,445.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|City of Westminster|GPROSTD319334|84,252.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|City University|GPROSTD317378|89,765.00
BIS|HEFCE|17/08/2012|RCIF Round 2|Finance|City University|GPROSTD317771|281,944.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|City University|GPROSTD319379|2,399,005.00
BIS|HEFCE|17/08/2012|Research 12-13|RIS policy team|City University|GPROSTD321809|1,571,120.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|City University|GPROSTD322939|139,492.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|City University|GPROSTD324143|216,000.00
BIS|HEFCE|17/08/2012|Access Funds|E&P policy team|City University|GPROSTD325530|100,720.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Cleveland College|GPROSTD319415|211,654.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Cleveland College|GPROSTD324145|30,000.00
BIS|HEFCE|17/08/2012|TCIF Round 2|Finance|Conservatoire D&D|GPROSTD317470|28,342.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Conservatoire D&D|GPROSTD319433|1,276,644.00
BIS|HEFCE|17/08/2012|HEIF 2011-15|RIS policy team|Conservatoire D&D|GPROSTD322951|31,238.00
BIS|HEFCE|17/08/2012|NSP|E&P policy team|Conservatoire D&D|GPROSTD324146|45,000.00
BIS|HEFCE|17/08/2012|Teaching 12-13|E&P policy team|Cornwall College|GPROSTD319442|37,391.00
