DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Devon County Council|GPROSTD367391|107,226.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Doncaster College|GPROSTD379736|91,917.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Doncaster Council|GPROSTD367392|47,516.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Dorset LEA|GPROSTD367393|77,926.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Dudley College|GPROSTD379745|38,773.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Durham LEA|GPROSTD367395|35,157.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Ealing LEA|GPROSTD367396|38,906.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|East Riding|GPROSTD367397|150,000.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|East Sussex LEA|GPROSTD367398|238,501.00
BIS|HEFCE|17/08/2015|Equal opportunities|LGM|ECU|PIG14628|78,209.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Edge Hill University|GPROSTD369647|90,625.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Edge Hill University|GPROSTD376229|173,892.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Edge Hill University|GPROSTD377271|29,007.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Edge Hill University|GPROSTD379826|698,356.00
BIS|HEFCE|17/08/2015|Revolving Green Fund|RIS policy team|Edge Hill University|GPROSTD382120|145,000.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Edge Hill University|GPROSTD382218|300,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Edge Hill University|GPROSTD382769|66,727.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Essex LEA|GPROSTD367399|43,664.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Exeter College|GPROSTD379853|46,518.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Falmouth Uni|GPROSTD369651|39,433.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Falmouth Uni|GPROSTD376256|62,141.00
BIS|HEFCE|17/08/2015|Catalyst Fund  (R)|RIS policy team|Falmouth Uni|GPROSTD378854|103,383.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Falmouth Uni|GPROSTD379871|567,563.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Falmouth Uni|GPROSTD382221|150,000.00
BIS|HEFCE|17/08/2015|CO|E&P policy team|Falmouth Uni|GPROSTD382772|159,931.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Farnborough College|GPROSTD379889|44,355.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Furness College|GPROSTD379898|27,002.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Gateshead College|GPROSTD379907|66,461.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Gloucestershire Coll|GPROSTD379925|57,550.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Gloucs LEA|GPROSTD367400|55,943.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Goldsmiths' College|GPROSTD367451|41,176.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Goldsmiths' College|GPROSTD369657|54,440.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Goldsmiths' College|GPROSTD370883|111,889.67
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Goldsmiths' College|GPROSTD375564|56,885.50
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Goldsmiths' College|GPROSTD376274|815,604.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Goldsmiths' College|GPROSTD377298|35,074.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Goldsmiths' College|GPROSTD379934|711,093.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Goldsmiths' College|GPROSTD382223|325,000.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Grimsby Institute|GPROSTD369659|34,488.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Grimsby Institute|GPROSTD379961|190,217.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Guildford College|GPROSTD379970|76,049.00
BIS|HEFCE|17/08/2015|Research 15-16|RIS policy team|Guildhall Sch M & D|GPROSTD376292|45,845.00
BIS|HEFCE|17/08/2015|HEIF 2011-15 (BIS)|RIS policy team|Guildhall Sch M & D|GPROSTD377316|44,738.00
BIS|HEFCE|17/08/2015|Teaching 15-16|E&P policy team|Guildhall Sch M & D|GPROSTD379979|129,546.00
BIS|HEFCE|17/08/2015|PSS 2014-15|E&P policy team|Guildhall Sch M & D|GPROSTD382225|40,000.00
BIS|HEFCE|17/08/2015|Inherited Staff|Finance|Hampshire LEA|GPROSTD367401|283,786.00
BIS|HEFCE|17/08/2015|Revolving Green Fund|RIS policy team|Harper Adams Uni|GPROSTD261899|60,000.00
BIS|HEFCE|17/08/2015|TCIF Round 2|Finance|Harper Adams Uni|GPROSTD369662|41,797.00
BIS|HEFCE|17/08/2015|RCIF Round 2|Finance|Harper Adams Uni|GPROSTD370886|25,951.33
BIS|HEFCE|17/08/2015|STEM Capital|R,,E & KE|Harper Adams Uni|GPROSTD375565|60,756.50
