DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|10/10/2014|Hardware purchase|ITS|101 Data Solutions|PIM326|44,002.80
BIS|HEFCE|10/10/2014|Hardware purchase|ITS|101 Data Solutions|PIS3974|189,783.46
BIS|HEFCE|10/10/2014|Rates|Facilities Managemen|South Glos Council|PIS3956|145,805.00
BIS|HEFCE|15/10/2014|UKRPIF|Finance|HEFCW|PIG12487|3,323,050.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|Aston University|GPROSTD346834|234,079.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|Brunel University|GPROSTD346840|249,450.00
BIS|HEFCE|16/10/2014|Museums, Gal & Coll|RIS policy team|Courtauld Institute|GPROSTD363835|80,417.00
BIS|HEFCE|16/10/2014|Catalyst Fund  (R)|RIS policy team|Coventry University|GPROSTD347157|163,857.00
BIS|HEFCE|16/10/2014|Catalyst Fund C (T)|RIS policy team|Coventry University|GPROSTD347551|30,884.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|Cranfield University|GPROSTD346882|333,333.00
BIS|HEFCE|16/10/2014|Equal opportunities|LGM|ECU|GPROSTD364120|78,209.00
BIS|HEFCE|16/10/2014|Equal opportunities|LGM|ECU|GPROSTD364121|78,209.00
BIS|HEFCE|16/10/2014|PD - research|R,,E & KE|EPSRC|PIC690|88,027.00
BIS|HEFCE|16/10/2014|SDF Capital (R)|RIS policy team|EPSRC|PIG12420|40,706.89
BIS|HEFCE|16/10/2014|SDF Capital (R)|RIS policy team|EPSRC|PIG12456|49,829.53
BIS|HEFCE|16/10/2014|Catalyst Fund C (R)|RIS policy team|Hadlow College|GPROSTD347138|40,000.00
BIS|HEFCE|16/10/2014|Catalyst Fund C (T)|RIS policy team|Hadlow College|GPROSTD347144|60,000.00
BIS|HEFCE|16/10/2014|HE Academy|E&P policy team|HE Academy|GPROSTD364074|350,000.00
BIS|HEFCE|16/10/2014|SDF Recurrent|RIS policy team|Imperial College|GPROSTD263910|30,214.00
BIS|HEFCE|16/10/2014|SDF Recurrent|RIS policy team|Imperial College|GPROSTD310336|30,214.00
BIS|HEFCE|16/10/2014|SDF Recurrent|RIS policy team|Imperial College|GPROSTD310345|30,214.00
BIS|HEFCE|16/10/2014|SDF Recurrent|RIS policy team|Imperial College|GPROSTD328939|25,000.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|Inst of Education|GPROSTD346816|83,333.00
BIS|HEFCE|16/10/2014|Provision of Info|E&P policy team|Ipsos UK Ltd|PIG12458|470,572.80
BIS|HEFCE|16/10/2014|JISC|JISC NAH|JISC|GPROSTD363327|2,558,333.00
BIS|HEFCE|16/10/2014|SDF Recurrent|RIS policy team|King's College|GPROSTD326479|25,000.00
BIS|HEFCE|16/10/2014|SDF Recurrent|RIS policy team|King's College|GPROSTD342785|25,000.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|King's College|GPROSTD346876|86,171.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|Kingston University|GPROSTD346870|309,985.00
BIS|HEFCE|16/10/2014|Leaders Foundation|LGM|Leader Foundation HE|GPROSTD364099|225,000.00
BIS|HEFCE|16/10/2014|Catalyst Fund  (R)|RIS policy team|Loughborough Uni|GPROSTD343132|104,250.00
BIS|HEFCE|16/10/2014|Policy Ongoing Serv|Central|NCUB|GPROSTD333837|50,000.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|Nottingham Trent Uni|GPROSTD346852|242,833.00
BIS|HEFCE|16/10/2014|Catalyst Fund|RIS policy team|NUS|GPROSTD333772|211,250.00
BIS|HEFCE|16/10/2014|Revolving Green Fund|RIS policy team|Oxford Brookes Univ|GPROSTD364086|307,881.00
BIS|HEFCE|16/10/2014|Quality Assurance|E&P policy team|QAA|GPROSTD364110|395,544.00
BIS|HEFCE|16/10/2014|Catalyst Fund  (R)|RIS policy team|Royal College of Art|GPROSTD346933|575,264.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|Royal Veterinary|GPROSTD346828|150,167.00
BIS|HEFCE|16/10/2014|PSS|E&P policy team|SOAS|GPROSTD346804|139,882.00
BIS|HEFCE|16/10/2014|Catalyst Fund  (R)|RIS policy team|Southampton Solent U|GPROSTD354483|43,403.00
BIS|HEFCE|16/10/2014|Teaching 13-14|E&P policy team|Telford College|GPROSTD364098|31,700.00
