DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT|EXPENSETYPE2|EXPENSEAREA
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Brunel University|GPROSTD319160|2,139,800.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Brunel University|GPROSTD321725|1,005,722.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Brunel University|GPROSTD322838|93,781.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Brunel University|GPROSTD331835|67,231.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Bucks New University|GPROSTD319169|1,148,163.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Bucks New University|GPROSTD322850|63,103.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Calderdale College|GPROSTD319187|41,047.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD319214|1,492,221.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD321752|83,524.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD322874|73,256.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD331839|570,987.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Canterbury Coll|GPROSTD331973|38,636.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Carlisle College|GPROSTD319241|36,724.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Central College Nott|GPROSTD321014|68,026.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Central Sussex Coll|GPROSTD319286|43,008.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Cheshire West|GPROSTD339828|45,612.57|Inherited Staff|Finance
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Chesterfield College|GPROSTD319304|84,820.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Chichester College|GPROSTD319313|26,494.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|City of Sunderland C|GPROSTD319367|68,493.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|City of Westminster|GPROSTD319340|46,370.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|City of Westminster|GPROSTD332098|25,946.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|City University|GPROSTD319385|1,320,383.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|City University|GPROSTD321815|864,724.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|City University|GPROSTD322946|139,659.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|City University|GPROSTD331843|135,997.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Cleveland College|GPROSTD319421|116,491.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Conservatoire D&D|GPROSTD319439|702,648.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Conservatoire D&D|GPROSTD322958|31,274.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Council for Industry|GPROSTD333821|50,000.00|Policy Ongoing Serv|Central
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Courtauld Institute|GPROSTD319457|69,173.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Courtauld Institute|GPROSTD321824|101,043.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Courtauld Institute|GPROSTD323954|80,480.00|Museums, Gal & Coll|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Coventry University|GPROSTD319466|2,999,989.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Coventry University|GPROSTD321833|163,568.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Coventry University|GPROSTD322970|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Coventry University|GPROSTD331845|293,330.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Coventry University|GPROSTD339801|115,000.00|Revolving Green Fund|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Cranfield University|GPROSTD319484|752,540.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Cranfield University|GPROSTD321842|1,064,924.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Cranfield University|GPROSTD322982|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Craven College|GPROSTD319475|33,576.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Croydon College|GPROSTD319502|162,733.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|Dearne Valley Coll|GPROSTD319520|25,905.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD319529|2,827,800.00|Teaching 12-13|E&P policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD321869|380,981.00|Research 12-13|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD322994|85,446.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|20/06/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD331850|346,074.00|Teaching 12-13|E&P policy team
