DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|01/10/2012|Basic Grant|RIS policy team|London Met Uni|GPROSTD324309|2,500,000.00
BIS|HEFCE|01/10/2012|SDF Capital LAT|RIS policy team|Ravensbourne College|GPROSTD324318|37,500.00
BIS|HEFCE|01/10/2012|SDF Capital LAT|RIS policy team|Uni of Manchester|GPROSTD324315|1,000,000.00
BIS|HEFCE|01/10/2012|SDF Recurrent|RIS policy team|Uni of Worcester|GPROSTD25593|166,500.00
BIS|HEFCE|01/10/2012|SDF Recurrent|RIS policy team|Uni of Worcester|GPROSTD324312|41,750.00
BIS|HEFCE|01/10/2012|Basic Grant|RIS policy team|University of Bolton|GPROSTD324306|150,000.00
BIS|HEFCE|02/10/2012|Payroll control|Running costs|Cabinet Office PCSPS|PIS2214|169,645.59
BIS|HEFCE|02/10/2012|Innovations Grp|JISC KCL|King's College|PIS2203|166,109.05
BIS|HEFCE|02/10/2012|Rates|Facilities Managemen|London Bor Camden|PIS1806|58,316.00
BIS|HEFCE|02/10/2012|Rates|Facilities Managemen|South Glos Council|PIS1808|138,545.00
BIS|HEFCE|09/10/2012|Fin & Corp Serv|JISC UB|Uni of Bristol|PIS2226|244,329.53
BIS|HEFCE|11/10/2012|Student Support Fund|Central|London Met Uni|PIG6650|50,000.00
BIS|HEFCE|18/10/2012|JISC|JISC NAH|Aberystwyth|GPROSTD326666|28,278.00
BIS|HEFCE|18/10/2012|SDF Capital LAT|RIS policy team|Anglia Ruskin Uni|GPROSTD288269|330,000.00
BIS|HEFCE|18/10/2012|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD322713|144,076.00
BIS|HEFCE|18/10/2012|HEIF 2011-15|RIS policy team|Aston University|GPROSTD322725|140,796.00
BIS|HEFCE|18/10/2012|HERA|E&P policy team|Aston University|GPROSTD326824|25,000.00
BIS|HEFCE|18/10/2012|Inherited Staff|Finance|Barking LEA|GPROSTD314218|82,106.00
BIS|HEFCE|18/10/2012|Inherited Staff|Finance|Barnet LEA|GPROSTD314219|79,108.00
