DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|07/03/2013|Audit fees|Central|NAO|PIS2563|25,000.00
BIS|HEFCE|07/03/2013|Premises costs|Facilities Managemen|Uni West of England|PIS2576|221,772.44
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD322710|144,075.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|Anglia Ruskin Uni|GPROSTD325334|48,634.00
BIS|HEFCE|14/03/2013|Basic Grant|RIS policy team|Anglia Ruskin Uni|GPROSTD326888|53,155.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Aston University|GPROSTD322722|140,796.00
BIS|HEFCE|14/03/2013|Basic Grant|RIS policy team|Aston University|GPROSTD326897|27,204.00
BIS|HEFCE|14/03/2013|HERA|E&P policy team|Aston University|GPROSTD328424|25,000.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Barking and Dagenham|GPROSTD314693|82,106.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Barnet LEA|GPROSTD314694|79,108.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Bath LEA|GPROSTD314692|63,158.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Birkbeck College|GPROSTD322746|53,378.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|Birkbeck College|GPROSTD325388|43,640.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Birmingham City Univ|GPROSTD322890|107,749.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|Birmingham City Univ|GPROSTD325487|59,267.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Birmingham LEA|GPROSTD314697|57,839.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Bournemouth Uni|GPROSTD322782|53,416.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|Bournemouth Uni|GPROSTD325421|27,718.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Brunel University|GPROSTD322830|93,668.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Bucks New University|GPROSTD322842|63,028.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Canterbury CCUC|GPROSTD322866|73,169.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|Canterbury CCUC|GPROSTD325472|33,195.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Cheshire West|GPROSTD314704|38,475.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|City of Bradford|GPROSTD314699|29,471.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|City University|GPROSTD322938|139,491.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Conservatoire D&D|GPROSTD322950|31,238.00
BIS|HEFCE|14/03/2013|Museums, Gal & Coll|RIS policy team|Courtauld Institute|GPROSTD323946|80,385.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Coventry LEA|GPROSTD314705|28,803.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Coventry University|GPROSTD322962|237,405.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|Coventry University|GPROSTD325556|42,135.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Cranfield University|GPROSTD322974|237,405.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|De Montfort Uni|GPROSTD322986|85,343.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|De Montfort Uni|GPROSTD325577|51,686.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Devon County Council|GPROSTD314710|35,146.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Dorset LEA|GPROSTD314712|25,768.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|East Riding|GPROSTD314716|51,645.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|East Sussex LEA|GPROSTD314717|82,977.00
BIS|HEFCE|14/03/2013|Access to Learn Fund|E&P policy team|Edge Hill University|GPROSTD325613|41,924.00
BIS|HEFCE|14/03/2013|SDF Capital Research|RIS policy team|EPSRC|PIG6789|27,389.99
BIS|HEFCE|14/03/2013|SDF Capital Research|RIS policy team|EPSRC|PIG6791|42,515.33
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Goldsmiths College|GPROSTD323106|27,585.00
BIS|HEFCE|14/03/2013|SDF Recurrent|RIS policy team|Guildhall Sch M & D|GPROSTD311941|56,000.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Guildhall Sch M & D|GPROSTD323130|25,437.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Hampshire LEA|GPROSTD314720|94,607.00
BIS|HEFCE|14/03/2013|Catalyst Fund Cap|RIS policy team|Harper Adams Uni|GPROSTD327681|209,286.00
BIS|HEFCE|14/03/2013|HE Academy|E&P policy team|HE Academy|GPROSTD326402|1,042,000.00
BIS|HEFCE|14/03/2013|Nat Teaching Fellows|E&P policy team|HE Academy|GPROSTD326408|252,000.00
BIS|HEFCE|14/03/2013|Inherited Staff|Finance|Hertfordshire CC|GPROSTD314722|31,201.00
BIS|HEFCE|14/03/2013|SDF Recurrent|RIS policy team|Imperial College|GPROSTD250023|28,563.00
BIS|HEFCE|14/03/2013|SDF Recurrent|RIS policy team|Imperial College|GPROSTD259715|29,405.00
BIS|HEFCE|14/03/2013|HEIF 2011-15|RIS policy team|Imperial College|GPROSTD323178|237,405.00
