DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|13/11/2013|UKRPIF|Finance|SFC (HE)|PIG7098|1,300,000.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Accrington|GPROSTD334775|39,193.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Anglia Ruskin Uni|GPROSTD332569|102,647.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Anglia Ruskin Uni|GPROSTD333875|129,972.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Anglia Ruskin Uni|GPROSTD334793|1,942,276.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Anglia Ruskin Uni|GPROSTD337745|112,978.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD338843|42,988.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Arts Uni Bournemouth|GPROSTD334802|386,477.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Askham Bryan College|GPROSTD334820|97,659.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|Aston University|GPROSTD327899|82,023.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Aston University|GPROSTD332570|55,779.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Aston University|GPROSTD333884|127,013.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Aston University|GPROSTD334829|1,022,751.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Aston University|GPROSTD337763|594,848.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|Aston University|GPROSTD338852|42,010.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Barking and Dagenham|GPROSTD328735|249,600.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Barking and Dagenham|GPROSTD334847|40,160.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Barnet LEA|GPROSTD328736|233,292.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Barnsley College|GPROSTD343358|116,025.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Bath LEA|GPROSTD328734|188,367.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Bath Spa University|GPROSTD332572|46,720.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bath Spa University|GPROSTD334892|775,309.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Bath Spa University|GPROSTD337772|52,059.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bedford College|GPROSTD334910|38,793.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Beds LEA|GPROSTD328738|74,472.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|Birkbeck College|GPROSTD327903|126,669.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Birkbeck College|GPROSTD332574|59,038.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Birkbeck College|GPROSTD333902|48,153.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Birkbeck College|GPROSTD334964|1,020,512.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Birkbeck College|GPROSTD337790|1,011,423.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Birmingham City Univ|GPROSTD332576|110,030.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Birmingham City Univ|GPROSTD334010|97,201.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Birmingham City Univ|GPROSTD335288|1,750,743.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Birmingham City Univ|GPROSTD337907|170,985.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|Birmingham City Univ|GPROSTD338978|32,150.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Birmingham City Univ|GPROSTD343402|284,119.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Birmingham LEA|GPROSTD328739|172,968.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Birmingham Met Coll|GPROSTD334991|58,671.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bishop Burton|GPROSTD335009|196,765.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bishop Gros Uni|GPROSTD335000|178,323.00
BIS|HEFCE|14/11/2013|Capital for FECs|E&P policy team|Blackburn College|GPROSTD333357|42,267.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Blackburn College|GPROSTD335027|370,171.00
BIS|HEFCE|14/11/2013|Capital for FECs|E&P policy team|Blackpool College|GPROSTD333358|42,617.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Blackpool College|GPROSTD335036|410,778.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Bolton LEA|GPROSTD328740|47,730.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Bournemouth Uni|GPROSTD332581|100,867.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Bournemouth Uni|GPROSTD333929|48,187.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bournemouth Uni|GPROSTD335072|1,743,958.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Bournemouth Uni|GPROSTD337826|187,999.00
BIS|HEFCE|14/11/2013|Capital for FECs|E&P policy team|Bradford College|GPROSTD333360|46,637.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bradford College|GPROSTD335099|334,389.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bridgwater College|GPROSTD335117|28,393.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Bromley LEA|GPROSTD328743|41,817.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Brooksby College|GPROSTD335171|27,995.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|Brunel University|GPROSTD327911|153,832.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Brunel University|GPROSTD332584|89,861.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Brunel University|GPROSTD333965|84,499.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Brunel University|GPROSTD335180|1,698,362.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Brunel University|GPROSTD337862|1,117,054.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|Brunel University|GPROSTD338933|27,948.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Bucks County Council|GPROSTD333792|106,409.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Bucks New University|GPROSTD332585|44,745.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Bucks New University|GPROSTD333974|56,858.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Bucks New University|GPROSTD335189|836,752.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Canterbury CCUC|GPROSTD332587|81,130.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Canterbury CCUC|GPROSTD333992|66,006.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Canterbury CCUC|GPROSTD335243|1,162,733.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Canterbury CCUC|GPROSTD337889|89,547.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Canterbury College|GPROSTD335261|35,581.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Central College Nott|GPROSTD337124|38,546.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Cheshire West|GPROSTD328745|111,930.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Chesterfield College|GPROSTD335333|40,606.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|City Liverpool Col|GPROSTD335414|52,445.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|City of Bradford|GPROSTD328741|88,446.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|City of Bristol Coll|GPROSTD335423|28,836.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|City of Sunderland C|GPROSTD335387|47,174.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|City of Westminster|GPROSTD335369|57,073.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|City University, Lon|GPROSTD327919|100,849.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|City University, Lon|GPROSTD332591|59,599.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|City University, Lon|GPROSTD334046|125,836.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|City University, Lon|GPROSTD335405|1,118,416.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|City University, Lon|GPROSTD337952|965,659.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|City University, Lon|GPROSTD339014|41,621.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Cleveland College|GPROSTD335441|99,377.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Conservatoire D&D|GPROSTD334055|28,180.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Conservatoire D&D|GPROSTD335459|717,407.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Cornwall College|GPROSTD335468|38,619.00
BIS|HEFCE|14/11/2013|Policy Ongoing Serv|Central|Council for Industry|GPROSTD333826|50,000.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Courtauld Institute|GPROSTD335477|66,520.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Courtauld Institute|GPROSTD337961|111,930.00
BIS|HEFCE|14/11/2013|Museums, Gal & Coll|RIS policy team|Courtauld Institute|GPROSTD340155|80,417.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Coventry LEA|GPROSTD328746|84,723.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|Coventry University|GPROSTD327921|33,540.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Coventry University|GPROSTD332592|125,517.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Coventry University|GPROSTD334064|214,165.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Coventry University|GPROSTD335486|2,305,191.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Coventry University|GPROSTD337970|184,200.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|Coventry University|GPROSTD339032|70,835.00
BIS|HEFCE|14/11/2013|Revolving Green Fund|RIS policy team|Coventry University|GPROSTD339803|58,400.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|Cranfield University|GPROSTD327922|303,626.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Cranfield University|GPROSTD332593|25,013.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|Cranfield University|GPROSTD334073|214,165.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Cranfield University|GPROSTD335504|841,955.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Cranfield University|GPROSTD337979|1,134,141.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|Cranfield University|GPROSTD339041|70,835.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Craven College|GPROSTD335495|26,616.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Croydon College|GPROSTD335522|85,301.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|De Montfort Uni|GPROSTD327924|71,097.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|De Montfort Uni|GPROSTD332595|128,366.00
BIS|HEFCE|14/11/2013|HEIF 2011-15 (BIS)|RIS policy team|De Montfort Uni|GPROSTD334082|76,989.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|De Montfort Uni|GPROSTD335549|2,226,384.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|De Montfort Uni|GPROSTD338006|433,992.00
BIS|HEFCE|14/11/2013|HEIF 2011-15|RIS policy team|De Montfort Uni|GPROSTD339050|25,464.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Derbyshire LEA|GPROSTD328750|41,352.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Devon County Council|GPROSTD328751|105,978.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Devon County Council|GPROSTD343345|57,808.22
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Doncaster College|GPROSTD335576|149,263.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Doncaster Council|GPROSTD328752|52,155.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Dorset LEA|GPROSTD328753|76,497.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Dudley Coll of Tech|GPROSTD335585|25,530.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Durham LEA|GPROSTD328755|33,750.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Ealing LEA|GPROSTD328756|38,544.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|East Riding|GPROSTD328757|156,087.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|East Sussex LEA|GPROSTD328758|251,193.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Edge Hill University|GPROSTD332600|81,719.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Edge Hill University|GPROSTD335675|1,097,651.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Essex LEA|GPROSTD328759|44,166.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Falmouth Uni|GPROSTD332604|30,966.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Falmouth Uni|GPROSTD335720|733,456.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Falmouth Uni|GPROSTD338087|45,686.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Farnborough College|GPROSTD335738|101,853.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Gateshead College|GPROSTD335756|59,655.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Gloucestershire Coll|GPROSTD335774|28,347.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Gloucs LEA|GPROSTD328760|58,089.00
BIS|HEFCE|14/11/2013|RCIF Round 2|Finance|Goldsmiths' College|GPROSTD327935|83,423.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Goldsmiths' College|GPROSTD328811|42,075.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Goldsmiths' College|GPROSTD332606|43,836.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Goldsmiths' College|GPROSTD335783|730,817.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Goldsmiths' College|GPROSTD338105|793,178.00
BIS|HEFCE|14/11/2013|Capital for FECs|E&P policy team|Grimsby Institute|GPROSTD333386|30,699.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Grimsby Institute|GPROSTD335810|263,481.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Guildford College|GPROSTD335819|67,645.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Guildhall Sch M & D|GPROSTD335828|153,019.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Hampshire LEA|GPROSTD328761|285,864.00
BIS|HEFCE|14/11/2013|Revolving Green Fund|RIS policy team|Harper Adams Uni|GPROSTD261892|60,000.00
BIS|HEFCE|14/11/2013|TCIF Round 2|Finance|Harper Adams Uni|GPROSTD332609|32,731.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Harper Adams Uni|GPROSTD335882|901,575.00
BIS|HEFCE|14/11/2013|Research 13-14|RIS policy team|Harper Adams Uni|GPROSTD338132|29,888.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Hartpury College|GPROSTD335891|51,749.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Havering College|GPROSTD335918|170,949.00
BIS|HEFCE|14/11/2013|HE Academy|E&P policy team|HE Academy|GPROSTD341542|623,000.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Henley College Cov|GPROSTD335927|25,382.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Hereford Coll of Art|GPROSTD335936|54,947.00
BIS|HEFCE|14/11/2013|Inherited Staff|Finance|Hertfordshire CC|GPROSTD328763|90,054.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Heythrop College|GPROSTD335972|57,594.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Highbury College|GPROSTD335981|25,125.00
BIS|HEFCE|14/11/2013|Teaching 13-14|E&P policy team|Hopwood Hall College|GPROSTD335999|25,961.00
