DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT|EXPENSETYPE2|EXPENSEAREA2
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD319213|1,492,222.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD321751|83,524.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD322873|73,256.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD326347|62,500.00|Emp Engagement - Rec|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Canterbury CCUC|GPROSTD331550|570,987.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Canterbury Coll|GPROSTD331684|38,636.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Carlisle College|GPROSTD319240|36,724.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Central College Nott|GPROSTD321013|68,027.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Central Sussex Coll|GPROSTD319285|43,009.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Cheshire West|GPROSTD328557|111,930.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Chesterfield College|GPROSTD319303|84,820.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Chichester College|GPROSTD319312|26,494.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City of Bradford|GPROSTD328553|88,446.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City of Sunderland C|GPROSTD319366|68,493.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City of Westminster|GPROSTD319339|46,370.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City of Westminster|GPROSTD331809|25,946.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City University|GPROSTD319384|1,320,383.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City University|GPROSTD321814|864,724.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City University|GPROSTD322945|139,659.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|City University|GPROSTD331554|135,997.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Cleveland College|GPROSTD319420|116,491.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Conservatoire D&D|GPROSTD319438|702,649.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Conservatoire D&D|GPROSTD322957|31,274.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Courtauld Institute|GPROSTD319456|69,173.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Courtauld Institute|GPROSTD321823|101,043.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Courtauld Institute|GPROSTD323953|80,480.00|Museums, Gal & Coll|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Coventry LEA|GPROSTD328558|84,723.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Coventry University|GPROSTD319465|2,999,989.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Coventry University|GPROSTD321832|163,569.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Coventry University|GPROSTD322969|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Coventry University|GPROSTD326279|250,000.00|Emp Engagement - Rec|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Coventry University|GPROSTD331556|293,330.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Cranfield University|GPROSTD319483|752,540.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Cranfield University|GPROSTD321841|1,064,924.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Cranfield University|GPROSTD322981|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Craven College|GPROSTD319474|33,576.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Croydon College|GPROSTD319501|162,733.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Dearne Valley Coll|GPROSTD319519|25,905.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD319528|2,827,800.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD321868|380,981.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD322993|85,446.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|De Montfort Uni|GPROSTD331561|346,074.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Derbyshire LEA|GPROSTD328562|41,352.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Devon County Council|GPROSTD328563|105,978.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Doncaster College|GPROSTD319555|161,660.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Doncaster College|GPROSTD331700|102,821.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Doncaster Council|GPROSTD328564|52,155.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Dorset LEA|GPROSTD328565|76,497.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Dorset LEA|GPROSTD333787|41,625.82|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Dudley Coll of Tech|GPROSTD319564|36,828.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Durham LEA|GPROSTD328567|33,750.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Ealing Ham  & W Lond|GPROSTD319582|25,319.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Ealing LEA|GPROSTD328568|38,544.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|East Riding|GPROSTD328569|156,087.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|East Riding College|GPROSTD319627|33,811.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|East Sussex LEA|GPROSTD328570|251,193.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Edge Hill University|GPROSTD319636|1,537,848.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Edge Hill University|GPROSTD326295|125,000.00|Emp Engagement - Rec|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|EPSRC|PIG6891|42,788.32|SDF Capital Research|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|EPSRC|PIG6892|27,192.86|SDF Capital Research|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Essex LEA|GPROSTD328571|44,166.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Falmouth Uni|GPROSTD319681|937,492.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Falmouth Uni|GPROSTD321949|37,936.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Farnborough College|GPROSTD319699|162,854.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Gateshead College|GPROSTD319717|83,962.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Gloucestershire Coll|GPROSTD319735|86,416.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Gloucs LEA|GPROSTD328572|58,089.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD319744|919,338.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD321967|723,404.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD323113|27,618.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD328623|42,075.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Goldsmiths College|GPROSTD331572|60,794.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Grimsby Institute|GPROSTD319762|357,945.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Grimsby Institute|GPROSTD331713|55,826.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Guildford College|GPROSTD319771|106,361.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Guildhall Sch M & D|GPROSTD311943|56,000.00|SDF Recurrent|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Guildhall Sch M & D|GPROSTD319780|156,110.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Guildhall Sch M & D|GPROSTD323137|25,468.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Hampshire LEA|GPROSTD328573|285,864.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD261890|60,000.00|Revolving Green Fund|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD319834|1,023,617.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD321994|25,186.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD326287|250,000.00|Emp Engagement - Rec|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD327683|209,286.00|Catalyst Fund C (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Harper Adams Uni|GPROSTD331575|47,491.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Hartpury College|GPROSTD319843|38,694.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Havering College|GPROSTD319861|244,746.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|HE Academy|GPROSTD326404|1,050,000.00|HE Academy|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Henley College|GPROSTD319870|41,190.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Hereford Coll of Art|GPROSTD319879|76,820.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Hertfordshire CC|GPROSTD328575|90,054.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Heythrop College|GPROSTD319906|79,607.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Highbury College|GPROSTD319915|41,158.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Hopwood Hall College|GPROSTD319933|33,581.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Hounslow LEA|GPROSTD328576|33,639.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Hull College|GPROSTD319960|322,945.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Imperial College|GPROSTD287396|28,618.00|SDF Recurrent|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Imperial College|GPROSTD304062|29,405.00|SDF Recurrent|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Imperial College|GPROSTD319978|4,074,993.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Imperial College|GPROSTD322039|8,827,639.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Imperial College|GPROSTD323185|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Imperial College|GPROSTD331580|92,953.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Inst Cancer Research|GPROSTD319222|58,091.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Inst Cancer Research|GPROSTD321760|1,479,289.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Inst Cancer Research|GPROSTD322885|58,641.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Inst of Education|GPROSTD319645|299,605.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Inst of Education|GPROSTD321922|697,052.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Inst of Education|GPROSTD323053|85,153.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Ipsos UK Ltd|PIG6895|45,000.00|Quality Assurance|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|JISC|GPROSTD327668|1,928,106.00|JISC|JISC NAH
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Keele University|GPROSTD319987|1,515,706.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Keele University|GPROSTD322048|548,314.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Keele University|GPROSTD323197|62,330.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Keele University|GPROSTD331581|151,169.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kent LEA|GPROSTD328577|40,209.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|King's College|GPROSTD259824|29,405.00|SDF Recurrent|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|King's College|GPROSTD284231|29,405.00|SDF Recurrent|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|King's College|GPROSTD320032|5,196,398.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|King's College|GPROSTD322066|5,127,869.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|King's College|GPROSTD323221|237,690.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kingston College|GPROSTD320023|36,511.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kingston LEA|GPROSTD328578|51,423.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kingston University|GPROSTD320041|3,993,544.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kingston University|GPROSTD322075|272,713.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kingston University|GPROSTD323233|75,982.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kingston University|GPROSTD331584|108,825.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kirklees College|GPROSTD320059|53,890.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kirklees College|GPROSTD331730|31,243.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Kirklees Council|GPROSTD328579|98,160.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Lakes College|GPROSTD320077|77,328.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Lancashire LEA|GPROSTD328580|162,798.00|Inherited Staff|Finance
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD314804|32,955.00|SDF Recurrent|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD320086|1,559,893.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD322084|1,578,571.00|Research 12-13|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD323245|184,531.00|HEIF 2011-15 (R)|RIS policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Lancaster University|GPROSTD331585|63,265.00|Teaching 12-13|E&P policy team
BIS|HEFCE|16/05/2013|PL Control - Grant|Grant|Leader Foundation HE|GPROSTD326395|75,000.00|Leaders Foundation|LGM
