DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|05/09/2014|Internal projects|Central|CIPFA Business Ltd|PIS3891|37,586.68
BIS|HEFCE|05/09/2014|Professional serv|ROBO|Lockheed Martin|PIS3884|56,100.00
BIS|HEFCE|05/09/2014|Software maintenance|ITS|SAS Software Ltd|PIS3887|79,200.00
BIS|HEFCE|05/09/2014|Rates|ROBO|South Glos Council|PIS3885|114,887.67
BIS|HEFCE|09/09/2014|UKRPIF|Finance|SFC (HE)|PIG12483|266,000.00
BIS|HEFCE|09/09/2014|UKRPIF|Finance|SFC (HE)|PIG12484|1,900,000.00
BIS|HEFCE|09/09/2014|UKRPIF|Finance|SFC (HE)|PIG12485|1,901,480.00
BIS|HEFCE|18/09/2014|Teaching 14-15|E&P policy team|Accrington|GPROSTD355253|39,129.00
BIS|HEFCE|18/09/2014|Teaching 14-15|E&P policy team|Activate Learning|GPROSTD357305|27,060.00
BIS|HEFCE|18/09/2014|Teaching 14-15|E&P policy team|Anglia Ruskin Uni|GPROSTD355271|1,862,342.00
BIS|HEFCE|18/09/2014|Research 14-15|RIS policy team|Anglia Ruskin Uni|GPROSTD358295|178,206.00
BIS|HEFCE|18/09/2014|HEIF 2011-15 (BIS)|RIS policy team|Anglia Ruskin Uni|GPROSTD361472|194,580.00
BIS|HEFCE|18/09/2014|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD362363|64,860.00
BIS|HEFCE|18/09/2014|Teaching 14-15|E&P policy team|Arts Uni Bournemouth|GPROSTD355280|248,800.00
BIS|HEFCE|18/09/2014|Teaching 14-15|E&P policy team|Askham Bryan College|GPROSTD355298|121,494.00
BIS|HEFCE|18/09/2014|Teaching 14-15|E&P policy team|Aston University|GPROSTD355307|1,515,013.00
BIS|HEFCE|18/09/2014|Research 14-15|RIS policy team|Aston University|GPROSTD358313|892,127.00
BIS|HEFCE|18/09/2014|HEIF 2011-15 (BIS)|RIS policy team|Aston University|GPROSTD361481|190,151.00
BIS|HEFCE|18/09/2014|HEIF 2011-15|RIS policy team|Aston University|GPROSTD362372|63,384.00
BIS|HEFCE|18/09/2014|Teaching 14-15|E&P policy team|Barking and Dagenham|GPROSTD355325|69,317.00
