DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|01/12/2012|JISC|JISC NAH|DAC Beachcroft LLP|PIG6697|32,974.08
BIS|HEFCE|01/12/2012|JISC Capital|JISC NAH|Uni of Manchester|GPROSTD327513|57,058.00
BIS|HEFCE|01/12/2012|JISC Capital|JISC NAH|Uni of Manchester|GPROSTD327514|44,929.00
BIS|HEFCE|01/12/2012|HEIF 3/Social Entrep|RIS policy team|UnLtd|PIG6685|942,737.00
BIS|HEFCE|06/12/2012|Payroll control|Running costs|Cabinet Office PCSPS|PIS2386|171,275.48
BIS|HEFCE|06/12/2012|Contract staff|Regulatory Partnersh|Deloitte|PIS2374|79,200.00
BIS|HEFCE|06/12/2012|Offsite premises|JISC UB|Uni of Bristol|PIS2396|44,460.30
BIS|HEFCE|06/12/2012|Fin & Corp Serv|JISC UB|Uni of Bristol|PIS2397|358,515.32
BIS|HEFCE|06/12/2012|Innovations Grp|JISC UB|Uni of Bristol|PIS2398|342,775.45
BIS|HEFCE|13/12/2012|PD - research|R&E programme|HESA|PIC486|131,753.65
BIS|HEFCE|13/12/2012|Contract staff|Regulatory Partnersh|HESA|PIS2402|35,473.64
BIS|HEFCE|13/12/2012|Premises costs|Facilities Managemen|Uni West of England|PIS2403|221,772.44
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Accrington|GPROSTD318779|75,323.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Anglia Ruskin Uni|GPROSTD318797|2,592,061.00
BIS|HEFCE|20/12/2012|Research 12-13|RIS policy team|Anglia Ruskin Uni|GPROSTD321605|111,138.00
BIS|HEFCE|20/12/2012|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD322715|144,075.00
BIS|HEFCE|20/12/2012|Basic Grant|RIS policy team|Anglia Ruskin Uni|GPROSTD326890|53,155.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Arts Uni Bournemouth|GPROSTD318806|642,244.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Askham Bryan College|GPROSTD318824|137,959.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Aston University|GPROSTD318833|1,860,995.00
BIS|HEFCE|20/12/2012|Research 12-13|RIS policy team|Aston University|GPROSTD321623|633,445.00
BIS|HEFCE|20/12/2012|HEIF 2011-15|RIS policy team|Aston University|GPROSTD322727|140,796.00
BIS|HEFCE|20/12/2012|Basic Grant|RIS policy team|Aston University|GPROSTD326899|27,204.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Barking and Dagenham|GPROSTD318851|52,319.00
BIS|HEFCE|20/12/2012|Inherited Staff|Finance|Barking LEA|GPROSTD314408|82,106.00
BIS|HEFCE|20/12/2012|Inherited Staff|Finance|Barnet LEA|GPROSTD314409|79,108.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Basingstoke College|GPROSTD318887|34,534.00
BIS|HEFCE|20/12/2012|Inherited Staff|Finance|Bath LEA|GPROSTD314407|63,158.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Bath Spa University|GPROSTD318896|1,300,669.00
BIS|HEFCE|20/12/2012|Research 12-13|RIS policy team|Bath Spa University|GPROSTD321632|57,718.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Bedford College|GPROSTD318914|56,514.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Birkbeck College|GPROSTD318959|1,667,129.00
BIS|HEFCE|20/12/2012|Research 12-13|RIS policy team|Birkbeck College|GPROSTD321650|1,092,397.00
BIS|HEFCE|20/12/2012|HEIF 2011-15|RIS policy team|Birkbeck College|GPROSTD322751|53,378.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Birmingham City Univ|GPROSTD319256|2,997,196.00
BIS|HEFCE|20/12/2012|Research 12-13|RIS policy team|Birmingham City Univ|GPROSTD321767|171,540.00
BIS|HEFCE|20/12/2012|HEIF 2011-15|RIS policy team|Birmingham City Univ|GPROSTD322895|107,749.00
BIS|HEFCE|20/12/2012|Inherited Staff|Finance|Birmingham LEA|GPROSTD314412|57,839.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Birmingham Met Coll|GPROSTD318986|34,914.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Bishop Burton|GPROSTD319004|220,084.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Bishop Gros Uni Coll|GPROSTD318995|297,521.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Blackburn College|GPROSTD319013|621,907.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Blackpool College|GPROSTD319022|653,373.00
BIS|HEFCE|20/12/2012|Teaching 12-13|E&P policy team|Bournemouth Uni|GPROSTD319058|2,762,292.00
BIS|HEFCE|20/12/2012|Research 12-13|RIS policy team|Bournemouth Uni|GPROSTD321686|200,227.00
BIS|HEFCE|20/12/2012|HEIF 2011-15|RIS policy team|Bournemouth Uni|GPROSTD322787|53,416.00
