DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|07/02/2012|Payroll control|Running costs|Cabinet Office PCSPS|PIS1549|162,558.31
BIS|HEFCE|14/02/2012|Innovations Grp|JISC KCL|King's College|PIS1603|177,909.28
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD302843|144,127.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Anglia Ruskin Uni|GPROSTD312899|1,195,404.00
BIS|HEFCE|16/02/2012|Access Funds|E&P policy team|Anglia Ruskin Uni|GPROSTD313007|26,519.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Arts Uni Bournemouth|GPROSTD312985|26,257.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|Aston University|GPROSTD294476|79,691.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Aston University|GPROSTD302855|140,847.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Aston University|GPROSTD312934|663,833.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Barking LEA|GPROSTD311963|62,500.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Barnet LEA|GPROSTD294017|75,173.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Bath LEA|GPROSTD294016|64,979.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Bath Spa University|GPROSTD310214|40,000.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Beds LEA|GPROSTD294019|25,070.00
BIS|HEFCE|16/02/2012|SDF Capital LAT|RIS policy team|Birkbeck College|GPROSTD259347|46,000.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|Birkbeck College|GPROSTD294480|123,068.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Birkbeck College|GPROSTD302879|53,397.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Birkbeck College|GPROSTD312953|245,595.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Birmingham City Univ|GPROSTD303023|107,788.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Birmingham City Univ|GPROSTD312904|213,135.00
BIS|HEFCE|16/02/2012|Access Funds|E&P policy team|Birmingham City Univ|GPROSTD313018|35,940.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Birmingham LEA|GPROSTD294020|60,106.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Bishop Gros Uni Coll|GPROSTD312874|55,700.00
BIS|HEFCE|16/02/2012|Capital for FECs|E&P policy team|Blackburn College|GPROSTD293155|57,384.00
BIS|HEFCE|16/02/2012|Capital for FECs|E&P policy team|Blackpool College|GPROSTD293154|47,339.00
BIS|HEFCE|16/02/2012|Emp Engagement - Rec|E&P policy team|Bournemouth Uni|GPROSTD286392|26,100.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Bournemouth Uni|GPROSTD302915|53,435.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Bournemouth Uni|GPROSTD312902|176,780.00
BIS|HEFCE|16/02/2012|Capital for FECs|E&P policy team|Bradford College|GPROSTD293157|59,315.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Bradford LEA|GPROSTD294022|30,678.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|British Library|GPROSTD313206|54,383.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|Brunel University|GPROSTD294488|149,460.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Brunel University|GPROSTD302963|93,702.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Brunel University|GPROSTD312939|420,854.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Bucks County Council|GPROSTD294025|38,608.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Bucks New University|GPROSTD302975|63,050.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Bucks New University|GPROSTD312875|77,793.00
BIS|HEFCE|16/02/2012|SS UMF|Finance|BUFVC|GPROSTD305052|34,500.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|BUFVC|GPROSTD309030|52,534.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Canterbury CCUC|GPROSTD302999|73,195.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Canterbury CCUC|GPROSTD312878|220,827.00
BIS|HEFCE|16/02/2012|Revolving Green Fund|RIS policy team|Canterbury CCUC|GPROSTD313225|78,909.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Case Europe|GPROSTD288279|29,714.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Cheshire West|GPROSTD294027|40,395.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|City University|GPROSTD294496|97,983.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|City University|GPROSTD303071|139,542.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|City University|GPROSTD312941|1,045,215.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Conservatoire D&D|GPROSTD308873|31,250.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Conservatoire D&D|GPROSTD312986|245,595.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Cornwall College|GPROSTD310256|25,000.00
BIS|HEFCE|16/02/2012|Museums, Gal & Coll|RIS policy team|Courtauld Institute|GPROSTD295614|80,417.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Courtauld Institute|GPROSTD312988|1,314,215.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Coventry LEA|GPROSTD294028|29,763.00
BIS|HEFCE|16/02/2012|Emp Engagement - Rec|E&P policy team|Coventry University|GPROSTD228080|81,917.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|Coventry University|GPROSTD294498|32,585.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Coventry University|GPROSTD303083|237,491.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Coventry University|GPROSTD312907|560,664.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Coventry University|GPROSTD313201|35,000.00
BIS|HEFCE|16/02/2012|Revolving Green Fund|RIS policy team|Coventry University|GPROSTD313227|84,250.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|Cranfield University|GPROSTD294499|294,996.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Cranfield University|GPROSTD303095|237,491.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Cranfield University|GPROSTD312872|487,795.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|De Montfort Uni|GPROSTD294501|69,076.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|De Montfort Uni|GPROSTD303107|85,374.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|De Montfort Uni|GPROSTD312919|197,935.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Devon LEA|GPROSTD294033|35,443.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Dorset LEA|GPROSTD294035|26,113.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Dundee Uni|GPROSTD310208|25,000.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|East Riding|GPROSTD294039|53,070.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|East Sussex LEA|GPROSTD294040|84,589.00
BIS|HEFCE|16/02/2012|Equal opportunities|LGM|ECU|PIG6225|28,500.00
BIS|HEFCE|16/02/2012|FE ITT Bursaries|E&P policy team|Edge Hill University|GPROSTD295345|30,200.00
BIS|HEFCE|16/02/2012|Aimhigher 2008-11|E&P policy team|Edge Hill University|GPROSTD312814|25,876.55
BIS|HEFCE|16/02/2012|Revolving Green Fund|RIS policy team|Edge Hill University|GPROSTD313229|150,305.00
BIS|HEFCE|16/02/2012|SS UMF|Finance|Edinburgh University|GPROSTD291285|121,500.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Edinburgh University|GPROSTD309092|67,167.00
BIS|HEFCE|16/02/2012|JISC Capital|JISC NAH|Edinburgh University|GPROSTD309311|48,640.00
BIS|HEFCE|16/02/2012|JISC Capital|JISC NAH|Edinburgh University|GPROSTD309323|79,837.00
BIS|HEFCE|16/02/2012|JISC Capital|JISC NAH|Edinburgh University|GPROSTD309326|58,328.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Edinburgh University|GPROSTD312045|26,374.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Edinburgh University|GPROSTD312061|156,176.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Edinburgh University|GPROSTD312073|113,135.00
BIS|HEFCE|16/02/2012|JISC Capital|JISC NAH|Edinburgh University|GPROSTD312415|36,857.00
BIS|HEFCE|16/02/2012|SS UMF|Finance|Eduserv|GPROSTD295181|133,000.00
BIS|HEFCE|16/02/2012|SDF Capital Research|RIS policy team|EPSRC|GPROSTD312842|67,019.00
BIS|HEFCE|16/02/2012|SDF Capital Research|RIS policy team|EPSRC|GPROSTD312843|75,952.00
BIS|HEFCE|16/02/2012|SDF Capital Research|RIS policy team|EPSRC|GPROSTD312844|62,687.00
BIS|HEFCE|16/02/2012|SDF Capital Research|RIS policy team|EPSRC|GPROSTD312845|68,811.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|ESRC|GPROSTD309042|32,500.00
BIS|HEFCE|16/02/2012|RCIF Round 2|Finance|Goldsmiths College|GPROSTD294512|81,052.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Goldsmiths College|GPROSTD303227|27,595.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Goldsmiths College|GPROSTD312954|281,964.00
BIS|HEFCE|16/02/2012|JISC|JISC NAH|Goldsmiths College|GPROSTD313199|35,000.00
BIS|HEFCE|16/02/2012|Capital for FECs|E&P policy team|Grimsby Institute|GPROSTD293153|38,552.00
BIS|HEFCE|16/02/2012|SDF Recurrent|RIS policy team|Guildhall Sch M & D|GPROSTD232327|68,000.00
BIS|HEFCE|16/02/2012|HEIF 2011-15|RIS policy team|Guildhall Sch M & D|GPROSTD303251|25,446.00
BIS|HEFCE|16/02/2012|SDF Recurrent|RIS policy team|Guildhall Sch M & D|GPROSTD311928|55,000.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Guildhall Sch M & D|GPROSTD312994|1,669,850.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Hampshire LEA|GPROSTD294043|98,586.00
BIS|HEFCE|16/02/2012|Revolving Green Fund|RIS policy team|Harper Adams Uni Col|GPROSTD261885|60,000.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Harper Adams Uni Col|GPROSTD312882|743,033.00
BIS|HEFCE|16/02/2012|Capital for FECs|E&P policy team|Havering College|GPROSTD293150|26,207.00
BIS|HEFCE|16/02/2012|HE Academy|E&P policy team|HE Academy|GPROSTD311953|1,142,000.00
BIS|HEFCE|16/02/2012|Nat Teaching Fellows|E&P policy team|HE Academy|GPROSTD312810|145,000.00
BIS|HEFCE|16/02/2012|Nat Teaching Fellows|E&P policy team|HE Academy|GPROSTD312812|47,000.00
BIS|HEFCE|16/02/2012|HE Academy|E&P policy team|HE Academy|GPROSTD313299|285,867.00
BIS|HEFCE|16/02/2012|Inherited Staff|Finance|Hertfordshire LEA|GPROSTD294045|32,206.00
BIS|HEFCE|16/02/2012|Voluntary Giving|Finance|Heythrop College|GPROSTD312991|245,595.00
