DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|04/07/2013|Premises costs|Facilities Managemen|Uni West of England|PIS2806|221,772.44
BIS|HEFCE|15/07/2013|PD - research|R&E programme|EPSRC|PIC565|78,120.00
BIS|HEFCE|15/07/2013|SDF Recurrent|RIS policy team|ESRC|PIG6934|680,000.00
BIS|HEFCE|15/07/2013|Audit fees|Central|NAO|PIS2811|36,500.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Accrington|GPROSTD318783|62,184.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Anglia Ruskin Uni|GPROSTD318801|2,139,956.00
BIS|HEFCE|18/07/2013|Research 12-13|RIS policy team|Anglia Ruskin Uni|GPROSTD321609|91,753.00
BIS|HEFCE|18/07/2013|HEIF 2011-15 (R)|RIS policy team|Anglia Ruskin Uni|GPROSTD322719|144,248.00
BIS|HEFCE|18/07/2013|Basic Grant|RIS policy team|Anglia Ruskin Uni|GPROSTD326894|53,155.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Anglia Ruskin Uni|GPROSTD332108|685,749.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Arts Uni Bournemouth|GPROSTD318810|530,225.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Arts Uni Bournemouth|GPROSTD332119|155,509.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Askham Bryan College|GPROSTD318828|113,897.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Aston University|GPROSTD318837|1,536,403.00
BIS|HEFCE|18/07/2013|Research 12-13|RIS policy team|Aston University|GPROSTD321627|522,960.00
BIS|HEFCE|18/07/2013|HEIF 2011-15 (R)|RIS policy team|Aston University|GPROSTD322731|140,965.00
BIS|HEFCE|18/07/2013|Basic Grant|RIS policy team|Aston University|GPROSTD326903|27,203.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Barking and Dagenham|GPROSTD318855|43,194.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Basingstoke College|GPROSTD318891|28,511.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Bath Spa University|GPROSTD318900|1,073,807.00
BIS|HEFCE|18/07/2013|Research 12-13|RIS policy team|Bath Spa University|GPROSTD321636|47,651.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Bedford College|GPROSTD318918|46,656.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Birkbeck College|GPROSTD318963|1,376,351.00
BIS|HEFCE|18/07/2013|Research 12-13|RIS policy team|Birkbeck College|GPROSTD321654|901,862.00
BIS|HEFCE|18/07/2013|HEIF 2011-15 (R)|RIS policy team|Birkbeck College|GPROSTD322755|53,442.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Birmingham City Univ|GPROSTD319260|2,474,428.00
BIS|HEFCE|18/07/2013|Research 12-13|RIS policy team|Birmingham City Univ|GPROSTD321771|141,619.00
BIS|HEFCE|18/07/2013|HEIF 2011-15 (R)|RIS policy team|Birmingham City Univ|GPROSTD322899|107,877.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Birmingham Met Coll|GPROSTD318990|28,824.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Birmingham Met Coll|GPROSTD332246|67,363.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Bishop Burton|GPROSTD319008|181,697.00
BIS|HEFCE|18/07/2013|Teaching 12-13|E&P policy team|Bishop Burton|GPROSTD332247|53,668.00
