DEPARTMENT|ENTITY|DATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNUMBER|AMOUNT
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Accrington|GPROSTD334776|39,193.00
BIS|HEFCE|19/12/2013|HEIF 2011-15 (BIS)|RIS policy team|Anglia Ruskin Uni|GPROSTD333876|129,971.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Anglia Ruskin Uni|GPROSTD334794|1,942,276.00
BIS|HEFCE|19/12/2013|Research 13-14|RIS policy team|Anglia Ruskin Uni|GPROSTD337746|112,978.00
BIS|HEFCE|19/12/2013|HEIF 2011-15|RIS policy team|Anglia Ruskin Uni|GPROSTD338844|42,988.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Arts Uni Bournemouth|GPROSTD334803|386,477.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Askham Bryan College|GPROSTD334821|97,659.00
BIS|HEFCE|19/12/2013|HEIF 2011-15 (BIS)|RIS policy team|Aston University|GPROSTD333885|127,013.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Aston University|GPROSTD334830|1,022,751.00
BIS|HEFCE|19/12/2013|Research 13-14|RIS policy team|Aston University|GPROSTD337764|594,848.00
BIS|HEFCE|19/12/2013|HEIF 2011-15|RIS policy team|Aston University|GPROSTD338853|42,010.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Barking and Dagenham|GPROSTD334848|40,160.00
BIS|HEFCE|19/12/2013|Inherited Staff|Finance|Barnet LEA|GPROSTD346751|120,818.39
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Barnsley College|GPROSTD343838|116,025.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Bath Spa University|GPROSTD334893|775,309.00
BIS|HEFCE|19/12/2013|Research 13-14|RIS policy team|Bath Spa University|GPROSTD337773|52,059.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Bedford College|GPROSTD334911|38,793.00
BIS|HEFCE|19/12/2013|HEIF 2011-15 (BIS)|RIS policy team|Birkbeck College|GPROSTD333903|48,153.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Birkbeck College|GPROSTD334965|1,020,512.00
BIS|HEFCE|19/12/2013|Research 13-14|RIS policy team|Birkbeck College|GPROSTD337791|1,011,423.00
BIS|HEFCE|19/12/2013|HEIF 2011-15 (BIS)|RIS policy team|Birmingham City Univ|GPROSTD334011|97,201.00
BIS|HEFCE|19/12/2013|Teaching 13-14|E&P policy team|Birmingham City Univ|GPROSTD335289|1,750,743.00
BIS|HEFCE|19/12/2013|Research 13-14|RIS policy team|Birmingham City Univ|GPROSTD337908|170,985.00
BIS|HEFCE|19/12/2013|HEIF 2011-15|RIS policy team|Birmingham City Univ|GPROSTD338979|32,149.00
