DEPARTMENT|ENTITY|PAYMENTDATE|EXPENSETYPE|EXPENSEAREA|SUPPLIER|TRANSACTIONNO|AMOUNT
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Oxford Brookes Univ|GPROSTD303692|136,483.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Oxford Brookes Univ|GPROSTD305428|48,959.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Oxfordshire LEA|GPROSTD313887|36,598.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Plymouth Coll of Art|GPROSTD297415|246,029.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Plymouth Coll of Art|GPROSTD300859|40,281.00
BIS|HEFCE|14/06/2012|Quality Assurance|E&P policy team|QAA|GPROSTD310357|460,941.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Queen Mary, UoL|GPROSTD297433|5,048,477.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Queen Mary, UoL|GPROSTD298969|2,916,596.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Queen Mary, UoL|GPROSTD300877|137,010.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Queen Mary, UoL|GPROSTD303728|237,518.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Ravensbourne College|GPROSTD297442|575,182.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Ravensbourne College|GPROSTD300886|60,091.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Riverside Col Halton|GPROSTD296650|103,425.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Roehampton Uni|GPROSTD297469|1,503,201.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Roehampton Uni|GPROSTD298987|221,136.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Roehampton Uni|GPROSTD300913|200,225.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Roehampton Uni|GPROSTD301966|35,135.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Roehampton Uni|GPROSTD303752|38,436.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Rose Bruford College|GPROSTD297478|315,966.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Rose Bruford College|GPROSTD300922|31,358.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Rotherham Coll A&T|GPROSTD297487|54,447.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Royal Academy Music|GPROSTD297505|336,672.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Royal Academy Music|GPROSTD299014|40,109.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Royal Agricultural|GPROSTD297496|375,197.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Royal College Music|GPROSTD297523|352,222.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Royal College Music|GPROSTD299032|39,247.00
BIS|HEFCE|14/06/2012|London Insts|Inst teams Lond East|Royal College of Art|GPROSTD295568|255,107.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Royal College of Art|GPROSTD297514|702,474.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Royal College of Art|GPROSTD299023|231,881.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Royal College of Art|GPROSTD303764|25,069.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Royal Holloway|GPROSTD297532|1,857,997.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Royal Holloway|GPROSTD299041|1,256,599.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Royal Holloway|GPROSTD300976|85,280.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Royal Holloway|GPROSTD303776|40,418.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Royal North Coll Mus|GPROSTD297541|488,969.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Royal Veterinary|GPROSTD297550|1,757,503.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Royal Veterinary|GPROSTD299059|489,705.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Royal Veterinary|GPROSTD300994|27,362.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Royal Veterinary|GPROSTD303800|99,471.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Ruskin College|GPROSTD297559|67,606.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|School of Pharmacy|GPROSTD312264|353,225.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|School of Pharmacy|GPROSTD312274|339,185.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Sheffield College|GPROSTD297595|124,581.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Sheffield College|GPROSTD301039|26,525.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Sheffield Hallam Uni|GPROSTD297604|5,018,249.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Sheffield Hallam Uni|GPROSTD299077|422,964.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Sheffield Hallam Uni|GPROSTD301048|772,923.00
BIS|HEFCE|14/06/2012|Moderation - T|E&P policy team|Sheffield Hallam Uni|GPROSTD302002|36,475.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Sheffield Hallam Uni|GPROSTD303824|100,869.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Sheffield Hallam Uni|GPROSTD305498|29,673.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Sheffield LEA|GPROSTD313889|63,197.00
BIS|HEFCE|14/06/2012|JISC|JISC NAH|Sir Gar Coleg|GPROSTD324427|40,000.00
BIS|HEFCE|14/06/2012|London Insts|Inst teams Lond East|SOAS|GPROSTD295580|42,755.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|SOAS|GPROSTD297352|559,130.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|SOAS|GPROSTD298915|597,953.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|SOAS|GPROSTD300796|29,274.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|SOAS|GPROSTD303668|39,605.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Solihull College|GPROSTD297622|99,654.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Somerset Coll of Art|GPROSTD305508|37,706.00
BIS|HEFCE|14/06/2012|SDF Recurrent|RIS policy team|Southampton Solent U|GPROSTD234105|215,695.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Southampton Solent U|GPROSTD297667|2,679,068.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Southampton Solent U|GPROSTD301111|397,313.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Southampton Solent U|GPROSTD303848|73,066.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|South Downs College|GPROSTD297640|29,145.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|South Notts College|GPROSTD297649|32,186.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|South Notts College|GPROSTD310965|52,776.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|South Thames College|GPROSTD297685|27,898.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|South Tyneside Coll|GPROSTD297703|175,503.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|South Tyneside Coll|GPROSTD301147|42,194.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Sparsholt College|GPROSTD297712|173,921.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Staffordshire Uni|GPROSTD297721|3,772,611.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|Staffordshire Uni|GPROSTD299113|60,850.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Staffordshire Uni|GPROSTD301165|812,846.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|Staffordshire Uni|GPROSTD303872|100,190.00
BIS|HEFCE|14/06/2012|Inherited Staff|Finance|Staffs LEA|GPROSTD313893|46,458.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Stephenson College|GPROSTD297739|74,764.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|St George's Med Sch|GPROSTD297748|1,791,960.00
BIS|HEFCE|14/06/2012|Basic - R|RIS policy team|St George's Med Sch|GPROSTD299122|570,897.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|St George's Med Sch|GPROSTD301192|36,278.00
BIS|HEFCE|14/06/2012|HEIF 2011-15|RIS policy team|St George's Med Sch|GPROSTD303884|77,906.00
BIS|HEFCE|14/06/2012|JISC|JISC NAH|St George's Med Sch|GPROSTD324414|49,630.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|St Helens Coll|GPROSTD297757|216,212.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|St Helens Coll|GPROSTD301201|61,987.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|St Mary's Uni Colleg|GPROSTD297766|638,561.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|St Mary's Uni Colleg|GPROSTD301210|90,342.00
BIS|HEFCE|14/06/2012|Basic - T|E&P policy team|Stockport College|GPROSTD297784|275,625.00
BIS|HEFCE|14/06/2012|Basic - WP|E&P policy team|Stockport College|GPROSTD301228|59,579.00
