Department	Entity	Date	Expense Type	Expense Area	Supplier	Transaction Number	Amount	Expense Type 2	Expense Area 2	Description	Supplier Postcode	Period
BIS	HEFCE	01/09/2012	SPA	E&P policy team	UCAS	GPROSTD326434	64,425.00			
BIS	HEFCE	01/09/2012	Voluntary Giving	Finance	More Partnership Ltd	PIG6508	31,847.53			
BIS	HEFCE	01/10/2012	Basic Grant	RIS policy team	London Met Uni	GPROSTD324309	2,500,000.00			
BIS	HEFCE	01/10/2012	Basic Grant	RIS policy team	University of Bolton	GPROSTD324306	150,000.00			
BIS	HEFCE	01/10/2012	SDF Capital LAT	RIS policy team	Ravensbourne College	GPROSTD324318	37,500.00			
BIS	HEFCE	01/10/2012	SDF Capital LAT	RIS policy team	Uni of Manchester	GPROSTD324315	1,000,000.00			
BIS	HEFCE	01/10/2012	SDF Recurrent	RIS policy team	Uni of Worcester	GPROSTD25593	166,500.00			
BIS	HEFCE	01/10/2012	SDF Recurrent	RIS policy team	Uni of Worcester	GPROSTD324312	41,750.00			
BIS	HEFCE	01/11/2011	Audit fees	Central	NAO	PIS1285	62,000.00			
BIS	HEFCE	01/12/2012	HEIF 3/Social Entrep	RIS policy team	UnLtd	PIG6685	942,737.00			
BIS	HEFCE	01/12/2012	JISC Capital	JISC NAH	Uni of Manchester	GPROSTD327513	57,058.00			
BIS	HEFCE	01/12/2012	JISC Capital	JISC NAH	Uni of Manchester	GPROSTD327514	44,929.00			
BIS	HEFCE	01/12/2012	JISC	JISC NAH	DAC Beachcroft LLP	PIG6697	32,974.08			
BIS	HEFCE	02/08/2013	Contract staff	Regulatory Partnersh	Deloitte	PIS2892	27,956.59			
BIS	HEFCE	02/08/2013	Contract staff	Regulatory Partnersh	HESA	PIS2879	30,599.11			
BIS	HEFCE	02/09/2013	UKRPIF	Finance	SFC (HE)	PIG6996	2,000,000.00			
BIS	HEFCE	02/10/2012	Innovations Grp	JISC KCL	King's College	PIS2203	166,109.05			
BIS	HEFCE	02/10/2012	Payroll control	Running costs	Cabinet Office PCSPS	PIS2214	169,645.59			
BIS	HEFCE	02/10/2012	Rates	Facilities Managemen	London Bor Camden	PIS1806	58,316.00			
BIS	HEFCE	02/10/2012	Rates	Facilities Managemen	South Glos Council	PIS1808	138,545.00			
BIS	HEFCE	02/10/2015	New site alterations	ROBO	Bray & Slaughter Ltd	PIS5430	97,845.80			
