Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160120irlpvbhbw,12.94,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Office Stationery,Finance Directorate,Www.Rivieramultimedia.,H57720160120grlolopwd,73.32,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Office Stationery,Finance Directorate,Amazon UK Marketplace,H57720160120pynilletu,5.49,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160120cluwqlird,101.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160120nbfrvgatn,64.44,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,Office Stationery,Finance Directorate,Www.Rivieramultimedia.,H57720160114fxezuqths,23.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160113dvpiesogx,24.04,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160113kskttqjam,138.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160108voioyoilk,319.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160108vdlimchlc,272.42,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160108kgflqvkxu,112.46,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/01/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160107bkwwqusdk,82.32,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Career Development Services,People Places & Serv Direct,Amazon UK Retail,H57720160106rolhgsnvo,37.48,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/01/2016,Perpetual Licences,People Places & Serv Direct,Surveymonkey.Com,H57720160119arwvjjoqh,-26.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/01/2016,Career Development Services,People Places & Serv Direct,Bls*prezi Inc,H57720160105qfbednqfq,8.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/12/2015,Perpetual Licences,People Places & Serv Direct,Surveymonkey.Com,H57720160102ifbifsyqt,26.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/01/2016,Books,People Places & Serv Direct,Amazon UK Retail,H57720160115sbvxxzcuf,43.22,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Skr*electronicfirst.Co,H57720160129jzgsdtwet,63.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/01/2016,Office Stationery,People Places & Serv Direct,Business Ind Solutions,H57720160127ldemdrrnm,86.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Key Industrial Equipment,H57720160123rzwuvxrct,46.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Office Stationery,People Places & Serv Direct,Www.Johnlewis.Com,H57720160123lfrnmfzqq,44.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,The Absolute Sports Grou,H57720160122rwbsuzlqf,176.32,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Office Stationery,People Places & Serv Direct,Tesco Direct,H57720160122nsjifbzqn,324.95,Not Applicable,
