Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,11/05/2015,Fixed Telecoms Equipment,IT Directorate,"Amazon Svcs Europe,sar",H57720150513imdmdaqbm,17.27,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/05/2015,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720150526fftswjyqd,9.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/05/2015,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720150521ppiotxpup,28.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/05/2015,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720150521qeuqccxtu,41.69,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2015,Fixed Telecoms Equipment,IT Directorate,Meetingzone Ltd,H57720150520vnwkbcjzf,520.39,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/05/2015,Fixed Telecoms Equipment,IT Directorate,Virgin Media Pymts,H57720150526ulwpdwyar,219.52,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Fixed Telecoms Equipment,IT Directorate,Virgin Media Pymts,H57720150515iabojpprl,297.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/04/2015,Software Maintenance,IT Directorate,Browserstack.Com,H57720150502hqtliaefr,159.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/05/2015,Software Maintenance,IT Directorate,Paypal,H57720150530chjihozwd,62.81,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Software Maintenance,IT Directorate,Digicert Inc,H57720150515kfntvdcps,473.55,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/05/2015,Software Maintenance,IT Directorate,Paypal,H57720150512dgdesptbg,151.88,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/05/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720150514bfwyucwzb,44.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2015,Network and infrastructure H/W,IT Directorate,Currys Online,H57720150520hbincotrb,192.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2015,Network and infrastructure H/W,IT Directorate,Cabling4less,H57720150520igxsjxkpr,30.53,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2015,Network and infrastructure H/W,IT Directorate,Currys Online,H57720150520nnqsvnrsx,549.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/05/2015,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720150514ahytoxpyk,31.44,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/05/2015,Network and infrastructure H/W,IT Directorate,"Amazon Svcs Europe,sar",H57720150514mekqvruxl,450.30,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/05/2015,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720150514pruubtoho,40.23,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/05/2015,Perpetual Licences (no further payments),IT Directorate,Websitepulse.Com,H57720150508xxeffkweu,47.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/05/2015,T&S UK,IT Directorate,Hrg UK Inm426188598,H57720150509cxpbtcfbo,3.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/05/2015,T&S UK,IT Directorate,Hrg UK Inm426293592,H57720150509jbdxyftxf,3.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/05/2015,T&S UK,IT Directorate,Hrg UK Inm426155571,H57720150509lgnxfrgze,3.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/05/2015,T&S UK,IT Directorate,Hrg UK Inm426175319,H57720150509ywlkuqohu,3.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Career Development Services,IT Directorate,Pcpm Ltd,H57720150515gjbadrvej,1238.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Career Development Services,IT Directorate,Pcpm Ltd,H57720150515ijsdumapp,679.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Career Development Services,IT Directorate,Pcpm Ltd,H57720150515myqorbqhl,1238.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Career Development Services,IT Directorate,Pcpm Ltd,H57720150515sbdejyxce,1238.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Career Development Services,IT Directorate,Pcpm Ltd,H57720150515wbdhyomzl,1238.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/05/2015,Career Development Services,IT Directorate,General Assembly,H57720150507jlmsezble,33.44,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/05/2015,T&S O-seas excl EPOQUE,IT Directorate,Easyjet,H57720150516iaylndlox,84.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/05/2015,Career Development Services,IT Directorate,Eb Agile On The Beach,H57720150530hnokxduzq,2490.65,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/05/2015,Career Development Services,IT Directorate,Paypal,H57720150529lemgigqdc,4410.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/05/2015,Career Development Services,IT Directorate,Eb Agile Cymru 2015,H57720150528tqqdphvgr,564.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/05/2015,Career Development Services,IT Directorate,Www.Assistkd.Com,H57720150528tjgimlojf,1638.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/05/2015,Career Development Services,IT Directorate,Sti,H57720150523wwymljtxx,1668.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/05/2015,Career Development Services,IT Directorate,Eb Agile Cymru 2015,H57720150522egnqxwizi,600.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/05/2015,Career Development Services,IT Directorate,Elearningcurve Llc,H57720150508jnuvgybnk,1123.53,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/05/2015,Placement Fees,IT Directorate,"Stack Exchange, Inc.",H57720150526eugmchycp,479.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/05/2015,Placement Fees,IT Directorate,"Stack Exchange, Inc.",H57720150522wjhojqwid,325.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/05/2015,Placement Fees,IT Directorate,"Stack Exchange, Inc.",H57720150522xorxfqtqz,479.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2015,Network and infrastructure H/W,IT Directorate,Msft *microsoftstore,H57720150515fzewbhqrt,1168.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/05/2015,Entertainment,Secretariat,Marksandspencer.Co,H57720150516etedjwicm,58.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/05/2015,Entertainment,Secretariat,Marksandspencer.Co,H57720150509jkvxaxrzl,35.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/05/2015,Entertainment,Secretariat,Tesco Stores 2931,H57720150505vpvrrikeq,7.00,Not Applicable,
