Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,03/02/2012,Machinery hire and maintenance,Business Support Directorate,Crown Lift Truck Ltd,SIN/10153185,86.50,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2012,Machinery hire and maintenance,Business Support Directorate,Crown Lift Truck Ltd,SIN/10154982,191.53,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2012,Machinery hire and maintenance,Business Support Directorate,Crown Lift Truck Ltd,SIN/10154994,232.20,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2012,Machinery hire and maintenance,Business Support Directorate,Crown Lift Truck Ltd,SIN/10154981,421.20,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/02/2012,Machinery hire and maintenance,Business Support Directorate,Crown Lift Truck Ltd,sin/10154824,592.01,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,Machinery hire and maintenance,Business Support Directorate,Xerox Finance,96579967.00 ,861.24,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/02/2012,Machinery hire and maintenance,Business Support Directorate,Crown Lift Truck Ltd,SIN/10154822,2091.41,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/02/2012,Machinery hire and maintenance,Business Support Directorate,Crown Lift Truck Ltd,SIN/10154823,2283.71,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,Machinery hire and maintenance,Business Support Directorate,Xerox Business Services,900086254,16101.40,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2012,Maintenance of computers,Business Support Directorate,BOM Group Ltd,SIN016031CN,-5017.50,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,Maintenance of computers,Business Support Directorate,Ascot Visual Solutions Ltd,10141,440.40,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,14/02/2012,Maintenance of computers,Business Support Directorate,Quest Software (UK) Ltd,4600008034,1467.95,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,21/02/2012,Maintenance of computers,Business Support Directorate,Bradmark Technologies UK Ltd,61041.00 ,4032.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2012,Maintenance of computers,Business Support Directorate,BOM Group Ltd,SIN016031A,5235.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/02/2012,Maintenance of computers,Business Support Directorate,Fujitsu FTS Ltd,8255028679.00 ,6846.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Maintenance of computers,Business Support Directorate,Softcat Ltd,INV00616008,6958.91,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/02/2012,Maintenance of computers,Business Support Directorate,Kodak Ltd,139489421.00 ,13016.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2012,Maintenance of computers,Business Support Directorate,Trustmarque Solutions Ltd,2162559.00 ,18930.14,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,14/02/2012,Maintenance of computers,Business Support Directorate,ndl-metascybe Ltd,11503.00 ,26725.36,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2012,Maintenance of computers,Business Support Directorate,Open Text AG,SUK08124322,28110.45,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/02/2012,Online Bureau Charges,Patents Directorate,STN International,9310003762CN A,-579.23,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/02/2012,Online Bureau Charges,Patents Directorate,STN International,9310003762CN B,-579.23,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,Online Bureau Charges,Innovation Directorate,STN International,9340223041.00 ,126.73,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/02/2012,Online Bureau Charges,Patents Directorate,STN International,9340222584,11430.84,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/02/2012,Online Bureau Charges,Patents Directorate,European Patent Office,40206507,84641.69,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/02/2012,Payroll Costs,Business Support Directorate,LogicaCMG UK Ltd,HRS126074,1529.80,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/02/2012,Payroll Costs,Business Support Directorate,LogicaCMG UK Ltd,HRS125973,2659.29,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/02/2012,Computer hardware and software,Business Support Directorate,Gartner UK Ltd,20068468CR,-11520.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Computer hardware and software,Business Support Directorate,Softcat Ltd,INV00616008,-2152.84,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,Computer hardware and software,Business Support Directorate,Kelway (UK) Ltd,PSIN735704,367.20,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/02/2012,Computer hardware and software,Business Support Directorate,CDI Group plc,35548,470.76,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/02/2012,Computer hardware and software,Finance Directorate,Bottomline Technologies Europe,INV379515,600.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,Computer hardware and software,Business Support Directorate,Specialist Computer Centres Plc,OP/L451368,868.09,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,Computer hardware and software,Trade Marks Directorate,Sword,SWP/BRE/F1202037,1487.10,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Computer hardware and software,Patents Directorate,Softcat Ltd,INV00616008,2152.84,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,Computer hardware and software,Patents Directorate,Drake AV Video Ltd,68314.00 ,2485.20,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,Computer hardware and software,Trade Marks Directorate,Specialist Computer Centres Plc,OP/L452781,2779.39,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/02/2012,Computer hardware and software,Business Support Directorate,Specialist Computer Centres Plc,OP/L428813,3182.58,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/02/2012,Computer hardware and software,Business Support Directorate,Probrand Ltd,OP/I370729,3375.12,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,21/02/2012,Computer hardware and software,Business Support Directorate,Sitemorse Ltd,SM3529,4320.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2012,Computer hardware and software,Business Support Directorate,Specialist Computer Centres Plc,OP/L440917,7262.22,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Computer hardware and software,Business Support Directorate,Kelway (UK) Ltd,PSIN721056,9432.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,21/02/2012,Computer hardware and software,Business Support Directorate,DST Business Systems,20434.00 ,10059.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/02/2012,Computer hardware and software,Business Support Directorate,HFX Ltd,22713,20635.45,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2012,Computer hardware and software,Trade Marks Directorate,Fujitsu Services Ltd,8055335,49213.56,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,Computer hardware and software,Business Support Directorate,QED IS Consulting Ltd,4325-07/02/12,49713.95,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/02/2012,Computer hardware and software,Business Support Directorate,Gartner UK Ltd,20068467,61560.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/02/2012,Computer hardware and software,Business Support Directorate,Trustmarque Solutions Ltd,2162559,70100.76,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,15/02/2012,Project contractor costs,Business Support Directorate,Barron McCann Technology Ltd,TV108009,1320.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2012,IT Contractors,Business Support Directorate,Silversands Ltd,117850,597.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187005,1502.78,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186993,1702.51,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA188257,1729.54,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188262,1862.64,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187883,1927.18,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA188254,1999.78,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187000,2030.64,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188259,2049.96,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187890,2065.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA187886,2094.36,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA187888,2107.87,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186995,2134.90,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA188252,2151.36,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186994,2161.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186996,2161.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA187887,2161.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA187889,2161.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA188255,2161.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA188256,2161.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186653,2163.84,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA188253,2298.82,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186992,2303.42,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187400,2316.79,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187891,2316.79,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188263,2316.79,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186988,2434.32,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186998,2631.28,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186991,2691.53,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA187884,2695.26,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188248,2704.80,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186661,2725.49,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187399,2759.14,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188261,2862.72,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187003,3422.30,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188249,3432.48,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186989,3576.88,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186997,3578.88,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187398,3602.88,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186658,4053.60,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188251,4225.50,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186660,4283.30,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186657,4296.82,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188250,4300.94,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186659,4323.84,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186656,4601.66,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186990,4636.98,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA187004,4674.11,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186662,4780.38,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186655,5152.44,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Trade Marks Directorate,LA International Computer Consultants Ltd,LA186999,5296.32,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188260,5367.60,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA188258,5471.16,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187002,5582.30,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186652,7783.20,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186663,7979.83,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,IT Contractors,Trade Marks Directorate,Web Usability Partnership Ltd,1324.00 ,8280.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,13/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA187001,9532.86,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA186654,10673.54,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,IT Contractors,Business Support Directorate,Capgemini UK Plc,26020080741846.00 ,12593.16,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,15/02/2012,IT Contractors,Trade Marks Directorate,Capgemini UK Plc,26020080742451.00 ,16002.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/02/2012,Mainframe System Charges,Business Support Directorate,Capgemini UK Plc,26020080741847.00 ,102364.49,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,14/02/2012,Beth Novak Project,Patents Directorate,New York Law School,I091911,36911.59,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/02/2012,Marketing and Publicity ,Innovation Directorate,Venturefest (York) Ltd,VFY2011-12-073,4.95,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,14/02/2012,Marketing and Publicity ,Innovation Directorate,Melville Exhibition Services,367226.00 ,37.62,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Marketing and Publicity ,Innovation Directorate,Spotlight Mid Wales,SMW12-007,350.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/02/2012,Marketing and Publicity ,Innovation Directorate,Yorkshire Business Market,BM12-013,496.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Marketing and Publicity ,Innovation Directorate,Jobserve Events Ltd,21395.00 ,750.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,15/02/2012,Marketing and Publicity ,Innovation Directorate,Ambroplastics Limited,74392.00 ,828.24,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,Marketing and Publicity ,Innovation Directorate,Delaware North Companies UK Hospitality Services Ltd,E05660,2602.68,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/02/2012,Aardman project,Innovation Directorate,Aardman Animations Ltd,24105.00 ,36000.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/02/2012,Law Reporting,Trade Marks Directorate,Marten Walsh Cherer Ltd,78043.00 ,837.40,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,Treasury Solicitors,Patents Directorate,Prof Alan Dashwood CBE QC,221506.00 ,2214.00,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,Treasury Solicitors,Business Support Directorate,Treasury Solicitors,116372.00 ,2371.50,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Treasury Solicitors,Trade Marks Directorate,Treasury Solicitors,116355.00 ,8998.46,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/02/2012,Treasury Solicitors,Patents Directorate,Treasury Solicitors,116355.00 ,15203.75,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/02/2012,BIS Solicitors,Finance Directorate,Department For Business Innovation & Skills,10034548.00 ,55416.66,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,27/02/2012,BIS Solicitors,Finance Directorate,Department For Business Innovation & Skills,10034820.00 ,55416.66,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,20/02/2012,Entertainment,Trade Marks Directorate,Personal expenses name witheld,50991.00 ,5.69,Not known
