Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,20/10/2015,Perpetual Licences,IT Directorate,Repairtech Ltd,H57720151022rdogqlfcy,111.16,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/10/2015,Perpetual Licences,IT Directorate,Freeparking.Co.Uk,H57720151009fnwdtqcop,32.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/10/2015,Network and infrastructure H/W,IT Directorate,Adobe Ps Creative Cld,H57720151029wjbrcrzrk,315.18,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/10/2015,Perpetual Licences,IT Directorate,Www.Redgate.Com,H57720151028cfoovqunm,1416.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/10/2015,Career Development Services,IT Directorate,Tesco-Stores 6225,H57720151027vcpwxgjdc,18.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/10/2015,Career Development Services,IT Directorate,Meetingzone Ltd,H57720151020pizrnxxrp,378.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/10/2015,Fixed Telecoms Equipment,IT Directorate,Livegroup.Co.Uk,H57720151015njttyfzec,538.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/10/2015,Perpetual Licences,IT Directorate,Livegroup.Co.Uk,H57720151015tswowhyvx,538.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2015,Perpetual Licences,IT Directorate,Www.Zen.Co.Uk,H57720151013sjkoczmrr,1.94,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2015,Software Maintenance,IT Directorate,Stardock Corporation,H57720151013wnjhcrcyh,6.75,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/10/2015,Software Maintenance,IT Directorate,Fsprg.Com Ncrunch.Com,H57720151009phgmyfugi,711.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/10/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720151028fjhyowbdc,5.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/10/2015,Software Maintenance,IT Directorate,Amazon UK Retail,H57720151028nhhlpxsrc,27.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720151021boifapcha,55.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2015,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720151013mdeqiiuoj,89.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/10/2015,Network and infrastructure H/W,IT Directorate,Amazon UK Marketplace,H57720151003xsdlqhmbd,107.63,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/10/2015,Network and infrastructure H/W,IT Directorate,Www.Mobilefun.Co.U,H57720151022lcgfjvnsn,35.21,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2015,Network and infrastructure H/W,IT Directorate,Ebuyer (UK) Ltd,H57720151022whaedsgub,116.54,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/10/2015,Network and infrastructure H/W,IT Directorate,Ebuyer (UK) Ltd,H57720151016qmzwuhqjd,-118.19,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/10/2015,Network and infrastructure H/W,IT Directorate,Apple Online Store Gbp,H57720151013rxsdnbxvf,148.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/10/2015,Network and infrastructure H/W,IT Directorate,Amazon UK Retail,H57720151007vkogqiqjn,16.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/10/2015,Perpetual Licences,IT Directorate,Ebuyer (UK) Ltd,H57720151006ikhroomug,243.25,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/09/2015,T&S O-seas excl EPOQUE,IT Directorate,Apple Store R393,H57720151002bbzvnwjxe,99.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/10/2015,Legal Consultancy,IT Directorate,Websitepulse.Com,H57720151006ghplzrpls,45.62,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/10/2015,Legal Consultancy,IT Directorate,Easyjet,H57720151029kpwegdmxi,247.58,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/10/2015,T&S UK,IT Directorate,Medius Cisco Mrktplace,H57720151006szlnrbxbv,74.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/10/2015,Fixed Telecoms Equipment,IT Directorate,Medius Cisco Mrktplace,H57720151006wsuubxqbk,74.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/09/2015,Career Development Services,IT Directorate,Yotel Heathrow,H57720151003myizlrlrq,75.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/10/2015,Career Development Services,IT Directorate,Amazon UK Retail,H57720151017evvnatmtp,34.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/10/2015,Career Development Services,IT Directorate,Airwatch UK Ltd,H57720151010uclhgkoyf,1363.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/10/2015,Career Development Services,IT Directorate,Paypal,H57720151030jjcnmpfml,298.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2015,Career Development Services,IT Directorate,Www.Unicom.Co.Uk,H57720151021pbszgiqbi,50.23,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/10/2015,Career Development Services,IT Directorate,Www.Unicom.Co.Uk,H57720151015upgontsdh,1019.88,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/10/2015,Career Development Services,IT Directorate,Paypal,H57720151006cadhpbeoj,624.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/10/2015,Books,IT Directorate,Paypal,H57720151027yunqkgpxj,658.51,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/10/2015,Perpetual Licences,IT Directorate,General Assembly,H57720151007nfoeuxqap,33.28,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/10/2015,Entertainment,IT Directorate,Amazon UK Retail,H57720151003hltbyoffe,31.19,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/10/2015,Steering Board,IT Directorate,Cloudflare,H57720151031jlxpbkitx,117.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2015,T&S O-seas excl EPOQUE,People Places & Serv Direct,W M Morrison Plc,H57720151021ttknrhqup,33.12,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/10/2015,T&S O-seas excl EPOQUE,People Places & Serv Direct,Amazon UK Retail,H57720151013mbcjyznvf,43.43,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/09/2015,T&S O-seas excl EPOQUE,People Places & Serv Direct,Swiss Intl.,H57720151002mkgmpbufl,11.48,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2015,Entertainment,People Places & Serv Direct,Hrg UK Inm165872044,H57720151023cjxtfumnk,6.41,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/10/2015,T&S UK,People Places & Serv Direct,Easyjet,H57720151021hngcgqthh,214.79,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/10/2015,T&S UK,Innovation Directorate,Marksandspencer.Co,H57720151008cinrwweim,223.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/10/2015,T&S UK,Innovation Directorate,Hrg UK Inm165869731,H57720151021lvvmijrrq,5.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/10/2015,T&S O-seas excl EPOQUE,Innovation Directorate,Easyjet,H57720151017ocdfvwxnl,62.81,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/10/2015,T&S O-seas excl EPOQUE,Innovation Directorate,Twitonomy.Com,H57720151009uktrharpr,12.89,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/10/2015,Advertising Distribution,Innovation Directorate,Hrg UK Inm165878953,H57720151031yeicdgumf,5.43,Not Applicable,
