Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,10/06/2015,Career Development Services,IT Directorate,Act*electa Enterprises,H57720150612dwwmsxsep,50.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/05/2015,Software Maintenance,IT Directorate,Browserstack.Com,H57720150602xcreacuhj,160.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/06/2015,Entertainment,IT Directorate,Home Bargains,H57720150616bsahjfpeo,17.26,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/06/2015,Entertainment,IT Directorate,Poundworld Retail,H57720150616gwbmfijry,29.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/06/2015,Entertainment,IT Directorate,B&m Retail Ltd,H57720150616qlwyofknn,17.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/06/2015,Entertainment,IT Directorate,"Amazon Svcs Europe,sar",H57720150612fveogjybg,6.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/06/2015,Entertainment,IT Directorate,"Amazon Svcs Europe,sar",H57720150611kwpuwgmcn,40.82,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/06/2015,Entertainment,IT Directorate,"Amazon Svcs Europe,sar",H57720150611shysysbyk,13.94,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/06/2015,Entertainment,IT Directorate,"Amazon Svcs Europe,sar",H57720150611twqwlywqy,20.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/06/2015,Fixed Telecoms Equipment,IT Directorate,Meetingzone Ltd,H57720150618cqqoigoqs,170.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/06/2015,Perpetual Licences (no further payments),IT Directorate,Altova Gmbh Xml Spy,H57720150616ltupagqhc,835.71,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/05/2015,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720150602dstfzhemn,31.07,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/06/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720150603ibifvxyjn,53.93,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/06/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720150603ksuwfhqmg,100.17,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/06/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720150603mvedxfluk,123.29,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/06/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720150603tnmrdtjiq,184.93,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/06/2015,Software Maintenance,IT Directorate,Amazon UK Marketplace,H57720150603xldwtnqud,162.32,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/06/2015,Network and infrastructure H/W,IT Directorate,"Amazon Svcs Europe,sar",H57720150620lspqnrrws,73.97,Not Applicable,
