Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,16/07/2015,Staff Costs,People Places & Services Directorate,Acorn Recruitment Ltd,APS02727,3001.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Miscellaneous Expenses General,Copyright and Enforcement Directorate,whiteBULLET Solutions Ltd,IPO/001/15,15000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,31/07/2015,Supporting UK Business,Copyright and Enforcement Directorate,Creative Content UK Partnership Ltd,1,378823.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,People Places & Services Directorate,HRG UK,634628318,2934.06,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,People Places & Services Directorate,HRG UK,634723021,644.71,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/07/2015,Travel & Subsistence,People Places & Services Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4021,28.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Cedric John & Son,39786,1920.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/07/2015,Accommodation,People Places & Services Directorate,Cedric John & Son,39851,1920.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/07/2015,Accommodation,People Places & Services Directorate,Corona Energy,10267454,661.61,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Accommodation,People Places & Services Directorate,Department For Business Innovation & Ski,6.1511E+11,95662.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/07/2015,Accommodation,People Places & Services Directorate,Mitie Facilities Services Ltd,100/91007097,2298.91,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Accommodation,People Places & Services Directorate,Mitie Facilities Services Ltd,100/91027030,7142.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030401,171801.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030434,171801.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030519,-143168.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030520,-143168.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Accommodation,People Places & Services Directorate,EDF ENERGY,7843210000-JUL15,27017.71,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/07/2015,Accommodation,People Places & Services Directorate,Rushar Ltd,13906,710.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Accommodation,People Places & Services Directorate,Acoustic Consultants Ltd,6501,840.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,Copyright and Enforcement Directorate,HRG UK,634634072,571.01,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/07/2015,Travel & Subsistence,Copyright and Enforcement Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4021,80.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Office Machinery,People Places & Services Directorate,Xerox (UK) Ltd,1064450813,1027.19,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Office Machinery,People Places & Services Directorate,Xerox (UK) Ltd,1604450812,1027.19,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Office Machinery,People Places & Services Directorate,Xerox (UK) Ltd,1604474040,8072.52,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Office Machinery,People Places & Services Directorate,Xerox (UK) Ltd,1604474041,9727.79,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Office Machinery,People Places & Services Directorate,Xerox (UK) Ltd,1604474042,3786.17,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Office Machinery,People Places & Services Directorate,Xerox (UK) Ltd,1604562650,2499.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Office Machinery,People Places & Services Directorate,Xerox (UK) Ltd,900133303,5811.30,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Office Machinery,People Places & Services Directorate,Xerox Finance,96916435,3543.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Office Machinery,People Places & Services Directorate,Xerox Finance,96925308,34243.73,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Office Machinery,People Places & Services Directorate,Xerox Finance,96945941,3543.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/07/2015,Office Machinery,People Places & Services Directorate,Siemens Financial Services Ltd,244/15/0218737,2266.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/07/2015,Travel & Subsistence,Innovation Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4021,100.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Information Technology,Innovation Directorate,European Patent Office,40243154,895.54,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Travel & Subsistence,Copyright and Enforcement Directorate,HRG UK,634749789,2771.96,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/07/2015,Travel & Subsistence,Copyright and Enforcement Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4021,57.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/07/2015,Legal & Hearings,Finance Directorate,Department For Business Innovation & Ski,6.1511E+11,166250.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/07/2015,Miscellaneous Expenses General,Finance Directorate,Specialist Computer Centres Plc,OP/M019783,1315.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/07/2015,Miscellaneous Expenses General,Finance Directorate,Specialist Computer Centres Plc,OP/M025236,3030.16,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/07/2015,Printing and Binding,Finance Directorate,Williams Lea Ltd,CHP-BIS-IPO15060,720.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/07/2015,Office Supplies,Finance Directorate,Antalis,4935099,744.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/07/2015,Office Supplies,Finance Directorate,Antalis,5004216,1949.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030401,62242.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030401,192435.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030434,254678.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030519,-212231.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030520,-25625.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/07/2015,Accommodation,People Places & Services Directorate,Office for National Statistics,1030520,-186606.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/07/2015,Staff Costs,People Places & Services Directorate,Capita Business Services  Ltd,X75083,3502.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/07/2015,Staff Costs,People Places & Services Directorate,ChangeQuest Ltd,608,4020.00,Not Applicable,
