Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,T&S O-seas excl EPOQUE,International Policy Directorate,Kwatlano Tours Saf,H57720160521gzgqmjyid,-143.72,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/05/2016,T&S O-seas excl EPOQUE,International Policy Directorate,Kwathlano Tours Mother Ci,H57720160513yrqtfeoqt,181.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/05/2016,T&S O-seas excl EPOQUE,International Policy Directorate,Kwathlano Tours Mother Ci,H57720160510oxfgpypkn,183.88,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/05/2016,Software Maintenance,IT Directorate,Browserstack.Com,H57720160601punrflybm,167.62,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,30/04/2016,Software Maintenance,IT Directorate,Browserstack.Com,H57720160505wenrtmdho,168.53,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/05/2016,Books,IT Directorate,Amazon UK Retail,H57720160507qdsbqqack,27.56,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/05/2016,Perpetual Licences,IT Directorate,Paypal,H57720160528lssbwolob,113.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/05/2016,Perpetual Licences,IT Directorate,Atlassian,H57720160531gshsihojm,1760.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/05/2016,Perpetual Licences,IT Directorate,Jetbrains,H57720160531urqyvogww,1579.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/05/2016,IP Masterclass,Innovation Directorate,Subway,H57720160511vilrmksnf,155.70,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/05/2016,Fixed Telecoms Equipment,People Places & Serv Direct,Rentals From 02,H57720160507noodgturz,170.93,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/05/2016,Other,People Places & Serv Direct,Paypal,H57720160527jwbkdscol,12.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/05/2016,Entertainment,People Places & Serv Direct,Amazon UK Marketplace,H57720160507ihhlxbbla,52.49,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,25/05/2016,Entertainment,People Places & Serv Direct,Sainsburys Superma,H57720160527lpyqpvfsc,8.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,Entertainment,People Places & Serv Direct,Sainsburys S/mkts,H57720160520mmfgftner,1.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/05/2016,Entertainment,People Places & Serv Direct,Marksandspencer.Co,H57720160513fxiakpqjs,59.79,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/05/2016,Other,People Places & Serv Direct,Asda Superstore 4928,H57720160507viixiqnog,114.36,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/05/2016,Advertising Distribution,Innovation Directorate,Tesco Store 2931,H57720160506wxzwyenjw,50.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/05/2016,Office Stationery,Finance Directorate,Buyabattery Co Uk,H57720160528osroqugth,12.75,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/05/2016,Career Development Services,Finance Directorate,Www.Cips.Org,H57720160525vuuttdgke,97.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,Office Stationery,Finance Directorate,Amazon UK Retail,H57720160520mipwkkeni,7.30,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160520autihcamn,319.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160520ortfqydxa,283.59,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160519wxwntupug,973.55,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160518udohewmar,515.16,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2016,Office Stationery,Finance Directorate,Www.Toner-Ink-Cartridg,H57720160517pdtigtkka,48.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2016,Career Development Services,IT Directorate,Cresta Group Ltd,H57720160517vhkykkmxb,4280.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/05/2016,Inta Community VAT,Trade Mark Directorate,Cresta Group Ltd,H57720160517vhkykkmxb,856.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160514cxhwitjwx,861.08,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160514rifakbgsy,80.62,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160512twxpfhbkp,303.35,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160506kftbcmvnu,272.42,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/05/2016,Office Stationery,Finance Directorate,Xma Ltd,H57720160506xejqcdwun,319.92,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/05/2016,Books,Innovation Directorate,Facebook V74dj9wys2,H57720160531rmalciriv,20.12,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/05/2016,Books,Innovation Directorate,Twitter*advertising,H57720160531spxomhrvo,35.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/05/2016,Books,Innovation Directorate,Facebook 5qhxj9edk2,H57720160531ywydkdvxr,20.14,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/05/2016,Books,Innovation Directorate,Amazon UK Retail,H57720160528ejesypohb,44.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/05/2016,Entertainment,Innovation Directorate,Www.Oxford-Flowers.Com,H57720160525vojbdznrk,66.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,01/05/2016,Career Development Services,People Places & Serv Direct,Bls*prezi Inc,H57720160505bfpqtwxcx,8.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/05/2016,Perpetual Licences,IT Directorate,Wavecrest Computing In,H57720160520ocqkzpbtx,2554.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/05/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160518enycfggsh,31.50,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/05/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160518kplpcoigw,187.91,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/05/2016,Fixed Telecoms Equipment,IT Directorate,Rentals From 02,H57720160518kwowghykl,146.53,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/05/2016,Perpetual Licences,IT Directorate,Meetingzone Ltd,H57720160518rdhelcnph,335.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/05/2016,Network and infrastructure H/W,People Places & Serv Direct,Timpson Ltd,H57720160517roguqvpyt,6.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160528ibisexuql,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160528ixijbrtms,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160526hyicokclx,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160526nfexothbh,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160526yejqplqdd,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160521ddbdvisnc,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160521ztrsftnkx,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160520vhvibwolb,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160520jeytypqit,-25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160520rvkosxsqs,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160519mlnyaeduo,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160519mmptnlwxk,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160519pvmmtnkgm,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/05/2016,Placement Fees,People Places & Serv Direct,Disclosure Scot,H57720160519qcwujsttd,25.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/05/2016,Office Stationery,Finance Directorate,Bhma Ltd,H57720160505vubnkxclc,66.90,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/05/2016,Seminars and Confereces,Copyright and Enforcement Directorate,4imprint,H57720160519uvdtemgnm,231.54,Not Applicable,
