Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2016,Perpetual Licences,IT Directorate,J2,H57720160412uytllxlxc,24.97,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/04/2016,Perpetual Licences,IT Directorate,Liquid 11 Ltd,H57720160408dirfituis,17.95,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/04/2016,Entertainment,International Policy Directorate,Paypal,H57720160414ruxbmppyg,5.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/04/2016,Entertainment,International Policy Directorate,Www.Royalmint.Com,H57720160409gjhignktj,40.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/04/2016,T&S O-seas excl EPOQUE,International Policy Directorate,Kwatlano Tours Saf,H57720160409teilbtnyd,483.15,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/04/2016,Entertainment,IT Directorate,Marks&spencer Plc,H57720160416fmpbykrjx,66.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2016,Books,IT Directorate,British Standards,H57720160406poykvfuhv,229.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2016,Network and infrastructure H/W,IT Directorate,Www.Displaywizard.Co.U,H57720160406dtgshaysr,85.19,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2016,Network and infrastructure H/W,IT Directorate,Paypal,H57720160406srnkmrbdy,183.45,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/04/2016, 2 Minute Smile,People Places & Serv Direct,Amazon UK Retail,H57720160429jxyiyucfx,40.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/04/2016,Other,People Places & Serv Direct,Www.Ruthwhiteyogaproduct,H57720160409jupaxadvj,256.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/04/2016,Entertainment,People Places & Serv Direct,Sainsburys Superma,H57720160420cloxnvgmt,15.55,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/04/2016,Entertainment,People Places & Serv Direct,Tesco Store 2931,H57720160407khqmurtuf,18.73,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/04/2016,Entertainment,IT Directorate,Marks&spencer Plc,H57720160413cocsrrijx,77.10,Not Applicable,
