Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Supporting UK Business,Copyright and Enforcement Directorate,Creative Content UK Partnership Ltd,1,378823.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Staff Costs,People Places & Services Directorate,"Face 2 Face Psychotherapy, Training and",3,400.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Marketing & Publicity,Innovation Directorate,Jigsaw (PMS) Ltd,31,42.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/08/2015,Marketing & Publicity,Innovation Directorate,DAN ANTHONY PRESENTATIONS LTD,117,4000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/08/2015,Marketing & Publicity,Innovation Directorate,GM Business Support Ltd,330,600.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/08/2015,Staff Costs,People Places & Services Directorate,ChangeQuest Ltd,609,3108.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Agency Staff,Projects,Accountancy Recruitment Wales,1777,575.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/08/2015,Agency Staff,Projects,Accountancy Recruitment Wales,1778,628.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/08/2015,Agency Staff,Projects,Accountancy Recruitment Wales,1784,575.64,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/08/2015,Marketing & Publicity,Innovation Directorate,SGA Productions Ltd,2018,2158.44,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,13/08/2015,Information Technology,IT Directorate,Capax Discovery,2241,4392.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/08/2015,Supporting UK Business,Innovation Directorate,3volution LLP,2733,2600.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/08/2015,Supporting UK Business,Innovation Directorate,Ancient Hume Ltd,3248,3000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/08/2015,Information Technology,Innovation Directorate,Sedao Ltd,3834,910.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,People Places & Services Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,15.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,03/08/2015,Travel & Subsistence,People Places & Services Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4203,21.60,Not Applicable,
