Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Salaries - Secondees (Programme),EMI - OND,PINSENT MASONS LLP,4027609,"4,125.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Aug-2011,Capital Grants to Private Sector - Own Asset Creation,EMI - ORED,AEA TECHNOLOGY plc,4027610,"37,575.89"
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Aug-2011,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4027613,"1,938.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Aug-2011,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4027614,"2,385.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Aug-2011,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,IRON MOUNTAIN (UK) LTD,4027615,"196,753.38"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Aug-2011,Capital Grants to Private Sector - Own Asset Creation,EMI - ORED,AEA TECHNOLOGY plc,4027621,"58,051.13"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),Private Office - Private Office,Reed Personnel Services Ltd,4027622,545.62
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Professional Subscriptions,EMI - Energy Strategy & Futures/Electricity Market Reform,BLOOMBERG FINANCE L.P.,4027623,"4,914.75"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Aug-2011,Car Hire and Leasing,ICCEE - International Climate Change,GOVERNMENT CAR AND DESPATCH AGENCY,4027624,591.62
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Aug-2011,Other Staff Costs,Operations - HR,CYCLESCHEME LTD,4027627,"4,504.24"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Aug-2011,Outsourced Programme Management Services,ICCEE - Fuel Poverty & Smart Meters,EVOLVE BUSINESS CONSULTANCY LTD,4027628,"13,495.68"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Aug-2011,Outsourced Programme Management Services,ICCEE - Fuel Poverty & Smart Meters,EVOLVE BUSINESS CONSULTANCY LTD,4027629,"25,854.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Aug-2011,Child Care,Operations - HR,CHILDCARE VOUCHERS LTD (EDENRED),4027632,"21,759.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027641,609.29
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Aug-2011,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027642,609.29
