Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015193,"£2,783",310
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014795,"£2,781",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014795,"£2,781",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014799,"£2,781",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4014800,"£2,781",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4015058,"£2,775",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,29/06/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4015267,"£2,757",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4014429,"£2,750",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4014626,"£2,750",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4014936,"£2,681",136546
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4014936,"£2,609",136546
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4015056,"£2,606",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4014645,"£2,605",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4015228,"£2,585",29401
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4014519,"£2,537",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Other Media Costs,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CENTRAL OFFICE OF INFORMATION [COI],4015008,"£2,500",100711
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015193,"£2,499",310
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4015010,"£2,475",13467
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4015010,"£2,475",13467
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4015013,"£2,475",13467
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4014910,"£2,469",24160
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4014935,"£2,466",136546
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014691,"£2,403",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Public Relations and Marketing,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,XCHANGETEAM GROUP LTD,4014386,"£2,381",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Public Relations and Marketing,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,XCHANGETEAM GROUP LTD,4014761,"£2,381",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Interpreters,Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4015107,"£2,374",101572
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Entertaining UK (Programme),Energy Markets & Infrastructure - Energy Development Unit,CARMELITE ABERDEEN LTD,4014655,"£2,331",25593
Department For Energy and Climate Change,Department For Energy and Climate Change,14/06/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014886,"£2,290",15558
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014428,"£2,278",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,14/06/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014886,"£2,241",15558
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4015025,"£2,213",164381
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4014828,"£2,200",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,25/06/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ADECCO UK LTD,4015280,"£2,189",100038
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4014808,"£2,176",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,External Training,Energy & Climate Change International - International Energy & Carbon Budgets,NATIONAL SCHOOL OF GOVERNMENT,4014734,"£2,170",140925
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4015017,"£2,158",106247
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4014810,"£2,099",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4014518,"£2,097",16650
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4014628,"£2,097",16650
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4014978,"£2,068",29401
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Minor Works,Corporate Support & Shared Services - Corporate Support & Shared Services,BTE SYSTEMS LTD,4014894,"£1,982",37177
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4014696,"£1,959",31762
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,BRM SOLICITORS,4015237,"£1,943",12341
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4015060,"£1,939",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4015060,"£1,939",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,29/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4015268,"£1,939",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Board Members Tax Deductions (Suspense Account),Corporate Payments,ZZZZINLAND REVENUE,999254,"£1,938",121788
Department For Energy and Climate Change,Department For Energy and Climate Change,07/06/2010,Conference and Exhibition Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SODEXO PRESTIGE LTD,4014664,"£1,876",136959
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Hire of Conference Facilities (Programme),Energy Markets & Infrastructure - Energy Development Unit,URQUHART PARTNERSHIP LTD,4015162,"£1,824",140779
Department For Energy and Climate Change,Department For Energy and Climate Change,03/06/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4014561,"£1,800",151099
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4014976,"£1,800",151099
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Air Fares Overseas,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,BAA BUSINESS SUPPORT CENTRE LTD,4015095,"£1,800",145068
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Air Fares Overseas,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,BAA BUSINESS SUPPORT CENTRE LTD,4015095,"£1,800",145068
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Air Fares Overseas,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,BAA BUSINESS SUPPORT CENTRE LTD,4015092,"£1,800",145068
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4015232,"£1,800",151099
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014367,"£1,786",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Payments,ZZZZINLAND REVENUE,999255,"£1,785",121788
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014767,"£1,748",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014767,"£1,748",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,HAYS PLC,4014843,"£1,742",29893
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015193,"£1,673",310
Department For Energy and Climate Change,Department For Energy and Climate Change,25/06/2010,External Training,Energy Markets & Infrastructure - Energy Development Unit,NATIONAL SCHOOL OF GOVERNMENT,4015287,"£1,655",140925
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4014974,"£1,620",100063
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4015184,"£1,620",151099
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015193,"£1,617",310
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014612,"£1,608",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4015147,"£1,608",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4015158,"£1,608",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4015245,"£1,608",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Minor Works,Corporate Support & Shared Services - Corporate Support & Shared Services,BTE SYSTEMS LTD,4014895,"£1,603",37177
Department For Energy and Climate Change,Department For Energy and Climate Change,25/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4015291,"£1,592",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Printing,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PROMOTIONAL LOGISTICS LTD,4014787,"£1,576",130128
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014613,"£1,574",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014768,"£1,574",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4015161,"£1,574",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Air Fares Overseas,Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4014842,"£1,555",101572
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4014809,"£1,553",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,External Training,Science & Innovation Group - Science & Innovation Group,ILX GROUP PLC,4015204,"£1,550",14903
Department For Energy and Climate Change,Department For Energy and Climate Change,14/06/2010,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014886,"£1,523",15558
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF READING,4015215,"£1,507",104030
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,PIELLE & COMPANY LTDT/A PIELLE CONSULTING GROUP,4014735,"£1,500",37299
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,External Training,Energy Markets & Infrastructure - Energy Development Unit,GOVNET COMMUNICATIONS,4015227,"£1,500",8679
Department For Energy and Climate Change,Department For Energy and Climate Change,14/06/2010,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014886,"£1,490",15558
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,External Training,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,WILDFOWL AND WETLANDS TRUST (TRADING) LTD,4014611,"£1,476",4183
Department For Energy and Climate Change,Department For Energy and Climate Change,28/06/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,MWB BUSINESS EXCHANGE CENTRES LTD,4015297,"£1,475",136954
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4014673,"£1,446",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4013887,"£1,440",151099
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,DOCTOR JOHN MOORE-GILLON,4014797,"£1,423",148161
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Hire of Conference Facilities,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4015100,"£1,421",31747
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014765,"£1,418",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,JUDD FARRIS LTD,4014535,"£1,394",32753
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,JUDD FARRIS LTD,4015151,"£1,394",32753
Department For Energy and Climate Change,Department For Energy and Climate Change,30/06/2010,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,JUDD FARRIS LTD,4015361,"£1,394",32753
Department For Energy and Climate Change,Department For Energy and Climate Change,10/06/2010,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,JUDD FARRIS LTD,4014653,"£1,394",32753
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4014918,"£1,356",100038
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4015059,"£1,351",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Accounting Services,Corporate Support & Shared Services - Corporate Support & Shared Services,RUSSAM GMS LTD,4014744,"£1,350",151099
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,999321,"£1,331",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,28/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4015296,"£1,322",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015074,"£1,318",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4014649,"£1,301",100038
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT,4015148,"£1,295",140925
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014720,"£1,286",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4014780,"£1,285",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4015145,"£1,259",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4014829,"£1,258",16650
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4015219,"£1,250",23810
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014615,"£1,221",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,14/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014853,"£1,221",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,999319,"£1,221",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Others UK T&S (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014738,"£1,205",15558
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING,4014945,"£1,194",153138
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,LONDON SCHOOL OF ECONOMICS,4014932,"£1,188",116934
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,Office Supplies,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GE CAPITAL EQUIPMENT FINANCE LTD,4014514,"£1,173",116217
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,Office Supplies,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GE CAPITAL EQUIPMENT FINANCE LTD,4014514,"£1,173",116217
Department For Energy and Climate Change,Department For Energy and Climate Change,07/06/2010,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4014660,"£1,170",26095
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014625,"£1,163",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,15/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014826,"£1,163",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4013818,"£1,152",101572
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4015218,"£1,125",23810
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4015220,"£1,125",23810
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4014650,"£1,118",157019
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015046,"£1,115",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014827,"£1,081",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,29/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4015269,"£1,081",11666
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Other Office Service Costs,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,PROMOTIONAL LOGISTICS LTD,4014013,"£1,076",130128
Department For Energy and Climate Change,Department For Energy and Climate Change,29/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4015338,"£1,074",105278
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,MANPOWER UK LTD,4015196,"£1,067",100682
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Catering Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BAXTERSTOREY LTD,4014400,"£1,065",100829
Department For Energy and Climate Change,Department For Energy and Climate Change,21/06/2010,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,JUDD FARRIS LTD,4014911,"£1,063",32753
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,ORGANISATION FOR THE PROHIBITION OF CHEMICAL WEAPONS OPCW,4014940,"£1,063",127769
Department For Energy and Climate Change,Department For Energy and Climate Change,30/06/2010,Furniture (Programme),Energy Markets & Infrastructure - Energy Development Unit,COFELY LTD,4015377,"£1,048",148084
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Rates (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,MANCHESTER CITY COUNCIL,4015029,"£1,013",156010
Department For Energy and Climate Change,Department For Energy and Climate Change,28/06/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4015217,"£1,013",23810
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015193,"£1,011",310
