Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BRICK COURT CHAMBERS,4014977,"£11,554",23910
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4015025,"£11,318",164381
Department For Energy and Climate Change,Department For Energy and Climate Change,14/06/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,GREEN PARK INTERIM & EXECUTIVE LTD,4014822,"£11,163",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014118,"£10,975",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,16/06/2010,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4014893,"£10,923",119013
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Press Cutting Services,National Climate Change & Consumer Support - Communications,ENERGY DATA SERVICES LTD T/A PRECISE,4014741,"£10,886",101754
Department For Energy and Climate Change,Department For Energy and Climate Change,08/06/2010,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4014631,"£10,575",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4015025,"£10,514",164381
Department For Energy and Climate Change,Department For Energy and Climate Change,04/06/2010,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4014621,"£10,493",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,23/06/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015193,"£10,464",310
Department For Energy and Climate Change,Department For Energy and Climate Change,17/06/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,NATURAL ENVIRONMENT RESEARCH COUNCIL,4014947,"£10,451",123635
Department For Energy and Climate Change,Department For Energy and Climate Change,24/06/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4015257,"£10,000",1526
Department For Energy and Climate Change,Department For Energy and Climate Change,18/06/2010,Net Pay Correction,DECC Central Budgets - DECC Central Budgets,DEFRA,4015053,"£9,820",162850
Department For Energy and Climate Change,Department For Energy and Climate Change,11/06/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,METHODS CONSULTING LTD,4014820,"£9,623",145426
