Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4013955, £741 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4013971, £678 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4013971, £678 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4013960," £37,854 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4013741," £1,351 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4013741," £1,351 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,External Training,International Energy & Climate Change - International Climate Change Negotiations,IDENK LTD,4014008," £5,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,External Training,International Energy & Climate Change - International Climate Change Negotiations,IDENK LTD,4014008," £1,294 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,IC CONSULTANTS LTD,4013863," £9,259 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,IBM UNITED KINGDOM LTD,4013962," £3,337 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,IBM UNITED KINGDOM LTD,4013964," £3,337 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,IBM UNITED KINGDOM LTD,4013962," £3,266 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Hotels Overseas,International Energy & Climate Change - International Climate Change Negotiations,HOTEL FIRA PALACE,4013848," £17,793 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Technical Advice,Energy Markets & Infrastructure - Security and resilience,HEALTH & SAFETY EXECUTIVE,4013764," £15,321 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Other Overseas T&S (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,FOREIGN AND COMMONWEALTH OFFICE (FCO),4013171," £3,315 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4013166," £1,121 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Media Services,National Climate Change & Consumer Support - Communications,ENERGY DATA SERVICES LTD T/A PRECISE,4013933," £8,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DUNDAS & WILSON LLP,4013958," £3,232 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013983," £1,781,590 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4013984," £5,614 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Conference and Exhibition Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,DIGBY TROUT RESTAURANTS LTD,4013972," £1,386 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Publications,National Climate Change & Consumer Support - National Climate Change,DEFRA,4013698," £10,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,External Legal Advice,National Climate Change & Consumer Support - Communications,BRICK COURT CHAMBERS,4013944, £810 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,GPC New Procedures,Corporate Payments,BARCLAYS BANK PLC,4014018," £86,827 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014012," £30,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - DECC Commercial Team,WRIGHT ENERGY SOLUTIONS LTD,4014022," £22,114 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4014010," £11,921 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013889," £9,396,600 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Grants - Statutory - Current - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013889," £4,803,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Administration of Grants and Awards,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013889," £1,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013889," £825,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013889," £175,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4013889," £175,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Purchase of Completed Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SUSTAINABLE DEVELOPMENT COMMISSION LTD,4014036," £39,936 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,STERIA LTD,4013820," £4,662 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013941, £643 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013940, £627 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013974, £592 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013946, £534 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4014055," £170,892 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4014050," £89,470 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4014057," £31,105 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4014051," £13,811 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4014050," £6,097 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4014052, £881 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014025," £1,081 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,MANPOWER UK LTD,4014042, £650 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,External Legal Advice,International Energy & Climate Change - International Energy & Carbon Budgets,LINKLATERS LLP,4014023," £7,135 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Technical Advice / Services & Support,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ITV BROADCASTING LTD,4013970," £1,163 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4013923," £11,045 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014058," £15,892 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014031," £8,063 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4014032," £2,933 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014048," £384,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014047," £126,850 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/05/2010,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4014017," £28,994 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Losses and Compensation (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,WARD HADAWAY SOLICITORS,4014001," £45,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Losses and Compensation (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,WARD HADAWAY SOLICITORS,4014001," £45,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Honoraria / Fees and Expenses,Corporate Support & Shared Services - Corporate Support & Shared Services,STONECOURT CONSULTING LTD,4013985," £16,830 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,PROMOTIONAL LOGISTICS LTD,4014011," £3,414 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4014070," £13,241 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Business Management Advice,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4014070," £12,058 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4014070," £4,126 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4014070, £830 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013975, £581 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4014054," £1,394,744 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4014053," £378,318 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,External Training,International Energy & Climate Change - International Climate Change Negotiations,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4014079," £2,850 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,MARKETFORCE COMMUNICATIONS LTD,4014082," £1,287 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,JUDD FARRIS LTD,4014086," £1,121 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Conference and Exhibition Services (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,HAWKSMERE LTD T/A RTPI CONFERENCES,4014078," £3,525 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Hotels Overseas,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),993282, £891 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Financial Scrutiny,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ERNST & YOUNG LLP,4014067," £48,894 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Financial Scrutiny,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ERNST & YOUNG LLP,4014067," £48,894 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Financial Scrutiny,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ERNST & YOUNG LLP,4014068," £23,123 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Hire of Conference Facilities,International Energy & Climate Change - International Climate Change Negotiations,CENTRAL HALL WESTMINSTER LTD,4014080," £2,115 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Catering Services,International Energy & Climate Change - International Climate Change Negotiations,CENTRAL HALL WESTMINSTER LTD,4014080, £927 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4014065," £145,655 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4014066," £1,288 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,AMAZE UTILITY SOLUTIONS LTD,4013986, £881 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,AMAZE UTILITY SOLUTIONS LTD,4013986, £881 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,AMAZE UTILITY SOLUTIONS LTD,4013986, £863 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,AMAZE UTILITY SOLUTIONS LTD,4013986, £863 
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4013283," £38,399 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4013784, £565 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Sponsorship Support,Energy Markets & Infrastructure - Energy Development Unit,THE SCOTTISH COUNCIL FOR DEVELOPMENT & INDUSTRY,4014096," £11,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4014072," £9,110,164 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,REGEN SW,4014123," £7,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Training & Skills - Consultancy Advice,National Climate Change & Consumer Support - Energy Efficiency & Consumers,PRAESTA PARTNERS LLP,4014109," £8,550 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Corporate Management Consultancy,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OSPREY CONSULTING SERVICES LTD,4014136," £4,030 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4014092, £874 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4014106, £716 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013981, £627 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013981, £627 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4014091, £571 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013601, £542 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4013601, £542 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NATS (EN-ROUTE) PLC,4014135," £300,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NATS (EN-ROUTE) PLC,4014135," £300,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NATS (EN-ROUTE) PLC,4014135," £10,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NATS (EN-ROUTE) PLC,4014135," £10,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Other HR Consultancy,DECC Central Budgets - DECC Central Budgets,MORGAN LAW RECRUITMENT CONSULTANCY,4014027," £2,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4014073," £1,678 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4013919," £17,184 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Standard Desktop Plus Service (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4014115," £2,501 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Computer Equipment,Energy Markets & Infrastructure - EMI Director General,FUJITSU SERVICES LTD,4012586," £1,579 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,DAVID ROWLAND T/A DAVID ROWLANDS TRAINING & DEVELOPMENT,4013538," £1,754 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,CAPITA RESOURCING LTD,4014029," £1,145 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014126," £86,399 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4014003, £741 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4014003, £725 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,BROOK STREET (UK) LTD,4014004, £717 
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4014139," £6,615 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014117," £85,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Capital Grants to Local Authorities - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4013776," £31,098 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4013774," £15,304 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4013778," £9,244 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4014120," £3,543 "
Department of Energy and Climate Change,Department of Energy and Climate Change,18/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4014075, £617 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Board Members Tax Deductions (Suspense Account),Corporate Payments,ZZZZINLAND REVENUE,4014170," £5,275 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Payments,ZZZZINLAND REVENUE,4014171," £3,566 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Other Overseas T&S (Programme),International Energy & Climate Change - International Energy & Carbon Budgets,UNIVERSITY OF SUSSEX,4014153," £1,499 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4014165," £2,414,400 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4014165," £1,428,400 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Copyright Fees,Corporate Support & Shared Services - Corporate Support & Shared Services,THE COPYRIGHT LICENSING AGENCY LTD,4014154," £20,968 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4014148," £1,565 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Publications (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PROMOTIONAL LOGISTICS LTD,4014040, £866 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4014028," £1,822 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Hire of Conference Facilities,Corporate Support & Shared Services - Corporate Support & Shared Services,LONDON BOROUGH OF BARKING & DAGENHAM,4014131, £623 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Publications,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,JONES YARRELL LEADENHALL,4013145, £880 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Publications,National Climate Change & Consumer Support - Communications,JONES YARRELL LEADENHALL,4013145, £880 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,GREEN PARK INTERIM & EXECUTIVE LTD,4014143," £11,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4014156," £21,309 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4014116," £6,790 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4014113, £693 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Internal Training,National Climate Change & Consumer Support - Communications,COMPLETE LEADERSHIP LTD,4014133, £715 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Guarding and Security Services,Corporate Support & Shared Services - Corporate Support & Shared Services,CESG,4014162," £4,600 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/05/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4014160," £49,233 "
