Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC CONSULTING PLC,4029171,"25,671.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,11-Oct-2011,Other Accommodation Charges,Operations - Finance and Procurement,APPLEYARDS LTD,4028848,"1,250.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Capital Grants - Other,EMI - ORED,ARTEMIS INTELLIGENT POWER LTD,4029374,"82,963.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,External Training,Operations - HR,ASPIRE EUROPE LTD,4029070,"1,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Outsourced Programme Management Services,Operations - Nuclear Decommissioning & Security,ATKINS LTD,1036664,"10,851.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,25-Oct-2011,Economic Consultancy and Research,EMI - OND,ATKINS LTD,4029318,"5,944.40"
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Hire of IT Equipment (Programme),EMI - Energy Development,AVC CREATIVE LTD,4029063,"5,602.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Hire of IT Equipment (Programme),EMI - Energy Development,AVC CREATIVE LTD,4029067,"22,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Hire of IT Equipment (Programme),EMI - Energy Development,AVC MEDIA ENTERPRISES LTD,4029062,"4,345.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4029052,"7,784.21"
