,,,,,,,Annex A
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Other IT Costs,National Climate Change & Consumer Support - Communications,ACTICA CONSULTING LTD,4025687,"24,112.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4025688,"18,850.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4025690,"11,780.57 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4025690,"269,629.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4025692,"300,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Public Relations & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4025694,"9,466.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NATIONAL ENERGY ACTION (NEA),4025695,"66,839.69 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NATIONAL ENERGY ACTION (NEA),4025695,"219,318.03 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025697,"11,836.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025698,"16,200.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025699,"1,950.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025700,"23,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025701,"5,635.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025702,"20,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4025703,"8,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,DELOITTE LLP,4025704,"21,295.68 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4025705,"4,783.59 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4025706,"21,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ELEMENT ENERGY LTD,4025707,"17,241.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4025708,808.55 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4025710,694.67 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4025713,711.76 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4025714,677.59 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4025715,506.77 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025721,518.24 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025722,641.63 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4025724,725.86 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025725,637.51 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4025726,595.20 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4025727,896.54 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025728,645.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4025730,858.53 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4025731,526.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025732,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025734,600.50 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4025735,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4025736,770.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025737,625.18 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4025738,749.95 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4025740,588.16 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4025741,919.30 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4025744,"14,820.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4025746,"2,353.82 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4025747,765.85 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4025748,585.36 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4025749,596.16 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/06/2011 ,Recruitment Consultancy Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4025753,"1,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,External Training,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,BIRKBECK COLLEGE,4025760,525.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4025762,"3,722.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4025765,"2,880.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Technical Advice / Services & Support,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4025767,"37,603.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4025769,"5,059.05 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4025770,"11,921.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hotels,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CH & CO CATERING LTD,4025771,"1,454.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Media Services,National Climate Change & Consumer Support - Communications,PRECISE MEDIA MONITORING LTD,4025772,"5,364.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Grant in Aid - Current -Other,National Climate Change & Consumer Support - National Climate Change,THE COMMITTEE ON CLIMATE CHANGE,4025774,"587,697.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,20/06/2011 ,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4025779,"15,625.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4025781,"171,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4025782,591.08 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025784,707.04 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025785,707.04 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4025788,"333,856.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4025789,"118,804.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/06/2011 ,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR EDUCATION,4025790,763.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4025794,"1,547,160.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4025794,"4,159,797.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4025796,"74,488.74 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4025797,"13,977.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4025798,"1,026.43 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4025799,967.37 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MITSUBISHI POWER SYSTEMS EUROPE LTD,4025801,"115,497.90 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Admin Grant to Energy Saving Trust,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4025803,"188,866.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,17/06/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4025803,"1,272,194.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4025804,"7,770.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ELEMENT ENERGY LTD,4025805,"4,310.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Mobile Phones,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4025806,"44,293.99 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Mobile Phones,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4025806,"4,970.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Mobile Phones,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4025807,"5,614.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4025808,"1,176.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,Finance & Accounting Advice,Corporate Support & Shared Services - Corporate Support & Shared Services,RPMI LTD,4025809,"1,290.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4025810,"1,215.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,DECC Only  - Shared Services - Accommodation,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4025812,"1,656,653.82 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4025814,752.49 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,DECC Only  - Shared Services - IT Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4025815,"2,885.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/06/2011 ,DECC Only  - Shared Services - Accommodation,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4025816,"2,259.38 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Media Services,National Climate Change & Consumer Support - Communications,GOVDELIVERY INC,4025817,"9,780.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4025818,"12,419.04 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4025820,"6,750,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4025820,"6,750,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4025820,"750,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4025820,"750,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4025821,"628,466.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4025822,705.86 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Publicity Facilities,Energy & Climate Change International - International Energy & Carbon Budgets,PERA INNOVATION LTD,4025824,500.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,POYRY MANAGEMENT CONSULTING (UK) LTD,4025826,"22,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,External Training (Programme),Energy Markets & Infrastructure - Energy Development Unit,PETROFAC TRAINING LTD,4025829,661.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,RISKWIZE LTD T/A ESSENTIALSKILLZ,4025830,"6,750.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,RISKWIZE LTD T/A ESSENTIALSKILLZ,4025831,"1,250.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,RISKWIZE LTD T/A ESSENTIALSKILLZ,4025831,"2,750.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TEES ALLIANCE GROUP LTD,4025833,"61,515.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4025835,522.42 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4025836,728.59 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,POYRY MANAGEMENT CONSULTING (UK) LTD,4025837,"31,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Service Charges,Corporate Support & Shared Services - Corporate Support & Shared Services,DAVIS LANGDON LLP,4025839,"1,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,CAPITA SYMONDS LTD,4025842,"20,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Estates Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,CAPITA SYMONDS LTD,4025842,"2,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Other IT Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,INSIGHT DIRECT (UK) LTD,4025843,"4,437.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025844,532.50 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4025845,532.70 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Security and resilience,ATKINS LTD,4025846,872.90 
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4025847,"117,814.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4025848,974.05 
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4025850,"10,396.58 "
Department of Energy and Climate Change,Department of Energy and Climate Change,16/06/2011 ,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4025850,"2,930.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - Security and resilience,CIVIL NUCLEAR CONSTABULARY,4025855,"40,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Technical Advice / Services & Support,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4025856,"2,310.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4025857,"300,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,Other Media Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4025858,"5,670.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,COI COMMUNICATIONS,4025859,"3,204.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,10/06/2011 ,IT Services (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4025860,"20,451.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Local IT Consultancy,National Climate Change & Consumer Support - Communications,GETTY IMAGES INTERNATIONAL LTD,4025861,"4,497.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MILLER & YOUNG UK LTD T/A MYFM,4025864,"7,446.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,BARDIS SEABURY,4025865,"1,686.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,GREEN PARK INTERIM & EXECUTIVE LTD,4025867,"26,910.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Entertaining UK,Energy & Climate Change International - International Energy & Carbon Budgets,MACKINTOSH CATERING LTD,4025869,830.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4025871,"412,139.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4025872,"267,716.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025874,"7,721.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4025875,"12,122.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/06/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4025876,"19,734.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Chemical Weapons Convention Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4025878,"1,185.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/06/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PARITY RESOURCES LTD,4025879,"4,995.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Government Procurement Card New Procedures,Corporate Payments,BARCLAYS BANK PLC,4025881,"37,150.47 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/06/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4025882,"9,000.00 "
