Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4015285,"£14,652,918",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4016369,"£9,692,000",26095
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4016369,"£9,692,000",26095
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016911,"£4,263,878",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4015286,"£3,974,533",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017025,"£2,601,545",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016514,"£2,069,752",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016011,"£2,000,000",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,18/08/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4016824,"£1,935,904",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016011,"£1,652,331",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4016477,"£1,560,784",162499
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£1,553,885",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,26/08/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4016997,"£1,475,828",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE WASTE & RESOURCES ACTION PROGRAMME (WRAP),4016931,"£1,315,326",29039
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£1,107,911",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£1,094,949",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017023,"£1,026,631",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£964,062",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016322,"£652,737",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016011,"£519,956",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Administration of Grants and Awards,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016544,"£500,000",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Administration of Grants and Awards,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016544,"£500,000",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016525,"£408,263",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Administration of Grants and Awards,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016525,"£408,263",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE EUROPEAN MARINE ENERGY CENTRE LTD,4016665,"£400,000",34733
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016322,"£385,755",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016323,"£246,026",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016921,"£229,842",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,THOMPSONS,4016319,"£215,303",127431
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BURNTISLAND FABRICATIONS LTD,4016354,"£200,000",35985
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4017059,"£197,260",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CRANFIELD UNIVERSITY,4016500,"£185,475",100352
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016922,"£175,000",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016539,"£165,905",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4016452,"£159,925",150906
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4016513,"£155,633",4877
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Capital Grants to the Private Sector - Resource Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4016834,"£150,877",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,Corporate Management Consultancy,DECC Central Budgets - DECC Central Budgets,CRS VAT CONSULTING LTD,4016873,"£141,214",38581
Department For Energy and Climate Change,Department For Energy and Climate Change,13/08/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,IRON MOUNTAIN LTD,4016701,"£141,187",796
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,CEFAS-THE CENTRE FOR ENVIRONMENT FISHERIES & AQUACULTURE SCIENCE,4016792,"£140,590",142945
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TEES ALLIANCE GROUP LTD,4016582,"£138,417",35977
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£136,448",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4016438,"£132,000",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016668,"£130,975",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016668,"£130,975",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016767,"£130,975",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4016416,"£127,853",153161
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016666,"£126,926",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016603,"£119,036",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016674,"£102,959",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4016841,"£102,915",106304
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4016841,"£102,915",106304
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NATIONAL ENERGY ACTION,4016685,"£102,320",23007
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,CAMBRIDGE ARCHITECTURAL RESEARCH LTD,4016898,"£100,238",1256
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4016652,"£95,379",153143
Department For Energy and Climate Change,Department For Energy and Climate Change,13/08/2010,GPC New Procedures,Corporate Payments,BARCLAYS BANK PLC,1004476,"£91,282",104942
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,GB GROUP PLC,4016439,"£90,000",37533
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,SPARKE HELMORE,4016752,"£88,770",4826
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Amount owed by DECC to BIS for recharged services,DECC Central Budgets - DECC Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4017115,"£88,597",26095
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016011,"£84,286",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4016744,"£81,468",153143
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4016731,"£70,177",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4016680,"£68,507",31226
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Grants - Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NORTHWEST REGIONAL DEVELOPMENT AGENCY,4016920,"£68,000",130938
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4016745,"£67,827",153143
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016602,"£67,387",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,International Subscriptions,Energy & Climate Change International - International Energy & Carbon Budgets,RETD FOUNDATION,4016772,"£66,600",38571
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016754,"£65,323",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4016420,"£64,500",162850
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4016375,"£62,331",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,26/08/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TEES ALLIANCE GROUP LTD,4017020,"£61,519",35977
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4016653,"£60,976",100409
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - DECC Commercial Team,BT GLOBAL SERVICES,4016604,"£59,241",5785
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016390,"£57,298",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016240,"£56,525",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4016510,"£53,192",4877
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016964,"£51,000",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,PARITY RESOURCES LTD,4017010,"£46,848",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Hotels Overseas,Energy & Climate Change International - International Climate Change Negotiations,TURISMO Y CONVENCIONES S.A. DE C.V,4016840,"£45,560",38647
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,ICT Maintenance & Upkeep,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4016704,"£45,548",6565
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4017056,"£45,367",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4016682,"£44,890",31226
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,ICT Maintenance & Upkeep,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4016704,"£42,548",6565
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016973,"£42,500",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Legal Services and Advice Agency,Energy Markets & Infrastructure - Energy Strategy and Futures,MACLAY MURRAY AND SPENS,4016461,"£42,337",3086
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4016649,"£39,093",3413
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4016600,"£37,458",127553
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4016444,"£36,944",123686
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,HM TREASURY,4016763,"£36,873",118781
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4016444,"£36,699",123686
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF BRISTOL,4016363,"£36,163",100996
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,KATALYSIS LTD,4017034,"£34,007",31669
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016957,"£33,101",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,INFORMED SOLUTIONS,4016822,"£32,058",136546
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,HUGH JAMES SOLICITORS,4016643,"£31,000",159940
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4016991,"£29,650",128403
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016426,"£28,846",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016675,"£28,611",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4016370,"£27,875",1526
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4016833,"£27,444",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4016993,"£27,129",128403
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4016761,"£27,085",33072
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,International Subscriptions,Energy & Climate Change International - International Climate Change Negotiations,OECD,4016823,"£27,000",150771
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016324,"£26,188",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4016663,"£26,183",310
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4016864,"£26,000",150906
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Grants - Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NORTHWEST REGIONAL DEVELOPMENT AGENCY,4016920,"£26,000",130938
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016601,"£25,539",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Professional Subscriptions,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,COI COMMUNICATIONS,4016495,"£25,380",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4016347,"£25,220",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - National Climate Change,CENTRAL OFFICE OF INFORMATION [COI],4016839,"£25,000",100711
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - National Climate Change,CENTRAL OFFICE OF INFORMATION [COI],4016839,"£24,975",100711
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4016453,"£24,568",150906
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4016835,"£24,233",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,UNIVERSITY COLLEGE LONDON,4016255,"£24,190",100722
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,KATALYSIS LTD,4016598,"£24,098",31669
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4016534,"£23,484",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4016425,"£23,353",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4016984,"£22,950",106247
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4016508,"£21,282",100871
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4016508,"£21,281",100871
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4016458,"£21,000",150906
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - DECC Commercial Team,WRIGHT ENERGY SOLUTIONS LTD,4016393,"£20,974",35611
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,KATALYSIS LTD,4017036,"£20,618",31669
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Contract Management,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4016498,"£20,383",6264
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,PR & Marketing Advice & Services,Energy Markets & Infrastructure - Office of Nuclear Development,MWH UK LTD,4016489,"£20,338",29735
Department For Energy and Climate Change,Department For Energy and Climate Change,25/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,VEGA CONSULTING SERVICES LTD,4016884,"£20,000",139600
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016959,"£19,660",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,17/08/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016805,"£19,636",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4016526,"£19,081",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,REED BUSINESS INFORMATION LTD,4016610,"£18,471",101122
Department For Energy and Climate Change,Department For Energy and Climate Change,06/08/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4016447,"£17,951",123686
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4016371,"£16,953",136110
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Publications,Corporate Support & Shared Services - Corporate Support & Shared Services,STAIRWAY COMMUNICATIONS LTD,4016325,"£16,104",100226
