Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4016548,£692,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Mobile Phones (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,VODAFONE LTD,4016965,£692,127553
Department For Energy and Climate Change,Department For Energy and Climate Change,24/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016962,£689,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Payments,HM REVENUE & CUSTOMS,4016874,£686,14758
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4017040,£674,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,31/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4017097,£660,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,16/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,ADECCO UK LTD,4016738,£660,100038
Department For Energy and Climate Change,Department For Energy and Climate Change,03/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016358,£654,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,05/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4016423,£654,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,19/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4016853,£654,100051
Department For Energy and Climate Change,Department For Energy and Climate Change,10/08/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4016561,£650,105278
Department For Energy and Climate Change,Department For Energy and Climate Change,11/08/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,GAS STRATEGIES GROUP LTD,4016617,£646,19213
