Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Capital Grants - Other,Energy Markets & Infrastructure - Energy Development Unit,UNIVERSITY OF ABERDEEN,4015831,"£31,233",101553
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Legal Services and Advice Agency,Energy Markets & Infrastructure - Energy Strategy and Futures,MACLAY MURRAY AND SPENS,4015652,"£30,034",3086
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Contributions (Programme),Science & Innovation Group - Science & Innovation Group,NATURAL ENVIRONMENT RESEARCH COUNCIL,4015560,"£30,000",123635
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,CAMBRIDGE ECONOMETRICS LTD,4016082,"£29,845",122392
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4016055,"£29,440",150906
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,THE ENERGY SAVING TRUST LTD,4016258,"£29,142",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4015387,"£29,136",310
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4015347,"£28,980",128367
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Economic Consultancy and Research,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",GEMSERV LTD,4015855,"£28,925",31144
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4015347,"£28,914",128367
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Emergency Planning Service,Energy Markets & Infrastructure - Security and resilience,STEELHENGE CONSULTING LTD,4015813,"£28,708",13808
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4015761,"£28,658",104127
Department For Energy and Climate Change,Department For Energy and Climate Change,12/07/2010,Grants - Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,LOCAL GOVERNMENT YORKSHIRE AND HUMBER,4015694,"£28,438",36044
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4015589,"£27,950",33072
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4015589,"£27,950",33072
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4015589,"£27,950",33072
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015210,"£27,896",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4016079,"£27,754",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,14/07/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4015785,"£26,789",128367
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,Corporate Management Consultancy,DECC Central Budgets - DECC Central Budgets,METHODS CONSULTING LTD,4016251,"£26,550",145426
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4016078,"£26,414",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015745,"£26,197",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4015544,"£25,858",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,VEGA CONSULTING SERVICES LTD,4015769,"£25,850",139600
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4016057,"£25,809",106247
