Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,CONSULUS LTD,4015532,"£12,640",35784
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,GREEN PARK INTERIM & EXECUTIVE LTD,4015605,"£12,338",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,14/07/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4015785,"£12,332",128367
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4015550,"£12,150",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,E H S BRANN LTD,4016020,"£12,060",31655
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4015601,"£11,921",130825
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4016076,"£11,419",119013
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4016109,"£11,374",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4015983,"£11,151",23810
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4015920,"£11,123",162850
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015679,"£11,050",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Standard Desktop Services,DECC Central Budgets - DECC Central Budgets,FUJITSU SERVICES LTD,4016106,"£11,037",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4016178,"£11,016",116136
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,THE ENERGY SAVING TRUST LTD,4016258,"£10,856",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4016071,"£10,846",162850
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4015995,"£10,720",36993
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015967,"£10,549",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015934,"£10,489",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Research & Development Expenditure (Programme),Energy & Climate Change International - International Climate Change Negotiations,UNIVERSITY OF SUSSEX,4015786,"£10,362",102290
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,MOTT MACDONALD LTD,4015799,"£10,189",10932
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,MOTT MACDONALD LTD,4015799,"£10,189",10932
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,ELEMENT ENERGY LTD,4016030,"£10,173",21790
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,"UNIVERSITY OF WALES, BANGOR",4015517,"£10,000",148896
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Economic Consultancy & Research,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EVANS MAJOR ASSOCIATES LTD,4015259,"£10,000",35074
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - EMI Director General,GREENHILL & CO INTERNATIONAL LLP,4015654,"£10,000",31259
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - EMI Director General,GREENHILL & CO INTERNATIONAL LLP,4015657,"£10,000",31259
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Technical Advice,Energy Markets & Infrastructure - Office of Nuclear Development,UNIVERSITY OF EXETER,4015937,"£10,000",1783
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4015905,"£9,963",4877
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,STERIA LTD,4015536,"£9,795",155603
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Hotels Overseas,Energy & Climate Change International - International Climate Change Negotiations,MARITIM HOTEL BONN,4015394,"£9,774",37692
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016034,"£9,712",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Security and resilience,SERCO LTD,4015625,"£9,052",16463
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,MACE LTD,4016075,"£9,042",119013
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,AMEE UK LTD,4015531,"£9,000",31684
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,THE ENERGY SAVING TRUST LTD,4015606,"£9,000",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4015452,"£8,842",119558
Department For Energy and Climate Change,Department For Energy and Climate Change,12/07/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4015721,"£8,813",138285
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4016061,"£8,790",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4016273,"£8,734",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Economic Consultancy and Research,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",UCL CONSULTANTS LTD,4015893,"£8,650",12854
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4015651,"£8,523",143792
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4015655,"£8,523",143792
Department For Energy and Climate Change,Department For Energy and Climate Change,09/07/2010,Local IT Consultancy,National Climate Change & Consumer Support - Communications,BUSINESS CO-ORDINATION LTD,4015666,"£8,438",1515
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Other HR Consultancy,National Climate Change & Consumer Support - Energy Efficiency & Consumers,TAYLOR: BENNETT LIMITED,4015464,"£8,333",160301
Department For Energy and Climate Change,Department For Energy and Climate Change,28/07/2010,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4016246,"£8,250",106667
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4015764,"£8,100",100711
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4015773,"£7,840",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,STERIA LTD,4015573,"£7,830",155603
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Office of Nuclear Development,PANNONE LLP,4015568,"£7,812",24458
Department For Energy and Climate Change,Department For Energy and Climate Change,14/07/2010,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015821,"£7,641",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Corporate Management Consultancy,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015833,"£7,360",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4015865,"£7,351",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Economic Consultancy & Research,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4015748,"£7,250",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MILLER & YOUNG UK LTD T/A MYFM,4015866,"£7,197",37390
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Press Cutting Services,National Climate Change & Consumer Support - Communications,ENERGY DATA SERVICES LTD T/A PRECISE,4015917,"£7,173",101754
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,Hire of Conference Facilities,Energy & Climate Change International - International Climate Change Negotiations,WILDFOWL AND WETLANDS TRUST (TRADING) LTD,4016179,"£7,056",4183
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,BRITISH TRUST FOR ORNITHOLOGY (THE),4015516,"£7,000",36374
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Secondees (not paid directly),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,BRAND DEMOCRACY LTD,4015980,"£6,900",34462
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Corporate Management Consultancy,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OSPREY CONSULTING SERVICES LTD,4015439,"£6,750",35760
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,DOCTOR JOHN MOORE-GILLON,4015495,"£6,673",148161
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015558,"£6,625",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015558,"£6,625",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4015515,"£6,536",105300
Department For Energy and Climate Change,Department For Energy and Climate Change,06/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4015522,"£6,345",36993
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,ENERGISTICS,4015500,"£6,334",22226
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4015468,"£6,270",106389
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4015744,"£6,240",100502
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4015512,"£6,030",1806
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4015983,"£6,000",23810
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015944,"£5,875",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015941,"£5,747",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015941,"£5,747",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015942,"£5,747",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,19/07/2010,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4015943,"£5,747",124446
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4015646,"£5,549",143792
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4015646,"£5,549",143792
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,Air Fares Overseas,Energy & Climate Change International - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4015520,"£5,517",101572
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4015600,"£5,423",31663
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Telecomms Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4015436,"£5,351",121321
Department For Energy and Climate Change,Department For Energy and Climate Change,02/07/2010,Local IT Consultancy,DECC Central Budgets - DECC Central Budgets,STEELHENGE CONSULTING LTD,4015412,"£5,313",13808
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016068,"£5,264",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016084,"£5,245",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4015991,"£5,170",29401
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4016068,"£4,972",158334
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4015659,"£4,958",121906
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015419,"£4,925",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016091,"£4,925",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4016027,"£4,916",106247
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4015497,"£4,910",136110
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CENTRE FOR SUSTAINABLE ENERGY,4015895,"£4,710",159979
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Standard Desktop Services (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4015930,"£4,655",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4015409,"£4,645",13808
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,PINPOINT FACILITATION LTD,4015667,"£4,550",31758
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,PINPOINT FACILITATION LTD,4015667,"£4,550",31758
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,PINPOINT FACILITATION LTD,4015667,"£4,550",31758
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,PINPOINT FACILITATION LTD,4015667,"£4,534",31758
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,PINPOINT FACILITATION LTD,4015667,"£4,500",31758
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4015658,"£4,482",1806
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4015640,"£4,406",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4015642,"£4,406",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4016160,"£4,406",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,02/07/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,SENATOR INTERNATIONAL LTD,4015374,"£4,347",159830
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Office Supplies,Corporate Support & Shared Services - Corporate Support & Shared Services,SIEMENS FINANCIAL SERVICES LTD,4015203,"£4,094",142183
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Hire of Conference Facilities,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE ENERGY SAVING TRUST LTD,4015760,"£4,075",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,IT Software Licences,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016090,"£4,023",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,E H S BRANN LTD,4016020,"£4,020",31655
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016107,"£3,980",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4015990,"£3,917",131441
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4015988,"£3,917",131441
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4016306,"£3,917",131441
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4015990,"£3,833",131441
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4015649,"£3,827",24160
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4016136,"£3,732",6427
Department For Energy and Climate Change,Department For Energy and Climate Change,14/07/2010,Administration of Grants and Awards,Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY ENVIRONMENT,4015664,"£3,715",310
Department For Energy and Climate Change,Department For Energy and Climate Change,23/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4016058,"£3,646",106247
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Economic Consultancy and Research,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DIALOGUE BY DESIGN,4015644,"£3,603",159184
Department For Energy and Climate Change,Department For Energy and Climate Change,22/07/2010,Other Media Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,WORDLINK LTD,4015828,"£3,585",18404
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Standard Desktop Plus Service (PFI),DECC Central Budgets - DECC Central Budgets,FUJITSU SERVICES LTD,4015428,"£3,579",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,27/07/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4016162,"£3,576",105255
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4016166,"£3,553",104478
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BADENOCH AND CLARK LTD,4016300,"£3,525",105744
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Other IT Consultancy,National Climate Change & Consumer Support - Communications,PAULA OWEN CONSULTING LTD,4015696,"£3,500",37468
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4015907,"£3,444",106389
Department For Energy and Climate Change,Department For Energy and Climate Change,20/07/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4015907,"£3,444",106389
Department For Energy and Climate Change,Department For Energy and Climate Change,05/07/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4015458,"£3,392",22418
Department For Energy and Climate Change,Department For Energy and Climate Change,28/07/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,ENERGISTICS,4016019,"£3,334",22226
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4015846,"£3,319",163531
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4015842,"£3,319",163531
Department For Energy and Climate Change,Department For Energy and Climate Change,15/07/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4015843,"£3,319",163531
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4015988,"£3,277",131441
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DUNDAS & WILSON LLP,4016268,"£3,217",21827
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DUNDAS & WILSON LLP,4016268,"£3,149",21827
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4015809,"£3,055",32453
Department For Energy and Climate Change,Department For Energy and Climate Change,12/07/2010,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,OPEN GEOSPATIAL CONSORTIUM INC,4015628,"£2,933",24641
Department For Energy and Climate Change,Department For Energy and Climate Change,16/07/2010,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (ACCOR SERVICES),4015882,"£2,876",33726
Department For Energy and Climate Change,Department For Energy and Climate Change,08/07/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4015559,"£2,852",145114
Department For Energy and Climate Change,Department For Energy and Climate Change,26/07/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4016133,"£2,852",100711
Department For Energy and Climate Change,Department For Energy and Climate Change,02/07/2010,Other External Recruitment Costs (Staff),Science & Innovation Group - Science & Innovation Group,GATENBY SANDERSON LTD,4015444,"£2,850",14068
