Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,DECC Only  - Shared Services - Accommodation,Corporate Support & Shared Services - Corporate Support & Shared Services,BAXTERSTOREY LTD,4022390, 577.77 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4022391," 26,893.87 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS SPECIALIST RECRUITMENT LTD,4022393, 798.40 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GREEN TOMATO CARS LTD,4022394," 1,432.44 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Energy Strategy and Futures,RESPONSIVELOAD LTD,4022396," 94,276.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,CAMBRIDGE ECONOMETRICS LTD,4022397," 14,246.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022399, 612.88 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/02/2011 ,Amount owed by DECC to BIS for recharged services,DECC Central Budgets - DECC Central Budgets,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4022403," 41,726.95 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,IEA ENVIRONMENTAL PROJECTS LTD,4021227," 45,986.56 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,ENERGISTICS,4022105," 1,257.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BASE CONSULTANTS SA,4022146, 857.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022207," 1,540.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,HEREWARD PHILLPOT,4022217," 6,150.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,External Legal Advice and Services,Corporate Support & Shared Services - Corporate Support & Shared Services,HEREWARD PHILLPOT,4022217, 650.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Other Programme Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,COI COMMUNICATIONS,4022278," 6,157.98 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,SPARKE HELMORE,4022286," 30,389.09 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,PLATTS,4022293," 1,405.37 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022295, 513.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022295," 1,187.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022295, 513.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,QA LTD,4022304," 1,470.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,QA LTD,4022306," 1,228.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4022342, 767.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022362, 585.19 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LANCASTER COHOUSING COMPANY LTD,4022383," 78,402.42 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4022406, 541.82 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4022407," 3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4022411," 17,999.57 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4022411," 55,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SOUTH BOATS (SPECIAL PROJECTS) LTD,4022412," 30,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022413," 513,352.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,DELOITTE LLP,4022415," 40,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022419," 1,450.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022421, 900.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022422, 865.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4022425," 4,888,983.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4022425," 111,017.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4022426," 114,042.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PARSONS BRINCKERHOFF LTD,4022430," 9,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4022431," 2,983.41 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4022432," 50,717.94 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4022433," 49,723.29 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4022435," 28,812.14 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022436," 4,125.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022437," 8,032.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022437," 8,032.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/02/2011 ,Cash Consolidated Fund Extra Receipts Paid Over to HM Treasury,Corporate Payments - ,CONSOLIDATED FUND ACCOUNT 6622,4022449," 53,390,871.76 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4022316," 2,828.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,SENATOR INTERNATIONAL LTD,4022405," 1,612.22 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022418, 735.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022420, 735.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022427, 735.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ASPIRE EUROPE LTD,4022428," 1,200.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4022438," 3,916.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4022439," 3,916.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Other,Science & Innovation Group - Science & Innovation Group,LYRECO UK LTD,4022442, 689.84 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,ERNST & YOUNG LLP,4022445," 28,050.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4022448," 28,680.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4022450," 9,300.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4022451," 13,438.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE EUROPEAN MARINE ENERGY CENTRE LTD,4022452," 598,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4022455," 6,172.06 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4022455," 2,099.51 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4022457," 40,051.52 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Flexible Computing Service,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022464," 6,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Flexible Computing Service,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022465," 18,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Application Development & Support (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022466," 21,583.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4022467, 988.60 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4022468," 6,471.49 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4022469," 20,454.64 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4022470," 8,609.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CIVIL AVIATION AUTHORITY,4022475," 22,350.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Capital Grants to Private Sector - Not Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4022476," 1,449,297.08 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4022479," 2,828.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EXMOOR NATIONAL PARK AUTHORITY,4022480," 109,838.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Purchasing Suspense (SYSTEM),Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4022482," 12,185.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4022483," 485,967.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,HTS CONSULTANTS,4022485, 875.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,HTS CONSULTANTS,4022487, 875.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,HTS CONSULTANTS,4022489, 875.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,CEFAS-THE CENTRE FOR ENVIRONMENT FISHERIES & AQUACULTURE SCIENCE,4022494," 133,112.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,24/02/2011 ,Entertaining UK,International Energy & Climate Change - International Energy & Carbon Budgets,FOREIGN AND COMMONWEALTH OFFICE (FCO),4022498, 900.14 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,ASHTON HAYES PARISH COUNCIL,4022267," 4,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,International Subscriptions,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,IEA BIOENERGY EXECUTIVE COMMITEE,4022320," 77,983.78 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ENERGYSOLUTIONS EU LTD,4022353," 3,144.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ENERGYSOLUTIONS EU LTD,4022354," 3,328.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4022385," 4,950.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4022386," 4,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PARITY RESOURCES LTD,4022446," 3,885.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4022447," 14,820.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,ASHTON HAYES PARISH COUNCIL,4022471," 43,160.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4022473," 1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR TRANSPORT,4022481," 15,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4022497, 762.94 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TELFORD AND WREKIN COUNCIL,4022503," 6,959.69 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,HAPPY COMPUTERS LTD,4022504, 634.50 
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4022521," 3,947,113.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022526," 15,304.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4022527," 15,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4022538," 1,029.77 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4022538," 1,912.51 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CYMDEITHAS CWM ARIAN,4022540," 35,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SIEMENS plc,4022542," 945,586.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022543," 428,584.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022545," 248,790.18 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,THE ROYAL SOCIETY FOR THE PROTECTION OF BIRDS [RSPB],4022547," 2,251.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,25/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022549," 7,865.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4022341, 719.73 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Recruitment Consultancy Costs,Energy Markets & Infrastructure - DECC Commercial Team,CAPITA RESOURCING LTD T/A VEREDUS EXECUTIVE RESOURCING,4022404," 12,460.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,External Training,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022417, 805.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4022434," 1,475,828.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Capital Grants to Private Sector - Not Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4022477," 2,880,708.15 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4022496," 8,760.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022525," 62,764.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,DEFRA,4022535," 73,870.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,VALUATION OFFICE AGENCY,4022550," 24,696.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4022551," 152,625.48 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Technical Support,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",IT POWER LTD,4022554," 23,068.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Security and resilience,ATKINS LTD,4022559," 1,030.40 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4022560," 2,145.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SUFFOLK COUNTY COUNCIL,4022561," 23,310.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4022562," 5,682.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,IC CONSULTANTS LTD,4022564," 3,680.83 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,NATURAL ENVIRONMENT RESEARCH COUNCIL,4022565," 9,975.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022566, 606.01 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022566," 4,451.51 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Mobile Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,VODAFONE LTD,4022566, 977.46 
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EXMOOR NATIONAL PARK AUTHORITY,4022571," 4,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/02/2011 ,Cash Consolidated Fund Extra Receipts Paid Over to HM Treasury,Corporate Payments - ,CONSOLIDATED FUND ACCOUNT 6622,4022583," 8,500,000.00 "
