,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026353,745.79 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4026354,840.05 
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,DECC Only  - Shared Services - Professional Services,Operations - HR,DEFRA,4026357,"164,225.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Other Training Costs,Energy Markets & Infrastructure - Energy Strategy and Futures,BIRKBECK COLLEGE,4026359,525.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4026360,"1,951.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Chemical Weapons Convention Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4026360,"1,148.16 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026363,740.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Other IT Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4026374,"24,984.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Other IT Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4026375,"7,644.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Research & Development Expenditure (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",SSE ENERGY SUPPLY LTD T/A SOUTHERN ELECTRIC,4026377,"256,843.55 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,UIMPACT LTD,4026380,"1,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Maintenance of IT Equipment,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4026384,"2,296.38 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Maintenance of IT Equipment,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4026385,"1,674.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Season Ticket and Bicycle Loans,EMI - Commercial,HM TREASURY,4026391,"2,276.15 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026394,"3,274.84 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Information Facilities,Energy Markets & Infrastructure - DECC Commercial Team,REUTERS LTD,4026396,"1,989.78 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Grant in Aid - Current -Other,Energy Markets & Infrastructure - EMI Director General,NUCLEAR DECOMMISSIONING AUTHORITY,4026398,"150,000,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4026399,"9,855.98 "
