,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4026527,846.72 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4026529,641.09 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4026530,643.90 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4026531,"18,850.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026532,645.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026533,756.79 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4026534,"8,715.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,06/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026537,719.77 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4026538,916.92 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4026540,629.29 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Professional Training,Energy & Climate Change International - International Climate Change Negotiations,NATIONAL SCHOOL OF GOVERNMENT,4026543,740.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,PARSONS BRINCKERHOFF LTD,4026545,"12,533.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Professional/Management),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4026546,889.27 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4026547,"138,307.84 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Professional/Management),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4026548,824.69 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4026550,544.32 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4026551,"4,068.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4026551,"3,983.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS IT SERVICES UK LTD,4026554,"12,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4026555,"4,252.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026556,"52,975.52 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4026557,"10,580.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Staff Counselling,Corporate Support & Shared Services - Corporate Support & Shared Services,EXECUTIVE ACTION LTD,4026558,"3,333.33 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4026559,"11,441.33 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Professional Subscriptions,Operations - HR,CHARTERED INSTITUTE OF PERSONNEL AND DEVELOPMENT CIPD,4026561,"1,040.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Other Training Costs,Central Budgets - Central Budgets,YOUNG SAMUEL CHAMBERS (YSC) LTD,4026563,"4,100.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4026564,"4,653.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4026568,"2,230.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,External Legal Advice and Services,Operations - Legal,SAMUEL WORDSWORTH,4026569,850.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,External Legal Advice and Services,Operations - Legal,SAMUEL WORDSWORTH,4026570,"3,100.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4026573,"13,134.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026574,781.31 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026575,825.12 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4026576,"22,705.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4026577,705.47 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4026578,949.82 
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4026579,"1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Other Training Costs,"EMI - International, EU & Energy Security",SERCO LTD,4026580,675.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4026581,"328,005.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4026582,"118,804.88 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Public Relations and Marketing,Operations - Communications,SOUTHBANK CENTRE ENTERPRISES LTD,4026583,"5,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Centrally Funded Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4026585,500.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,GOVERNMENT ACTUARYS DEPARTMENT,4026587,"3,311.25 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4026589,"316,695.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4026590,673.60 
Department of Energy and Climate Change,Department of Energy and Climate Change,07/07/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026591,740.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Professional Subscriptions,Corporate Support & Shared Services - Corporate Support & Shared Services,DINING WITH A DIFFERENCE LTD,4026595,"2,527.20 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4026598,"2,322.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Publications,Operations - Nuclear Decommissioning & Security,THE STATIONERY OFFICE LTD,4026603,"1,239.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",QUO IMUS LTD T/A QI CONSULTING,4026606,"17,790.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Research & Development Expenditure (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,4026607,"30,226.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Public Relations and Marketing,Operations - Communications,THE MEDIA TRUST,4026610,"1,320.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BADENOCH AND CLARK LTD,4026611,"2,821.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Oil and Gas Imprest Account,Corporate Payments,DTI OIL AND GAS ABERDEEN,4026612,"1,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/07/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,EXPERIAN LTD,4026616,"80,177.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,External Training,Operations - HR,RISKWIZE LTD T/A ESSENTIALSKILLZ,4026617,"1,750.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,Media Services,National Climate Change & Consumer Support - Communications,PRECISE MEDIA MONITORING LTD,4026618,"4,899.82 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4026620,"18,940.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4026623,"23,031.24 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4026627,"52,380.68 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026628,671.89 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026633,"2,942.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,Other Media Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,WORDLINK LTD,4026635,"5,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4026637,"3,600.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026638,745.21 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4026640,"26,290.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4026641,"26,268.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AMTEC Consulting plc,4026642,"18,700.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,INSTITUTE OF COMMUNICATION AND COMPUTER SYSTEMS (ICCS),4026644,"18,046.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Moving/Storage Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,J T & SONS RELOCATIONS LTD,4026647,"1,421.33 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Technical Advice / Services & Support,ICCEE - Green Deal,DTW ADVERTISING AND MARKETING LTD,4026651,650.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4026656,"19,938.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4026657,"9,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Others UK Travel & Subsistence (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4026658,"1,390.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026659,"6,279.04 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4026660,"12,556.80 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4026661,"1,000.33 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Professional/Management),Central Budgets - Central Budgets,AKM HR LTD,4026662,"19,262.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4026664,"2,793.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026666,677.59 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4026667,652.50 
Department of Energy and Climate Change,Department of Energy and Climate Change,20/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4026668,858.53 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026669,740.36 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/07/2011 ,Government Procurement Card New Procedures,Corporate Payments,BARCLAYS BANK PLC,4026670,"35,743.47 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Other Staff Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4026672,865.49 
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,OPEN GEOSPATIAL CONSORTIUM INC,4026674,"2,740.32 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Energy Strategy and Futures,ARQIVA LTD,4026677,"5,230.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Payments to Treasury Solicitors and Treasury Counsel,Operations - Legal,THE TREASURY SOLICITORS DEPARTMENT,4026679,"24,073.69 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Payments to Treasury Solicitors and Treasury Counsel,Operations - Legal,THE TREASURY SOLICITORS DEPARTMENT,4026679,"2,358.33 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Payments to Treasury Solicitors and Treasury Counsel,Operations - Legal,THE TREASURY SOLICITORS DEPARTMENT,4026679,"1,180.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Payments to Treasury Solicitors and Treasury Counsel,Operations - Legal,THE TREASURY SOLICITORS DEPARTMENT,4026679,"4,034.04 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4026681,"123,107.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4026682,"109,852.50 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,SENATOR INTERNATIONAL LTD,4026684,"22,196.64 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4026685,598.67 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026686,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4026687,883.80 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MILLER & YOUNG UK LTD T/A MYFM,4026688,"6,125.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/07/2011 ,Research & Development Expenditure (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",SCOTTISH POWER UK plc,4026689,"118,116.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Research & Development Expenditure (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",E.ON UK PLC,4026690,"403,124.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Research & Development Expenditure (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",E.ON UK PLC,4026690,"75,749.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4026691,"2,434,848.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Grants - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE CARBON TRUST,4026691,"1,471,938.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Other Media Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,RYE DESIGN,4026696,750.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4026698,"65,272.44 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4026699,"13,160.28 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING VIDEO LTD,4026702,"1,315.79 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4026704,"1,236.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4026704,"6,372.10 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,External Legal Advice,Energy Markets & Infrastructure - DECC Commercial Team,FRESHFIELDS BRUCKHAUS DERINGER,4026705,"6,432.15 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4026706,"1,138.70 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4026707,"32,682.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026708,592.27 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026709,637.51 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,SENATOR INTERNATIONAL LTD,4026710,"1,555.74 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026712,621.06 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026715,604.61 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026717,616.96 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026719,641.63 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026721,518.24 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026722,575.82 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026723,645.74 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Technical Support,National Climate Change & Consumer Support - National Climate Change,AETHER LTD,4026726,"4,680.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Grants - Current - Other,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,IMPERIAL COLLEGE LONDON,4026727,"1,370.59 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Grants - Current - Other,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,IMPERIAL COLLEGE LONDON,4026727,"5,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,28/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,IMPERIAL COLLEGE LONDON,4026727,"6,760.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Technical Advice / Services & Support,ICCEE - Green Deal,PLANTEX TRADING LTD T/A SPECIALIST SPEAKERS,4026728,"2,500.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026732,"1,603.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4026733,696.31 
Department of Energy and Climate Change,Department of Energy and Climate Change,19/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4026734,"1,111.62 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4026743,"137,958.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/07/2011 ,Secondees (not paid directly),Central Budgets - Central Budgets,CABINET OFFICE,4026744,"28,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Capital Grants to Private Sector - Not Own Asset Creation,ICCEE - Fuel Poverty & Smart Meters,NATIONAL ENERGY ACTION (NEA),4026745,"200,378.97 "
Department of Energy and Climate Change,Department of Energy and Climate Change,15/07/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,4026746,"1,764.66 "
