Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,AX BUSINESS SOLUTIONS LTD,4018447," 2,344.13 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,AX BUSINESS SOLUTIONS LTD,4018447," 13,395.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,IT Software Licences,Corporate and Professional Services,SEAZONE SOLUTIONS LTD,4018473," 2,453.32 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Other Centrally -Funded IT Maintenance and Support,Corporate and Professional Services,FUJITSU SERVICES LTD,4018084," 2,619.35 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4018479," 17,385.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4018462," 21,942.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4018451," 31,500.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4018464," 60,000.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4018461," 64,854.61 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4018460," 587,883.49 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4018494, 686.26 
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Other Staff Costs (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4018494," 3,921.45 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - DECC Commercial Team,WRIGHT ENERGY SOLUTIONS LTD,4018493," 11,000.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018417," 1,991.99 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018418," 4,827.05 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018417," 11,382.81 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018418," 27,583.13 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,External Legal Advice,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4018472," 2,475.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,External Legal Advice,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,WORDWAVE INTERNATIONAL LTD T/A MERRILL LEGAL SOLUTIONS,4018474," 2,475.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4018435," 2,050.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4018477," 13,388.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4018459," 38,603.72 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4018458," 126,722.69 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Technical Support,Energy Markets & Infrastructure - Security and resilience,NATIONAL NUCLEAR LABORATORY LTD,4018458," 126,722.70 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4018443," 3,795.32 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4018443," 21,687.54 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4018476," 591,646.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4018466," 4,731.90 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4018465," 50,395.09 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4018457," 103,404.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4018456," 168,720.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4018463," 181,013.76 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Contributions (Programme),International Energy & Climate Change - International Energy & Carbon Budgets,OECD,4018346," 86,260.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Corporate Centre,NUVIA LTD,4018466, 828.08 
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Outsourced Technical Support (Programme),Corporate Centre,WRIGHT ENERGY SOLUTIONS LTD,4018493," 1,925.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,PR & Marketing Advice & Services,Corporate Centre,COI COMMUNICATIONS,4018477," 2,342.90 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Media Services,Corporate Centre,COI COMMUNICATIONS,4018479," 3,042.38 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Recoverable VAT Input,Corporate Centre,ATOS ORIGIN IT SERVICES UK LTD,4018470," 6,226.68 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Technical Support,Corporate Centre,NATIONAL NUCLEAR LABORATORY LTD,4018459," 6,755.65 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Corporate Centre,NUVIA LTD,4018465," 8,819.14 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Recoverable VAT Input,Corporate Centre,DELOITTE LLP,4018487," 10,948.70 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Corporate Centre,HTSPE LTD,4018457," 18,095.79 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Technical Support,Corporate Centre,NATIONAL NUCLEAR LABORATORY LTD,4018458," 22,176.47 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Corporate Centre,HTSPE LTD,4018456," 29,526.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Administration of Grants and Awards,Corporate Centre,NUVIA LTD,4018463," 31,677.41 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Recoverable VAT Input,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4018470," 35,581.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,15/10/2010 ,Recoverable VAT Input,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4018487," 62,564.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,T&S Training,National Climate Change & Consumer Support - Communications,PMA MEDIA TRAINING LTD,4018548," 1,350.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Senior Civil Service Training,Corporate and Professional Services,CENTRE FOR PARLIAMENTARY STUDIES LTD,4018506," 2,500.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4018546, 629.60 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018522, 530.42 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018513, 557.51 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4018543, 560.90 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018530, 565.26 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018515, 600.11 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018511, 611.72 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4018549, 745.60 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4018423, 794.01 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,PENNA plc,4018206," 2,089.15 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,PENNA plc,4018206," 2,953.81 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,PENNA plc,4018206," 11,938.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,PENNA plc,4018206," 16,878.88 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Shared Services,Corporate and Professional Services,DEFRA,4018550," 113,271.70 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Application Support Service,Corporate and Professional Services,PARITY RESOURCES LTD,4018503," 6,851.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4018502," 3,510.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4018504," 13,825.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Independent Experts,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,ATKINS LTD,4018531, 762.00 
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Payments to Treasury Solicitors and Treasury Counsel,Corporate and Professional Services,INFORMATION COMMISSIONERS OFFICE,4018498," 4,347.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Application Support Service,Corporate Centre,PARITY RESOURCES LTD,4018503," 1,198.93 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Recoverable VAT Input,Corporate Centre,KPMG,4018544," 1,312.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Recoverable VAT Input,Corporate Centre,WEB TECHNOLOGY GROUP (WTG),4017981," 2,362.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WEB TECHNOLOGY GROUP (WTG),4018267," 1,400.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,18/10/2010 ,Recoverable VAT Input,Energy Markets & Infrastructure - Energy Development Unit,WEB TECHNOLOGY GROUP (WTG),4017981," 13,500.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Child Care,Corporate and Professional Services,CHILDCARE VOUCHERS LTD (EDENRED),4018612," 2,347.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,External Training,Science & Innovation Group - Science & Innovation Group,NATIONAL SCHOOL OF GOVERNMENT,4018398," 2,150.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Departmental Sponsored Training,Corporate and Professional Services,OFFICE FOR NATIONAL STATISTICS,4018606," 2,525.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,ADECCO UK LTD,4018535, 631.01 
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018559, 557.51 
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018560, 611.72 
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,ADECCO UK LTD,4018529, 917.30 
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Strategy and Futures,EDF ENERGY plc,4018597," 7,196.88 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Strategy and Futures,EDF ENERGY plc,4018597," 41,125.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Local IT Consultancy,Corporate and Professional Services,HAYS PLC,4018500," 2,262.40 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Local IT Consultancy,Corporate and Professional Services,HAYS PLC,4018501," 2,828.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Hire of Conference Facilities,Energy Markets & Infrastructure - EMI Director General,IFG ENTERPRISES LTD,4018569, 803.75 
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,ICT Infrastructure Specific Service,Corporate and Professional Services,FUJITSU SERVICES LTD,4018537," 1,672.52 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,ICT Infrastructure Specific Service,Corporate and Professional Services,FUJITSU SERVICES LTD,4018537," 6,146.92 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Programme and Projects Service,National Climate Change & Consumer Support - National Climate Change,ENVIRONMENT AGENCY,4018581," 51,013.81 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Application Support Service,Corporate and Professional Services,FIVIUM LTD,4018570," 1,592.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,TAJIKISTAN ACADEMY OF SCIENCES,4018453," 1,414.66 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CYMDEITHAS CWM ARIAN,4018611," 130,000.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,1009329," 3,000,000.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018619," 55,709.98 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4018478," 22,098.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4018394," 11,589.61 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,UNIVERSITY OF DURHAM,4018610," 20,000.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4018469," 7,350.54 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,CAMBRIDGE ARCHITECTURAL RESEARCH LTD,4018613," 100,237.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Research & Development Expenditure (Programme),Corporate Centre,MET OFFICE,4018469," 1,286.34 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,ICT Infrastructure Specific Service,Corporate Centre,FUJITSU SERVICES LTD,4018537," 1,368.40 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Technical Support,Corporate Centre,ENVIROS CONSULTING LTD,4018394," 2,028.18 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,PR & Marketing Advice & Services,Corporate Centre,COI COMMUNICATIONS,4018478," 3,867.15 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Research & Development Expenditure (Programme),Corporate Centre,CAMBRIDGE ARCHITECTURAL RESEARCH LTD,4018613," 17,541.56 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Recoverable VAT Input,Corporate Centre,CAPITA BUSINESS SERVICES LTD,4018512," 18,063.84 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Recoverable VAT Input,Corporate Centre,CAPITA BUSINESS SERVICES LTD,4018514," 58,424.80 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Board Members National Insurance Deductions (Suspense Account),Corporate Centre,HM REVENUE & CUSTOMS,4018635," 1,387.29 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING,4018607," 1,668.57 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Recoverable VAT Input,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4018514," 333,856.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,19/10/2010 ,Recoverable VAT Input,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4018512," 103,221.95 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,External Training,Corporate and Professional Services,NATIONAL SCHOOL OF GOVERNMENT,4018641," 1,320.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,External Training,Corporate and Professional Services,NATIONAL SCHOOL OF GOVERNMENT,4018642," 1,320.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4018659, 645.00 
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4018662, 787.50 
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Car Hire and Leasing,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,GOVERNMENT CAR AND DESPATCH AGENCY,4018664," 1,440.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4018563, 565.50 
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018525, 576.88 
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018561, 603.97 
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,OFFICE ANGELS LTD,4018558, 822.97 
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Economic Consultancy & Research,International Energy & Climate Change - International Energy & Carbon Budgets,WOOD MACKENZIE,4018640," 17,500.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Computer Consumables,Corporate and Professional Services,XMA LTD,4018523," 1,239.98 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4018633," 10,411.19 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018620," 319,697.59 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018631," 4,334.58 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018631," 24,769.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4018401," 50,203.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CENTRE FOR SUSTAINABLE ENERGY,4018637," 1,000.24 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CENTRE FOR SUSTAINABLE ENERGY,4018637," 5,715.67 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,BRITISH TRUST FOR ORNITHOLOGY (THE),4018630," 7,000.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Administration of Grants and Awards,Corporate Centre,BRITISH TRUST FOR ORNITHOLOGY (THE),4018630," 1,225.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Economic Consultancy & Research,Corporate Centre,WOOD MACKENZIE,4018640," 3,062.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Technical Advice,Corporate Centre,AEA TECHNOLOGY plc,4018401," 8,785.53 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Board Members Tax Deductions (Suspense Account),Corporate Centre,HM REVENUE & CUSTOMS,4018653," 1,619.20 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Board Members National Insurance Deductions (Suspense Account),Corporate Centre,HM REVENUE & CUSTOMS,4018654," 1,459.30 "
Department for Energy and Climate Change,Department for Energy and Climate Change,20/10/2010 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,GOVERNMENT ACTUARYS DEPARTMENT,4018660," 2,112.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Other UK T&S,Energy Markets & Infrastructure - Energy Strategy and Futures,HM TREASURY,4018454," 1,209.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Other UK T&S,Corporate and Professional Services,HM TREASURY,4018454," 1,583.50 "
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Other UK T&S,Corporate and Professional Services,HM TREASURY,4018454," 1,801.00 "
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Other UK T&S,Corporate and Professional Services,HM TREASURY,4018454," 1,801.01 "
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4018682, 550.00 
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,BADENOCH AND CLARK LTD,4018658, 616.88 
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,MANPOWER UK LTD,4018657, 701.30 
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018519, 830.64 
Department for Energy and Climate Change,Department for Energy and Climate Change,21/10/2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018519, 836.27 
