Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC Consulting plc,4028230,"19,900.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC Consulting plc,4028253,"25,671.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC Consulting plc,4028254,"28,680.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,External Training,Operations - HR,ASPIRE EUROPE LTD,4028646,"1,200.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Research & Development Expenditure (Programme),Operations - Nuclear Decommissioning & Security,ATKINS LTD,4028116,"1,073.33 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Economic Consultancy and Research,EMI - OND,ATKINS LTD,4028384,"5,217.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Other Overseas Travel & Subsistence,Operations - Nuclear Decommissioning & Security,AUSTRIA CENTRE (VIENNA),4028157,"1,775.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4028141,"26,580.57 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4028147,"4,200.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4028148,"7,800.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4028171,"4,893.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4028248,"29,419.67 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4028334,"2,821.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4028335,"2,821.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4028411,"2,821.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4028412,"1,606.32 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4028442,"2,007.90 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,BADENOCH AND CLARK LTD,4028443,"2,409.48 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Government Procurement Card New Procedures,Corporate Payments - ,BARCLAYS BANK PLC,4028225,"32,632.15 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,External Training,EMI - EMI DG Office,BIRKBECK COLLEGE,4028326,600.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,External Training,Operations - HR,BIRKBECK COLLEGE,4028473,"2,826.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Conference and Exhibition Services (Programme),ICCEE - Heat & Industry,BIRMINGHAM CITY COUNCIL,4028257,"3,438.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,BRAMBLE CC LTD,4028382,"3,162.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,BRE,4028017,"103,549.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Secondees (not paid directly),EMI - Energy Strategy & Futures/Electricity Market Reform,BRIGHT FUTURES (NZ) LTD,4028104,"19,860.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Other Staff Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,BROOK STREET (UK) LTD,4027997,523.32 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Nuclear Decommissioning & Security,BROOK STREET (UK) LTD,4027999,836.58 ,,,
