Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Other IT Costs (Programme),Operations - Communications,E CHRISTIAN & COMPANY LTD T/A EC GROUP,4028534,852.68 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,IT Maintenance and Management Services,Operations - Communications,E H S BRANN LTD,4028080,"2,680.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,IT Maintenance and Management Services,Operations - Communications,E H S BRANN LTD,4028643,"1,340.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Research & Development Expenditure (Programme),ICCEE - Fuel Poverty & Smart Meters,EDF ENERGY plc,4028010,"138,349.07 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028311,"4,775.88 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028315,"9,551.76 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028316,"4,775.88 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028317,"3,820.70 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028575,"1,022.40 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Project Management Costs (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028590,"2,572.91 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028592,"1,210.74 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Outsourced Technical Support (Programme),ICCEE - Fuel Poverty & Smart Meters,ELAN COMPUTING LTD,4028593,"1,089.67 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Salaries - Secondees (Programme),EMI - OND,ENERGYSOLUTIONS EU LTD,4028323,"4,437.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Maintenance of IT Equipment,ICCEE - Heat & Industry,ENVIRONMENT AGENCY,4028241,"31,766.39 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4028154,"3,004.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Financial Advice and Services,EMI - OND,ERNST & YOUNG LLP,4028671,"9,500.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Outsourced Programme Management Services,ICCEE - Fuel Poverty & Smart Meters,EVOLVE BUSINESS CONSULTANCY LTD,4028491,"1,680.83 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Outsourced Programme Management Services,ICCEE - Fuel Poverty & Smart Meters,EVOLVE BUSINESS CONSULTANCY LTD,4028492,"13,204.76 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Outsourced Programme Management Services,ICCEE - Fuel Poverty & Smart Meters,EVOLVE BUSINESS CONSULTANCY LTD,4028495,"1,179.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Application Support Service,Operations - Finance and Procurement,FIVIUM LTD,4028438,"1,592.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Salaries - Permanent (Programme),Operations - Nuclear Decommissioning & Security,FOREIGN AND COMMONWEALTH OFFICE (FCO),4027618,758.63 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Salaries - Permanent (Programme),Operations - Nuclear Decommissioning & Security,FOREIGN AND COMMONWEALTH OFFICE (FCO),4027619,"1,194.39 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Salaries - Permanent (Programme),Operations - Nuclear Decommissioning & Security,FOREIGN AND COMMONWEALTH OFFICE (FCO),4027620,534.84 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Salaries - Permanent (Programme),Operations - Nuclear Decommissioning & Security,FOREIGN AND COMMONWEALTH OFFICE (FCO),4027738,556.23 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hotels Overseas,ICCEE - International Climate Change,FOREIGN AND COMMONWEALTH OFFICE (FCO),4028549,"7,016.72 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Hotels Overseas,ICCEE - International Climate Change,FOREIGN AND COMMONWEALTH OFFICE (FCO),4028550,"32,946.41 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Publications (Programme),EMI - Energy Development,FOYER ENTERPRISE LTD T/A FOYER GRAPHICS,4028340,935.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4027935,574.05 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028012,"2,009.10 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028014,"1,183.46 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028015,"1,183.46 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028031,"3,050.46 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028042,"165,059.86 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Maintenance of IT Equipment,EMI - Energy Development,FUJITSU SERVICES LTD,4028048,"2,296.38 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028050,"3,274.84 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Maintenance of IT Equipment,EMI - Energy Development,FUJITSU SERVICES LTD,4028059,"1,674.97 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,ICT Infrastructure Specific Service,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028156,"1,130.40 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028205,"4,058.06 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028206,"18,709.36 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028207,"8,755.08 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028208,838.80 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028211,"5,733.88 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028212,"8,266.93 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028213,"3,014.36 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Application Development,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028214,"2,598.70 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028307,"22,667.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028359,"8,970.72 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Additions - Software Licences,ICCEE - Fuel Poverty & Smart Meters,FUJITSU SERVICES LTD,4028503,"70,755.30 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,IT Software Licences,ICCEE - Fuel Poverty & Smart Meters,FUJITSU SERVICES LTD,4028504,"4,974.78 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028546,"3,090.18 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,ICT Infrastructure Specific Service,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028625,"10,860.17 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Maintenance of IT Equipment,EMI - Energy Development,FUJITSU SERVICES LTD,4028648,"2,296.38 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Standard Desktop Services,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028652,"3,274.84 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Computer Equipment - Clearing,Operations - Finance and Procurement,FUJITSU SERVICES LTD,4028662,"1,183.46 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Recruitment Consultancy Costs,Operations - Operations DG Office,GATENBY SANDERSON LTD,4028393,"6,230.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Outsourced Programme Management Services,EMI - Energy Development,GENESIS OIL & GAS CONSULTANTS LTD,4028269,"43,959.26 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Cash Expenditure during the Year - Concessionary Fuel,EMI - Energy Development,GIROBANK plc,4028578,"10,517.36 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Media Services,Operations - Communications,GORKANA LTD,4028645,"6,703.24 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Technical Advice / Services & Support,EMI - Energy Development,GOVERNMENT ACTUARYS DEPARTMENT,4028298,"4,611.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Technical Advice / Services & Support,EMI - Energy Development,GOVERNMENT ACTUARYS DEPARTMENT,4028283,367.50 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Technical Advice / Services & Support,EMI - Energy Development,GOVERNMENT ACTUARYS DEPARTMENT,4028284,428.75 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Car Hire and Leasing,Private Office - Private Office,GOVERNMENT CAR AND DESPATCH AGENCY,4028481,776.64 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Car Hire and Leasing,Private Office - Private Office,GOVERNMENT CAR AND DESPATCH AGENCY,4028579,510.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Car Hire and Leasing,Private Office - Private Office,GOVERNMENT CAR AND DESPATCH AGENCY,4028594,615.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Outsourced Technical Support (Programme),EMI - OCCS,GREEN PARK INTERIM & EXECUTIVE LTD,4028040,"9,397.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - HR,GREEN PARK INTERIM & EXECUTIVE LTD,4028151,"16,380.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - HR,GREEN PARK INTERIM & EXECUTIVE LTD,4028152,"3,120.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,GREEN PARK INTERIM & EXECUTIVE LTD,4028183,"20,020.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Finance and Procurement,GREEN PARK INTERIM & EXECUTIVE LTD,4028186,"7,603.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Car Hire and Leasing,Private Office - Private Office,GREEN TOMATO CARS LTD,4028175,501.70 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - OCCS,HAYS SPECIALIST RECRUITMENT LTD,4028261,770.52 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Technical Advice / Services & Support,Operations - Finance and Procurement,HITACHI CONSULTING UK LTD,4028231,"2,400.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Season Ticket and Bicycle Loans,ICCEE - Green Deal,HM TREASURY,4028087,"1,470.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028196,"47,753.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Administration of Grants and Awards,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028197,"190,728.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028244,"10,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028369,"9,085.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028370,"19,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028372,"10,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028373,"7,074.42 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028396,"40,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028408,977.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,27-Sep-2011 ,Grants - Current - Abroad,Operations - Nuclear Decommissioning & Security,HTSPE LTD,4028542,"13,724.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4028181,644.40 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Hire of Conference Facilities (Programme),ICCEE - Fuel Poverty & Smart Meters,IET SERVICES LTD T/A THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,4028190,651.60 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,External Training,Operations - HR,ILX GROUP PLC,4028683,995.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,External Training,Operations - HR,ILX GROUP PLC,4028684,"1,426.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4028068,"48,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4028069,"6,854.76 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4028304,"19,336.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4028305,"5,580.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4028306,"4,366.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4028621,"1,839.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,IT Maintenance and Management Services,EMI - Energy Development,INFORMED SOLUTIONS,4028623,"3,662.40 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Technical Advice / Services & Support,Operations - Finance and Procurement,INSIGHT MANAGEMENT & SYSTEMS CONSULTANTS LTD,4028292,"12,075.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Other External Recruitment Costs (Staff),EMI - OCCS,INTERNATIONAL RESOURCES GROUP LTD T/A ODGERS BERNDTSON,4027971,910.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,IRON MOUNTAIN (UK) LTD,4028456,"176,372.91 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,External Training,ICCEE - Green Deal,JBS EXECUTIVE EDUCATION LTD,4028168,"1,700.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,External Training,ICCEE - Green Deal,JBS EXECUTIVE EDUCATION LTD,4028169,"1,700.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,External Legal Advice and Services,Operations - Legal,JONATHAN SWIFT,4027897,660.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Other Staff Costs (Programme),EMI - Energy Development,K & L ROSS LTD,4028011,"2,627.80 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,External Training,Operations - HR,KINEO LTD,4028644,935.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,External Training,Operations - Legal,LEXISNEXIS (A DIVISION OF REED ELSEVIER (UK) lTD),4028696,734.30 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Professional/Management),Private Office - Private Office,MANPOWER UK LTD,4028589,"1,008.84 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - International Climate Change,MANPOWER UK LTD,4028713,685.44 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - International Climate Change,MANPOWER UK LTD,4028716,788.34 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Economic Consultancy & Research,EMI - Energy Strategy & Futures/Electricity Market Reform,MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,4028376,"6,772.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Maintenance of IT Equipment (Programme),Operations - Nuclear Decommissioning & Security,MET OFFICE,4027378,"1,333,193.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,MET OFFICE,4027885,"1,372,166.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,MET OFFICE,4028133,"50,000.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Sep-2011 ,Research & Development Expenditure (Programme),Operations - Economics,MET OFFICE,4028188,"2,170.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Maintenance of IT Equipment (Programme),Operations - Nuclear Decommissioning & Security,MET OFFICE,4028506,"1,333,193.50 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,MET OFFICE,4028548,"1,372,166.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Communications,METHODS CONSULTING LTD,4028096,"6,768.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,METHODS CONSULTING LTD,4028182,"5,350.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,METHODS CONSULTING LTD,4028336,"11,020.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,METHODS CONSULTING LTD,4028418,"18,900.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,METHODS CONSULTING LTD,4028430,"8,700.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,METHODS CONSULTING LTD,4028446,"11,250.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,23-Sep-2011 ,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,METHODS CONSULTING LTD,4028496,"11,770.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,METHODS CONSULTING LTD,4028507,"1,498.80 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,METHODS CONSULTING LTD,4028693,"6,429.60 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028086,"2,880.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028195,"2,942.28 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028255,"3,600.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028385,"1,765.37 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Other External Recruitment Costs (Staff),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028416,"10,800.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028436,"2,640.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028547,"3,600.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4028570,"3,530.74 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,External Training,Operations - HR,MIDKENT COLLEGE,4028404,"2,125.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,MILLER & YOUNG UK LTD T/A MYFM,4028007,"6,213.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,26-Sep-2011 ,External Training,"EMI - International, EU & Energy Security",MJM ENERGY LTD,4028516,500.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Hire of Agency Staff (Professional/Management),ICCEE - Heat & Industry,MORGAN HUNT UK LTD,4027983,"1,764.66 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Hire of Agency Staff (Professional/Management),ICCEE - Heat & Industry,MORGAN HUNT UK LTD,4027985,"1,764.66 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,NABARRO,4028070,"7,424.37 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Sep-2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,NABARRO,4028105,"11,204.40 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,05/09/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,NABARRO,4028070,"302,596.10 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,07/09/2011 ,Cash Expenditure during the Year - Other Health Related Provisions,EMI - Energy Development,NABARRO,4028105,"317,826.23 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,NATIONAL AUDIT OFFICE,4027991,"8,247.83 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,29-Sep-2011 ,Hire of Agency Staff (Professional/Management),Operations - Finance and Procurement,NATIONAL AUDIT OFFICE,4028656,"8,247.83 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Sep-2011 ,Capital Grants to Private Sector - Own Asset Creation,EMI - Energy Strategy & Futures/Electricity Market Reform,NATIONAL GRID ELECTRICITY TRANSMISSION PLC,4027973,"17,255.00 ",,,
